순위,업소명,주소,분류,현지인 검색 수
1,쿠우쿠우순천점,전남 순천시 향매로 59-0,전문음식,7138
2,대숲골농원,전남 순천시 학동길 54-0,한식,6321
3,송치마을,전남 순천시 송치안길 88-0,전문음식,5402
4,벽오동,전남 순천시 상사호길 73-0,한식,4919
5,맥도날드순천조례DT점,전남 순천시 순광로 75-0,간이음식,4593
6,브런치빈순천점,전남 순천시 매안2길 11-12,전문음식,4370
7,스타벅스순천신대점,전남 순천시 향매로 99-0,카페/찻집,4285
8,화월당,전남 순천시 중앙로 90-1,간이음식,3870
9,스타벅스순천호수공원점,전남 순천시 왕지2길 17-0,카페/찻집,3659
10,스타벅스순천용당DT점,전남 순천시 중앙로 398-0,카페/찻집,3510
11,신대초밥,전남 순천시 매안2길 7-0,외국식,3165
12,자산어보순천점,전남 순천시 대석1길 27-0,전문음식,2970
13,나눌터[한식],전남 순천시 팔마1길 4-0,한식,2817
14,카페와온,전남 순천시 와온길 107-0,카페/찻집,2757
15,산들담은,전남 순천시 정채봉길 30-0,한식,2700
16,신대축산물백화점,전남 순천시 상성길 324-0,한식,2679
17,순천갈대장어신대점,전남 순천시 향매1길 4-23,전문음식,2595
18,마리나부페순천점,전남 순천시 율산길 118-0,전문음식,2559
19,운평769,전남 순천시 청소년수련원길 153-0,카페/찻집,2402
20,건봉국밥,전남 순천시 장평로 65-0,한식,2377
21,르꼬뮤네,전남 순천시 왕지로 150-0,카페/찻집,2373
22,명지원,전남 순천시 연향상가길 31-0,한식,2353
23,효동회관,전남 순천시 장천2길 20-4,한식,2345
24,아웃백스테이크하우스순천점,전남 순천시 왕지5길 4-0,전문음식,2275
25,조훈모과자점팔마점,전남 순천시 팔마로 269-0,간이음식,2250
26,청풍한우,전남 순천시 상성길 103-0,한식,2248
27,순천웃장국밥거리,전남 순천시 북문길 40-0,음식점기타,2232
28,스타벅스순천팔마DT점,전남 순천시 백강로 23-0,카페/찻집,2230
29,맛찬들왕소금구이순천신대점,전남 순천시 향매1길 17-0,한식,2170
30,코우텐동[일식],전남 순천시 매안4길 3-11,외국식,2166
31,오블리크,전남 순천시 매안1길 20-0,카페/찻집,2137
32,남녘들밥상,전남 순천시 하풍동길 21-0,한식,2131
33,독도는우리땅,전남 순천시 상대석길 69-0,전문음식,2110
34,스타벅스순천연향점,전남 순천시 연향번영길 118-0,카페/찻집,2081
35,맥도날드순천덕암DT점,전남 순천시 구암원길 1-0,간이음식,2067
36,고구려초밥금당본점,전남 순천시 기적의도서관길 31-0,외국식,2006
37,더미주농원120,전남 순천시 상사호길 120-0,한식,1851
38,상무초밥순천점,전남 순천시 왕지2길 25-4,외국식,1832
39,브루웍스,전남 순천시 역전길 61-0,카페/찻집,1816
40,오대감,전남 순천시 장선배기길 12-0,전문음식,1815
41,참조은시골집[한식],전남 순천시 해룡로 579-0,한식,1798
42,신화정,전남 순천시 구암길 26-0,한식,1785
43,등촌샤브칼국수순천점,전남 순천시 신대3길 4-0,한식,1757
44,명궁관[한식],전남 순천시 중앙2길 7-0,한식,1725
45,오버랩호수,전남 순천시 조례2길 38-1,카페/찻집,1689
46,우즈베이커리카페순천점,전남 순천시 용당둑길 111-0,간이음식,1679
47,버거킹순천법원점,전남 순천시 왕지로 8-1,간이음식,1673
48,돈참오천점,전남 순천시 풍덕새길 22-0,전문음식,1663
49,향토정[한식],전남 순천시 남신월4길 13-26,한식,1656
50,성연,전남 순천시 매안로 97-0,한식,1615
51,리비에르,전남 순천시 서문교길 10-0,카페/찻집,1610
