순위,업소명,주소,분류,현지인 검색 수
1,헤밍웨이,전남 신안군 학동길 66-20,카페/찻집,435
2,꽃피는무화가[한식],전남 신안군 압해로 393-2,한식,320
3,이학식당,전남 신안군 증도중앙길 39-0,한식,282
4,백길천사횟집,전남 신안군 자은서부1길 86-12,전문음식,247
5,함초식당소금항카페,전남 신안군 지도증도로 1053-11,한식,176
6,왕바위식당,전남 신안군 지도증도로 1991-0,전문음식,173
7,안성식당,전남 신안군 증도중앙길 43-0,한식,167
8,하나로식당,전남 신안군 장단고길 33-17,한식,163
9,숙자네,전남 신안군 구영2길 54-3,한식,163
10,신안맛집,전남 신안군 중부로 1816-0,한식,161
11,미연식당,전남 신안군 월포안길 15-2,한식,161
12,갯마을식당,전남 신안군 증도중앙길 40-2,전문음식,152
13,섬마을회정식,전남 신안군 압해로 1844-0,전문음식,115
14,나들목맛집,전남 신안군 진리길 2-0,한식,111
15,고향식당[한식],전남 신안군 문준경길 165-0,한식,102
16,뻘뚱,전남 신안군 탑목개길 163-1,전문음식,98
17,암태민박식당,전남 신안군 진작지길 182-0,한식,96
18,맛나제,전남 신안군 중부로 3008-0,한식,76
19,자은신안뻘낙지,전남 신안군 자은서부1길 95-0,전문음식,67
20,사월포횟집,전남 신안군 사월포길 207-0,전문음식,63
21,증도 황궁짜장[중식],전남 신안군 증도중앙길 40-7,외국식,60
22,바다정원,전남 신안군 압해로 820-0,카페/찻집,58
23,거시기횟집,전남 신안군 압해로 1741-37,전문음식,56
24,천사신안아구찜,전남 신안군 무지개길 321-0,한식,55
25,마시쿠만,전남 신안군 압해로 401-0,간이음식,54
26,천사대교무지개식당,전남 신안군 천사대교로 922-0,한식,52
27,청해짱뚱어,전남 신안군 지도증도로 10-1,한식,51
28,신바다횟집,전남 신안군 압해로 1848-0,전문음식,44
29,샨샤[중식],전남 신안군 장단고길 17-2,외국식,44
30,보해반점[중식],전남 신안군 대광해수욕장길 18-4,외국식,43
31,보물섬식당[한식],전남 신안군 보물섬길 8-0,한식,43
32,한우정,전남 신안군 지도증도로 1836-3,한식,42
33,자은도식당,전남 신안군 자은서부1길 86-8,한식,39
34,봉자네1번지,전남 신안군 압해로 1844-0,전문음식,39
35,짱뚱이네식당,전남 신안군 우전길 17-12,한식,39
36,섬마을횟집,전남 신안군 송도2길 55-0,전문음식,36
37,송도수산시장 1004횟집,전남 신안군,전문음식,36
38,지도횟집,전남 신안군 송도2길 47-0,전문음식,35
39,카페솔섬,전남 신안군 송도2길 26-0,카페/찻집,34
40,해당1700카페,전남 신안군 지도증도로 1700-0,카페/찻집,32
41,억순이의기찬밥상,전남 신안군 오림진고길 4-0,한식,31
42,신진횟집,전남 신안군 두봉길 10-38,전문음식,31
43,도화정,전남 신안군 중부로 1801-14,한식,30
44,진번칼국수,전남 신안군 소곡두리길 319-0,한식,28
45,섬마을음식점,전남 신안군 중부로 832-0,한식,27
46,편안한횟집,전남 신안군 대광해수욕장길 178-0,전문음식,26
47,사계절,전남 신안군 안좌동부길 764-9,한식,25
48,돌집식당,전남 신안군 탑목개길 161-2,한식,24
49,부일호하우리횟집,전남 신안군 독우길 234-0,전문음식,24
50,레드향[중식],전남 신안군 탑목개길 158-0,외국식,24
51,한양왕갈비탕신안점,전남 신안군 압해로 1564-0,한식,23
52,마을식당퍼플,전남 신안군 박지도길 173-0,한식,23
53,해안누리횟집,전남 신안군 사월포길 183-1,전문음식,21
54,파인클라우드,전남 신안군 중부로 2113-0,카페/찻집,21
55,신안가든,전남 신안군 대광해수욕장길 135-0,전문음식,20
56,커피인터뷰신안점,전남 신안군 해제지도로 1283-24,카페/찻집,19
57,솔가든맛집[한식],전남 신안군 중부로 790-0,한식,19
58,여인송회식당,전남 신안군 자은서부2길 631-31,전문음식,18
59,중앙반점[중식],전남 신안군 구영2길 64-0,외국식,18
60,정자네횟집,전남 신안군 압해로 1852-5,전문음식,18
61,화개장터,전남 신안군 조천길 36-25,한식,16
62,자은도맛집,전남 신안군 둔장길 36-0,전문음식,16
63,천사대교횟집,전남 신안군 박달로 84-0,전문음식,15
64,풍년가든,전남 신안군 비금북부길 481-3,한식,15
65,꽃담은소신안점,전남 신안군 중부로 840-1,한식,15
66,압해도 삼시세끼,전남 신안군 압해로 867-0,한식,15
67,한양,전남 신안군 서촌길 17-10,전문음식,14
68,전주식당,전남 신안군 지도증도로 24-1,한식,13
69,두봉건강숯불갈비,전남 신안군 구영2길 53-0,한식,13
70,솔식당,전남 신안군 구영2길 52-2,한식,13
71,이학횟집,전남 신안군 중부로 1795-0,전문음식,12
72,부두식당,전남 신안군 임자로 4-0,한식,12
73,남강,전남 신안군 중부로 1502-80,한식,12
74,카페S1025,전남 신안군 박달로 362-4,카페/찻집,11
75,카페여인송,전남 신안군 자은서부2길 631-31,카페/찻집,10
76,시후네시골밥상,전남 신안군 압해로 1842-0,전문음식,10
77,1004브릿지,전남 신안군 대촌길 37-88,카페/찻집,10
78,참좋은신안횟집,전남 신안군 대광해수욕장길 172-41,전문음식,10
79,나룻가횟집,전남 신안군,전문음식,10
80,전장포항구식당,전남 신안군 전장포길 902-0,전문음식,10
81,철판중화요리앤카페[중식],전남 신안군 동천길 58-26,외국식,9
82,천사짜장짬뽕[중식],전남 신안군 압해로 1587-3,외국식,8
83,어찬,전남 신안군 해제지도로 1283-24,전문음식,8
84,선희네 식당,전남 신안군 해제지도로 1297-0,한식,8
85,천사섬 한우마당,전남 신안군 해제지도로 1283-3,한식,8
86,풍차가든,전남 신안군 해제지도로 782-0,한식,8
87,삼월의정,전남 신안군 압해로 1587-3,간이음식,8
88,돌고래회식당,전남 신안군 불섬길 85-12,전문음식,7
89,비룡,전남 신안군 불섬길 85-12,한식,7
90,마나,전남 신안군 이흑암길 24-6,한식,7
91,신정,전남 신안군 김환기길 9-0,한식,7
92,갯벌횟집,전남 신안군 대촌길 37-88,전문음식,6
93,명가밥상,전남 신안군 구영2길 60-3,한식,6
94,보광식당,전남 신안군 불섬길 85-12,전문음식,6
95,뻘낙지음식특화거리,전남 신안군,음식점기타,6
96,도선장횟집,전남 신안군 천사로 11-0,전문음식,6
97,팔금고산레스토랑,전남 신안군 삼층석탑길 473-0,외국식,5
98,사랑가든,전남 신안군 압해로 493-0,한식,5
