순위,업소명,주소,분류,현지인 검색 수
1,바다김밥,전남 여수시 통제영5길 10-4,간이음식,17296
2,여수낭만포차거리,전남 여수시 하멜로 102-0,음식점기타,13526
3,모이핀,전남 여수시 무술목길 50-0,카페/찻집,13238
4,꽃돌게장1번가,전남 여수시 봉산2로 36-0,전문음식,9940
5,여수당,전남 여수시 중앙로 72-0,간이음식,9796
6,여수명동게장,전남 여수시 봉산남4길 23-26,전문음식,9558
7,순이네밥상,전남 여수시 동문로 5-0,한식,6904
8,청정게장촌,전남 여수시 봉산남4길 23-32,전문음식,5778
9,프롬나드,전남 여수시 우두3길 98-0,카페/찻집,5403
10,나진국밥,전남 여수시 화양로 1391-0,한식,5092
11,바다김밥돌산직영점,전남 여수시 강남해안로 155-0,간이음식,4992
12,복춘식당,전남 여수시 교동남1길 5-8,한식,4974
13,라피끄,전남 여수시 무술목길 142-1,카페/찻집,4707
14,여수딸기모찌본점,전남 여수시 중앙로 73-1,간이음식,4392
15,이순신수제버거,전남 여수시 중앙로 73-0,간이음식,4318
16,서울해장국,전남 여수시 통제영5길 11-0,한식,3864
17,싱싱게장마을,전남 여수시 문수6길 40-0,전문음식,3857
18,맥도날드여수학동DT점,전남 여수시 망마로 9-0,간이음식,3800
19,카페힐론,전남 여수시 안산1길 62-0,카페/찻집,3486
20,로타리식당,전남 여수시 서교3길 2-1,한식,3447
21,원조두꺼비게장,전남 여수시 봉산남3길 12-0,전문음식,3404
22,바다식탁,전남 여수시 고소3길 43-0,전문음식,3400
23,좌수영바게트버거,전남 여수시 동문로 10-0,간이음식,3146
24,황소식당,전남 여수시 봉산남3길 2-0,전문음식,3139
25,스타벅스여수해양공원점,전남 여수시 이순신광장로 192-0,카페/찻집,3051
26,피읖카페,전남 여수시 돌산로 3292-6,카페/찻집,2791
27,유정해장국,전남 여수시 통제영5길 8-1,한식,2782
28,낭만카페,전남 여수시 고소5길 11-0,카페/찻집,2766
29,국동칼국수,전남 여수시 신월로 578-1,한식,2662
30,카페마애여수,전남 여수시 화백길 6-0,카페/찻집,2644
31,정다운식당,전남 여수시 봉산남8길 7-0,한식,2596
32,스타벅스여수둔덕DT점,전남 여수시 좌수영로 482-0,카페/찻집,2541
33,갓버터도나스,전남 여수시 통제영5길 10-1,간이음식,2518
34,진남식당,전남 여수시 통제영5길 10-6,한식,2446
35,덕일감자국본점,전남 여수시 죽림중앙로 46-0,한식,2424
36,칠공주식당여수본점,전남 여수시 교동시장2길 13-3,전문음식,2292
37,돌문어상회,전남 여수시 하멜로 78-0,전문음식,2278
38,여수밥상갈치야,전남 여수시 향일암로 378-0,한식,2193
39,여진식당[한식],전남 여수시 학동5길 2-2,한식,2168
40,쿠우쿠우여수점,전남 여수시 예울마루로 37-26,전문음식,2124
41,풀뿌리흑두부,전남 여수시 서부로 1474-0,한식,2096
42,라라브레드여수점,전남 여수시 웅천남5로 42-0,간이음식,2023
43,스타벅스여수신월DT점,전남 여수시 신월로 567-0,카페/찻집,2016
44,카페드몽돌,전남 여수시 계동로 552-0,카페/찻집,1987
45,동서식당,전남 여수시 장군산길 67-0,한식,1978
46,웅천부일식당[일식],전남 여수시 웅남2길 12-2,외국식,1855
47,모카힐,전남 여수시 고소3길 70-0,카페/찻집,1796
48,스타벅스여수웅천점,전남 여수시 예울마루로 37-53,카페/찻집,1757
49,여수낭만항,전남 여수시 통제영5길 10-3,전문음식,1714
50,포트앤포트카페,전남 여수시 백초길 28-52,카페/찻집,1667
50,맛나게장,전남 여수시 신기남3길 22-4,한식,1667
52,아웃백스테이크하우스여수웅천점,전남 여수시 웅천남7로 24-0,전문음식,1659
53,문자네통장어,전남 여수시 웅천4길 12-7,전문음식,1658
54,밀터해물칼국수,전남 여수시 소호로 253-0,한식,1645
55,스타벅스여수학동DT점,전남 여수시 도원로 271-0,카페/찻집,1611
56,로스티아,전남 여수시 돌산로 3116-0,카페/찻집,1562
57,와이드커피스탠드,전남 여수시 고소3길 64-0,카페/찻집,1550
58,연화정,전남 여수시 오동도로 61-20,한식,1548
59,청풍명월한우명가,전남 여수시 좌수영로 774-56,한식,1543
60,에그셀런트여수루지테마파크점,전남 여수시 안심산길 155-0,간이음식,1492
61,갑이농장,전남 여수시 의곡길 115-4,한식,1471
61,진남횟집돌산본점,전남 여수시 강남로 46-0,전문음식,1471
63,청수당여수,전남 여수시 고소3길 49-0,카페/찻집,1448
64,갈치조림기똥차게맛있는집,전남 여수시 향일암로 379-2,한식,1447
65,아모푸,전남 여수시 화서로 43-0,카페/찻집,1440
66,여수게장낭만별식,전남 여수시 진두해안길 72-0,전문음식,1428
67,상아식당,전남 여수시 어항단지로 21-0,전문음식,1426
68,미가칼국수,전남 여수시 박람회길 23-10,한식,1425
69,카페공정,전남 여수시 장수로 634-0,카페/찻집,1417
70,나른,전남 여수시 죽림2길 27-3,카페/찻집,1403
71,석정,전남 여수시 시청서5길 11-1,한식,1337
72,세아네과일&카페,전남 여수시 강남9길 46-0,카페/찻집,1316
73,룩스카바나,전남 여수시 마상포길 12-0,카페/찻집,1315
74,순심원[중식],전남 여수시 교동남1길 5-15,외국식,1306
75,버거킹여수웅천점,전남 여수시 예울마루로 37-15,간이음식,1303
76,우리식당본점,전남 여수시 율촌로 113-0,한식,1300
77,석천식당,전남 여수시 봉산남1길 24-1,한식,1286
78,호남갈비,전남 여수시 동문로 93-1,한식,1248
79,나래밥상,전남 여수시 돌산로 2940-0,한식,1238
80,대궁,전남 여수시 조은길 16-5,한식,1224
81,깨비게장,전남 여수시 봉산남3길 23-8,전문음식,1221
82,투썸플레이스여수학동점,전남 여수시 선소로 19-0,카페/찻집,1203
83,늘푸른식당,전남 여수시 봉산남8길 14-0,한식,1199
84,도시어부,전남 여수시 이순신광장로 128-0,전문음식,1198
85,거북이식당,전남 여수시 국포1로 26-0,전문음식,1153
86,스타벅스여수여천점,전남 여수시 망마로 39-0,카페/찻집,1146
86,내조국국밥돌산점,전남 여수시 강남동로 35-0,한식,1146
88,포트타운카페,전남 여수시 웅천남4로 17-0,카페/찻집,1136
89,여수대표짬뽕[중식],전남 여수시 무선8길 17-0,외국식,1120
90,블루온,전남 여수시 평사로 313-0,카페/찻집,1112
91,삼합싸다구,전남 여수시 이순신광장로 139-0,전문음식,1102
92,산해반점[중식],전남 여수시 통제영5길 10-2,외국식,1100
93,산골식당,전남 여수시 봉산1로 24-0,전문음식,1093
94,산해진미,전남 여수시 문수5길 16-0,전문음식,1079
95,터진만두,전남 여수시 소호로 253-1,한식,1047
95,나진국밥형제가,전남 여수시 장성5길 11-0,한식,1047
97,꽃담촌,전남 여수시 반월길 68-0,한식,1040
98,남진이네게장갈치명가본점,전남 여수시 봉산1로 49-0,전문음식,1030
99,이화식당,전남 여수시 문수5길 46-0,전문음식,1023
100,나폴리횟집,전남 여수시 진두해안길 68-0,전문음식,1018
