순위,업소명,주소,분류,현지인 검색 수
1,개성순두부,전남 완도군 개포로 19-0,한식,1083
2,완도어반,전남 완도군 장보고대로 334-0,한식,488
3,빙그레식당,전남 완도군 청해진로 1565-4,한식,465
4,상화식당,전남 완도군 해변공원로 33-0,한식,401
5,대성회식당,전남 완도군 해변공원로 59-0,전문음식,358
6,명품전복궁,전남 완도군 개포로 34-1,전문음식,345
7,완도농협고금지점하나로마트,전남 완도군 고금동로 29-15,음식점기타,335
8,달스윗,전남 완도군 군내길 3-0,카페/찻집,322
9,유일정식당,전남 완도군 장보고대로 243-7,한식,301
10,모래뜰[한식],전남 완도군 명사십리길 74-0,한식,288
11,완도회타운,전남 완도군 해변공원로 136-0,전문음식,279
12,당인리포레스트,전남 완도군 청해진서로 1418-2,카페/찻집,260
13,신지횟집,전남 완도군 해변공원로 117-0,전문음식,255
14,학림활어회센터,전남 완도군 장보고대로 313-0,전문음식,230
15,대박집,전남 완도군 개포로62번길 9-10,한식,161
16,귀빈식당,전남 완도군 군내11번길 11-6,한식,154
17,청솔가든[한식],전남 완도군 중앙길 78-0,한식,129
18,카페더비치,전남 완도군 해변공원로 59-0,카페/찻집,125
19,새벽완도항구,전남 완도군 해변공원로124번길 19-1,전문음식,106
20,미락식당,전남 완도군 군내11번길 15-0,한식,105
21,고향회관,전남 완도군 장용1길 4-1,한식,89
22,메가커피완도중앙점,전남 완도군 장보고대로 198-0,카페/찻집,87
23,완도네시아커피,전남 완도군 장보고대로 262-0,카페/찻집,87
24,카페마르,전남 완도군 동촌길 27-1,카페/찻집,87
25,금성가든,전남 완도군 개포로 20-16,한식,75
26,황가네해물짬뽕[중식],전남 완도군 해변공원로 39-0,외국식,71
27,짜장보고[중식],전남 완도군 청산로 639-3,외국식,69
28,배스킨라빈스전남완도점,전남 완도군 장보고대로 183-0,간이음식,67
29,볏짚돌직영5호점,전남 완도군 해변공원로 137-0,한식,66
30,부자관[중식],전남 완도군 청해진남로18번길 6-2,외국식,65
31,청실횟집,전남 완도군 해변공원로 51-1,전문음식,64
32,완도수협회센터,전남 완도군,전문음식,63
33,경해루[중식],전남 완도군 개포로 12-1,외국식,56
34,가든한국관,전남 완도군 군내3번길 24-6,한식,55
35,완도해물탕,전남 완도군 장보고대로 256-1,한식,54
36,백제 한방삼계탕,전남 완도군 개포로114번길 43-7,한식,51
37,명품탕찜,전남 완도군 개포로177번길 2-14,한식,49
38,까페베네치아,전남 완도군 해변공원로 67-0,카페/찻집,47
39,행복한바다정원,전남 완도군 완도로 2081-0,한식,45
40,달목성 가든,전남 완도군 청해진서로 390-0,한식,43
41,청운수산식당,전남 완도군 도청3길 17-0,한식,43
42,영진수산,전남 완도군 해변공원로 17-0,전문음식,41
43,진미횟집,전남 완도군 장보고대로 282-2,전문음식,40
