순위,업소명,주소,분류,현지인 검색 수
1,녹양관,전남 장흥군 장평중앙길 49-0,전문음식,998
2,정남진만나숯불갈비,전남 장흥군 물레방앗간길 4-0,한식,596
3,영천수산,전남 장흥군 안양로 151-0,전문음식,520
4,오차현,전남 장흥군 동교1길 2-0,카페/찻집,416
5,수복식당,전남 장흥군 건산로 42-0,한식,268
6,오리앤오리,전남 장흥군 우드랜드길 84-0,전문음식,265
7,신가네,전남 장흥군 동교1길 16-0,전문음식,251
8,끄니걱정,전남 장흥군 토요시장2길 3-12,한식,244
9,남포수산,전남 장흥군 접정남포로 763-96,전문음식,235
10,문수헌,전남 장흥군 외평길 152-0,한식,207
11,바다하우스,전남 장흥군 수문용곡로 139-0,전문음식,206
12,갯마을횟집,전남 장흥군 수문용곡로 141-0,전문음식,191
13,드롭탑정남진장흥점,전남 장흥군 토요시장1길 9-1,카페/찻집,154
14,할리스전남장흥점,전남 장흥군 북부로 18-0,카페/찻집,139
15,사계절굴구이,전남 장흥군 정남진해안로 1083-0,전문음식,139
16,시루와콩,전남 장흥군 내평길 31-0,전문음식,133
17,천지식당,전남 장흥군 장평중앙길 56-0,한식,128
18,화풍[중식],전남 장흥군 물레방앗간길 25-13,외국식,125
19,선학막국수,전남 장흥군 흥성로 321-0,한식,119
20,강산해[한식],전남 장흥군 동교로 71-13,한식,119
21,3대곰탕집,전남 장흥군 토요시장3길 16-2,한식,115
22,은희네굴구이,전남 장흥군 죽청1길 174-1,한식,114
23,취락,전남 장흥군 물레방앗간길 36-0,전문음식,112
24,본전식당[한식],전남 장흥군 노력도2길 1-1,한식,105
25,한라네소머리국밥,전남 장흥군 토요시장3길 5-0,한식,103
26,메이향[중식],전남 장흥군 북부로 65-0,외국식,101
27,컴포즈커피장흥중앙로점,전남 장흥군 중앙로 55-1,카페/찻집,95
28,장흥한우프라자,전남 장흥군 토요시장1길 45-0,한식,85
29,명희네음식점,전남 장흥군 토요시장2길 3-6,한식,85
30,경화네굴구이,전남 장흥군 정남진해안로 1089-0,전문음식,85
31,장흥한우삼합구이,전남 장흥군 토요시장2길 9-2,한식,81
32,대복회관[한식],전남 장흥군 동교로 36-6,한식,76
33,이가네,전남 장흥군 장평중앙길 58-0,한식,69
34,남포마을석화구이,전남 장흥군 남포길 50-0,음식점기타,64
35,삭금남촌횟집,전남 장흥군 가학회진로 903-0,전문음식,61
36,정남진전망대횟집,전남 장흥군 정남진해안로 212-57,전문음식,60
37,남하부엌,전남 장흥군 덕암지천길 3-0,한식,58
38,하이브,전남 장흥군 안곡2길 80-12,전문음식,57
39,자담치킨장흥점,전남 장흥군 건산로1길 5-0,간이음식,56
40,153샤브샤브,전남 장흥군 동교로 71-13,전문음식,55
41,싱싱회마을,전남 장흥군 건산로 48-0,전문음식,53
42,제암산가든,전남 장흥군 흥성로 144-0,한식,52
43,장흥토요한우촌,전남 장흥군 토요시장2길 3-10,한식,52
44,황칠나라,전남 장흥군 건산로 62-2,한식,52
45,천지인,전남 장흥군 내평길 25-38,한식,50
46,여다지회마을,전남 장흥군 한승원산책길 158-0,전문음식,48
47,평화마루,전남 장흥군 평화우산길 180-47,한식,48
48,장라벤,전남 장흥군 곰치로 423-0,카페/찻집,47
49,삭금횟집,전남 장흥군 가학회진로 889-0,전문음식,46
50,장흥뚝배기,전남 장흥군 건산로 40-2,한식,45
51,유희의반상[한식],전남 장흥군 동교2길 1-0,한식,45
52,장흥사랑김밥,전남 장흥군 장흥로 39-0,간이음식,44
53,봉림정,전남 장흥군 곰치로 878-0,한식,44
54,청화식당,전남 장흥군 중앙로 97-0,한식,39
55,벌교꼬막정식,전남 장흥군 토요시장2길 48-1,한식,39
56,세마루카페,전남 장흥군 계산1길 15-0,카페/찻집,38
57,탐마루장흥한우,전남 장흥군 장흥로 1-0,한식,36
58,원앤식스커피,전남 장흥군 동교3길 5-0,카페/찻집,34
59,장평반점[중식],전남 장흥군 장평중앙길 52-0,외국식,34
60,진선식육식당,전남 장흥군 중앙로2길 10-0,한식,33
61,배스킨라빈스전남장흥점,전남 장흥군 중앙로 33-1,간이음식,33
62,청송횟집,전남 장흥군 회진중앙길 16-0,전문음식,32
63,토지삼계탕,전남 장흥군 물레방앗간길 20-0,한식,31
64,삭금쭈꾸미,전남 장흥군 물레방앗간길 14-0,전문음식,30
65,귀보아구찜,전남 장흥군 동교2길 50-0,한식,30
66,카페팡야,전남 장흥군 로하스로 48-0,카페/찻집,30
67,신라복집,전남 장흥군 건산로 15-0,전문음식,29
68,홍거촌,전남 장흥군 안양로 103-0,한식,29
69,또봄,전남 장흥군 순지남외길 197-0,카페/찻집,28
70,연지관광농원,전남 장흥군 청다리길 249-1,한식,26
71,굽네치킨전남장흥점,전남 장흥군 장흥로 76-10,간이음식,26
72,일번지굴구이,전남 장흥군 정남진해안로 1165-0,전문음식,26
73,FourRoom,전남 장흥군 중앙로 81-0,카페/찻집,25
74,꼬꼬닭집,전남 장흥군 건산로 44-0,간이음식,25
75,수종가든,전남 장흥군 우드랜드길 21-0,한식,25
76,맷돌,전남 장흥군 의향길 9-1,한식,24
77,공차장흥중앙로점,전남 장흥군 중앙로 44-0,카페/찻집,23
78,카페팜파스,전남 장흥군 우드랜드길 86-0,카페/찻집,23
79,고향갈비탕,전남 장흥군 북부로 72-0,한식,23
80,전주콩나루콩나물국밥장흥점,전남 장흥군 건산로 49-0,한식,23
81,장흥애돌솥밥&삼계탕,전남 장흥군 북부로 70-0,한식,23
82,이가네막창구이,전남 장흥군 동교1길 43-0,전문음식,22
83,일품양평해장국전남장흥점,전남 장흥군 장흥대로 3546-0,한식,22
84,고향식당,전남 장흥군 남부관광로 470-0,한식,22
85,정남진한사랑한우식당,전남 장흥군 토요시장2길 9-1,한식,22
86,토정황손두꺼비국밥,전남 장흥군 토요시장2길 3-7,한식,21
87,반올림 피자샵,전남 장흥군 장흥로 39-0,간이음식,21
88,덕성루[중식],전남 장흥군 건산로 30-0,외국식,20
89,보림산장,전남 장흥군 보림사로 384-0,한식,20
90,탐진강메기탕,전남 장흥군 송산길 17-2,한식,20
91,장흥수산굴구이,전남 장흥군 죽청2길 83-0,전문음식,20
92,사랑해장흥한우,전남 장흥군 토요시장1길 29-0,한식,19
