순위,업소명,주소,분류,현지인 검색 수
1,문가든,전남 해남군 오류골길 66-3,카페/찻집,1306
2,피낭시에,전남 해남군 읍내길 8-0,간이음식,1261
3,신창손순대국밥,전남 해남군 관광레저로 1673-0,한식,1233
4,트윈브릿지,전남 해남군 관광레저로 5-0,카페/찻집,1132
5,천일식당[한식],전남 해남군 읍내길 20-8,한식,874
6,소망식당[한식],전남 해남군 구교2길 2-0,한식,658
7,롯데리아해남점,전남 해남군 중앙2로 22-0,간이음식,525
8,원조장수통닭,전남 해남군 고산로 295-0,한식,491
9,설아다원,전남 해남군 삼성길 153-21,카페/찻집,474
10,히어리스트,전남 해남군 북부순환로 176-0,카페/찻집,463
11,본동기사식당,전남 해남군 땅끝해안로 1796-0,한식,401
12,성내식당,전남 해남군 명문길 19-1,전문음식,392
13,샤브마니아해남점,전남 해남군 북부순환로 141-1,전문음식,376
14,육일시한우촌,전남 해남군 산이로 322-0,한식,350
15,우리기사식당,전남 해남군 관광레저로 1707-0,한식,315
16,한아름식당,전남 해남군 산이로 332-0,한식,310
17,투썸플레이스해남군청점,전남 해남군 군청길 1-0,카페/찻집,269
18,이학식당[한식],전남 해남군 북부순환로 83-0,한식,259
19,메가커피해남터미널점,전남 해남군 해남로 15-0,카페/찻집,257
20,서성식당,전남 해남군 중앙1로 282-0,한식,253
21,바우하우스142,전남 해남군 북부순환로 142-0,카페/찻집,228
22,땅끝정인숙칼국수,전남 해남군 현산북평로 805-0,한식,227
23,만재가든,전남 해남군 중앙1로 356-0,한식,226
23,정든집,전남 해남군 고산로 549-5,한식,226
25,돌고개가든,전남 해남군 고산로 287-0,한식,224
26,꽃담[한식],전남 해남군 교육청길 29-7,한식,223
27,여유로이,전남 해남군 고산로 652-2,카페/찻집,204
28,삼산브레드,전남 해남군 신기큰길 28-0,간이음식,202
29,매화정[중식],전남 해남군 고산로 689-0,외국식,192
30,이왕이면오리,전남 해남군 법원길 27-0,전문음식,189
31,해물밭에노는닭,전남 해남군 고산로 291-0,전문음식,182
32,오대감,전남 해남군 영빈로 49-0,한식,180
33,도깨비식당,전남 해남군 교육청길 49-0,외국식,172
34,명승회센터,전남 해남군 명량로 43-18,전문음식,170
35,한성정[한식],전남 해남군 서림길 8-0,한식,166
36,동명제과,전남 해남군 남부순환로 159-0,간이음식,161
37,달동네보리밥쌈밥,전남 해남군 고산로 656-0,한식,158
38,강변산들,전남 해남군 북부길 122-8,한식,155
39,태양정,전남 해남군 매정길 53-0,전문음식,144
40,어성장어센타,전남 해남군 해남화산로 464-0,전문음식,142
41,현대식당,전남 해남군 우수영로 13-1,한식,141
42,부엉이돈가스해남점,전남 해남군 북부순환로 74-0,전문음식,140
42,물레방아,전남 해남군 대흥사길 158-3,한식,140
44,명성가든,전남 해남군 고산로 549-7,한식,136
45,진솔통닭,전남 해남군 고산로 262-0,한식,134
46,파리바게뜨해남터미널점,전남 해남군 중앙1로 2-0,간이음식,133
47,몽소베이커리,전남 해남군 남부순환로 5-0,간이음식,129
48,파리바게뜨해남1호점,전남 해남군 북부순환로 152-1,간이음식,128
48,송림가든,전남 해남군 구림큰길 32-5,한식,128
50,바다동산,전남 해남군 땅끝마을길 52-0,전문음식,126
51,땅끝아구찜해남점,전남 해남군 동초길 52-0,한식,123
52,이디야커피해남터미널점,전남 해남군 중앙1로 2-14,카페/찻집,121
53,나인포레스트,전남 해남군 대흥사길 30-0,카페/찻집,118
54,미가,전남 해남군 신덕호길 25-0,한식,115
55,산마루터,전남 해남군 대흥사길 88-33,한식,114
55,교촌치킨해남점,전남 해남군 북부순환로 178-0,간이음식,114
57,상아식당,전남 해남군 청용새길 1-0,한식,112
58,해남빵명장,전남 해남군 남부순환로 270-0,간이음식,108
59,종가집한정식[한식],전남 해남군 땅끝마을길 38-7,한식,107
60,커브카페,전남 해남군 명량로 3009-0,카페/찻집,106
61,프리런,전남 해남군,카페/찻집,101
61,월송한우촌,전남 해남군 시등리길 42-0,한식,101
63,호남식당,전남 해남군 대흥사길 143-0,한식,100
63,동원식당,전남 해남군 남부순환로 68-0,한식,100
65,배스킨라빈스해남점,전남 해남군 중앙1로 146-0,간이음식,92
65,보리향기,전남 해남군 대흥사길 158-4,한식,92
67,우리집왕만두바지락칼국수,전남 해남군 천변2길 31-0,한식,90
68,일미정,전남 해남군 고산로 289-0,한식,87
69,맘스터치해남점,전남 해남군 구교2길 26-0,간이음식,86
70,금강골가는길,전남 해남군 해리2길 13-0,카페/찻집,84
71,금호도분식,전남 해남군 관광레저로 1761-0,간이음식,83
72,울도숯불갈비,전남 해남군 명량로 113-0,한식,80
73,용궁해물탕,전남 해남군 행운길 7-0,한식,75
73,다드리김밥천국,전남 해남군 중앙2로 35-0,간이음식,75
75,이강빈의불쌈밥,전남 해남군 수성4길 17-0,한식,73
75,해남고기나라,전남 해남군 남부순환로 59-0,한식,73
77,월송한우촌삼산점,전남 해남군 고산로 540-0,한식,72
77,도미노피자해남점,전남 해남군 해남로 12-0,간이음식,72
77,기라성[중식],전남 해남군 시등로 82-0,외국식,72
80,호산정,전남 해남군 고산로 140-0,전문음식,71
81,향원,전남 해남군 구교2길 33-0,한식,67
82,북일기사식당,전남 해남군 백도로 783-0,한식,66
82,태평양횟집,전남 해남군 북부순환로 92-0,전문음식,66
82,오소재맛집,전남 해남군 오소재로 536-0,한식,66
85,김셰프짬뽕,전남 해남군 땅끝해안로 921-0,외국식,65
86,좋은밥상,전남 해남군 명량로 2912-0,한식,62
87,고구려짬뽕 10101[중식],전남 해남군 북부순환로 153-0,외국식,60
88,이디야커피해남구교점,전남 해남군 구교3길 8-3,카페/찻집,59
88,남창김가네쉼터식당,전남 해남군 백도로 15-0,한식,59
88,황제족발보쌈,전남 해남군 홍교로 41-0,전문음식,59
91,전라도가정식백반,전남 해남군 땅끝마을길 43-0,한식,58
91,BBQ전남해남점,전남 해남군 북부순환로 204-0,간이음식,58
93,참일능이버섯백숙,전남 해남군 교육청길 61-0,한식,57
93,사거리공룡식당[한식],전남 해남군 공룡박물관길 80-0,한식,57
95,땅끝기와집[한식],전남 해남군 법원길 33-0,한식,54
96,대동명품한우,전남 해남군 현산북평로 1125-0,한식,53
97,금강면옥&숯불닭갈비,전남 해남군 매정길 61-0,한식,52
98,신복관해남점,전남 해남군 교육청길 45-2,전문음식,51
99,카페유선,전남 해남군 대흥사길 376-0,카페/찻집,50
99,뚜레쥬르해남군청점,전남 해남군 군청길 13-0,간이음식,50
