순위,업소명,주소,분류,현지인 검색 수
1,수림정[한식],전남 화순군 진각로 154-0,한식,1642
2,화순집,전남 화순군 부처샘길 1-7,한식,1358
3,벽오동화순점,전남 화순군 안양산로 145-0,한식,1269
4,수만리커피,전남 화순군 안양산로 616-2,카페/찻집,1161
5,불타는용궁짬뽕[중식],전남 화순군 칠충로 11-0,외국식,1119
6,약산흑염소가든화순본점,전남 화순군 상삼2길 13-0,한식,1043
7,화순하다,전남 화순군 유천길 48-13,카페/찻집,971
8,카페아더맨,전남 화순군 연양1길 28-0,카페/찻집,927
9,옛날두부,전남 화순군 시장길 33-0,한식,904
10,구지가,전남 화순군 지강로 650-0,한식,883
11,사평다슬기수제비,전남 화순군 서양로 79-0,한식,864
12,부띠크그레이어도곡점,전남 화순군 덕리길 10-5,카페/찻집,819
13,달맞이흑두부,전남 화순군 지강로 542-0,전문음식,780
14,브레드백,전남 화순군 지강로 262-0,카페/찻집,778
15,도곡에서,전남 화순군 효자2길 42-18,카페/찻집,724
16,구백가든,전남 화순군 천태로 1020-0,전문음식,718
17,벽오동,전남 화순군 오성로 388-0,한식,693
18,올라알파카카페,전남 화순군 안양산로 477-1,카페/찻집,674
19,벽오동도곡점 [한식],전남 화순군 지강로 514-0,한식,665
20,행복한임금님화순도곡점 [한식],전남 화순군 지강로 532-0,한식,655
21,유진정,전남 화순군 지강로 514-6,전문음식,648
22,물노리,전남 화순군 원화길 68-23,외국식,642
23,황금독수리,전남 화순군 서양로 374-7,전문음식,569
24,도곡애떡갈비,전남 화순군 지강로 485-0,한식,535
25,산마을도토리,전남 화순군 화남길 9-38,한식,527
26,빵을쇼핑하다,전남 화순군 지강로 558-0,간이음식,519
27,OK목장가든화순본점,전남 화순군 안양산로 72-0,한식,503
28,초원갈비,전남 화순군 만연로 63-0,한식,480
29,달맞이흑두부동면본점,전남 화순군 충의로 849-0,한식,475
30,화성식육식당,전남 화순군 칠충로 162-0,한식,471
31,오코25,전남 화순군 응봉로 335-0,카페/찻집,466
32,색동두부집,전남 화순군 지강로 438-0,한식,450
33,참숯가마팔당원조칼제비도곡점,전남 화순군 지강로 514-14,한식,448
34,화순은아구다,전남 화순군 서양로 354-0,한식,431
35,포레스트96,전남 화순군 신기중앙길 2-0,카페/찻집,407
36,솔밭가든,전남 화순군 오성로 360-0,한식,397
37,둥근지붕,전남 화순군 지강로 260-0,한식,392
38,은성가든[한식],전남 화순군 천태로 996-0,한식,392
39,일송정,전남 화순군 오성로 435-0,한식,366
40,달빛,전남 화순군 지강로 552-13,한식,363
41,에배네도모밀공방,전남 화순군 서양로 97-0,한식,362
42,석란한정식[한식],전남 화순군 교동길 20-0,한식,357
43,소휴,전남 화순군 백천로 632-0,전문음식,341
44,민정이네,전남 화순군 천태로 1030-1,한식,336
45,봉순이팥죽,전남 화순군 시장길 48-0,간이음식,334
46,양지식당,전남 화순군 학포로 1900-0,한식,333
47,임광복의뜨락,전남 화순군 진각로 366-4,한식,326
48,심원갈비,전남 화순군 안양산로 18-0,한식,317
49,몽리브,전남 화순군 학포로 1429-11,카페/찻집,304
50,쌍벌떼아구찜,전남 화순군 진각로 181-7,한식,296
51,황금코다리화순점,전남 화순군 서양로 203-0,한식,289
52,백두대간,전남 화순군 칠충로 13-0,한식,285
53,샤브마니아화순점,전남 화순군 광덕로 248-0,전문음식,279
54,화순빵명장,전남 화순군 화동로 80-0,간이음식,277
55,식물나라,전남 화순군 서양로 404-0,전문음식,275
56,금탑소머리국밥도곡점,전남 화순군 천태로 1127-0,한식,274
