순위,업소명,주소,분류,현지인 검색 수
1,이성당본점,전북 군산시 중앙로 177-0,간이음식,23618
2,한일옥,전북 군산시 구영3길 63-0,한식,8207
3,지린성[중식],전북 군산시 미원로 87-0,외국식,7281
4,장미칼국수,전북 군산시 큰샘길 26-0,한식,7254
5,더본감자탕조촌직영점,전북 군산시 번영로 151-0,한식,4096
6,옹고집쌈밥,전북 군산시 서왕길 34-0,한식,3772
7,복성루[중식],전북 군산시 월명로 382-0,외국식,3439
8,영국빵집,전북 군산시 대학로 144-1,간이음식,3422
9,소담촌군산시청점,전북 군산시 조촌4길 3-0,전문음식,3370
10,우진정육상회,전북 군산시 조촌2길 27-0,한식,3184
11,현대옥군산미장점,전북 군산시 미장안7길 34-0,한식,3052
12,서원반점[중식],전북 군산시 구시장로 63-0,외국식,2886
13,공감선유,전북 군산시 수왕새터길 55-0,카페/찻집,2829
14,리투스카페,전북 군산시 해망로 118-0,카페/찻집,2787
15,빈해원[중식],전북 군산시 동령길 57-0,외국식,2774
16,더담갈비,전북 군산시 양안로 81-0,한식,2766
17,진갈비,전북 군산시 구영1길 108-7,한식,2686
18,유락식당,전북 군산시 해망로 146-25,한식,2676
19,파라디소페르두또,전북 군산시 한밭로 76-11,전문음식,2667
20,백년짬뽕[중식],전북 군산시 요죽안2길 14-0,외국식,2467
21,카페라파르,전북 군산시 장자도2길 31-0,카페/찻집,2457
22,정문부대찌개,전북 군산시 신장원길 23-1,한식,2449
23,지곡동옛날돈까스,전북 군산시 양안로 5-0,전문음식,2426
24,장미칼국수수송직영점,전북 군산시 수송남로 20-0,한식,2382
25,왕산중화요리[중식],전북 군산시 대학로 209-0,외국식,2322
26,멧돌방식당,전북 군산시 금암3길 3-0,한식,2316
27,키친후가,전북 군산시 양안로 32-0,간이음식,2286
28,모트,전북 군산시 미장남로 111-5,외국식,2285
29,카페미곡창고,전북 군산시 구암3.1로 253-0,카페/찻집,2276
30,무녀2구마을버스,전북 군산시,카페/찻집,2258
31,등촌샤브칼국수조촌점,전북 군산시 조촌로 23-0,한식,2200
32,모예의 정원,전북 군산시 대위로 172-0,카페/찻집,2171
33,서래애물총칼국수,전북 군산시 구암3.1로 71-9,한식,2157
34,상무초밥군산점,전북 군산시 월명로 201-0,외국식,2149
35,우민회관,전북 군산시 번영로 158-20,전문음식,2032
36,계곡가든꽃게장군산본부점,전북 군산시 금강로 470-0,전문음식,2018
37,최종희부뚜막디오션점,전북 군산시 백릉로 198-0,한식,2010
38,리즈리,전북 군산시 서만자2길 6-0,카페/찻집,1944
39,사월,전북 군산시 검다메1길 56-0,간이음식,1938
40,군산중동호떡,전북 군산시 서래로 52-0,간이음식,1910
41,코지하우스군산점,전북 군산시 수송로 324-0,전문음식,1900
42,군산떡갈비,전북 군산시 미장6길 16-0,한식,1772
43,군산르락,전북 군산시 한밭안길 30-0,카페/찻집,1751
44,원조군산아구,전북 군산시 경촌2길 36-6,전문음식,1738
45,오스트로한,전북 군산시 남내안길 14-0,외국식,1729
46,한소끔,전북 군산시 백토로 284-8,한식,1721
47,서우식당,전북 군산시 나운안2길 9-6,한식,1684
48,최동민양푼갈비군산본점,전북 군산시 수송안5길 4-0,한식,1622
49,서울소바[일식],전북 군산시 수송안길 7-0,외국식,1615
50,청하순대집,전북 군산시 진포로 185-0,한식,1606
51,MCL,전북 군산시 검다메1길 30-0,카페/찻집,1604
52,완주옥,전북 군산시 큰샘길 42-0,한식,1599
53,토실배기,전북 군산시 상지곡안4길 7-1,한식,1590
54,푸르던,전북 군산시 아동남로 33-0,카페/찻집,1553
55,뽀빠이냉면,전북 군산시 장재길 12-4,한식,1536
56,홍익돈까스군산점,전북 군산시 미장서로 54-0,전문음식,1529
57,세상갈비,전북 군산시 조촌로 163-0,한식,1520
58,당골카페,전북 군산시 오성로 134-17,카페/찻집,1501
59,빈타이군산은파점,전북 군산시 한밭로 76-10,카페/찻집,1494
60,상평까페,전북 군산시 광월길 33-15,카페/찻집,1490
61,어시장활어회직거래판매장,전북 군산시 신평길 20-0,전문음식,1488
62,명월갈비,전북 군산시 구영7길 59-0,한식,1442
63,구시장회집,전북 군산시 신금길 18-0,전문음식,1407
64,군산짬뽕[중식],전북 군산시 조촌4길 24-9,외국식,1324
65,다이도[일식],전북 군산시 번영로 121-0,외국식,1316
66,청담회집본점,전북 군산시 수송안7길 36-0,전문음식,1304
67,요쿠야마치군산점 [일식],전북 군산시 구영3길 49-0,외국식,1302
68,최종희부뚜막,전북 군산시 백석로 58-2,한식,1288
69,황금어장,전북 군산시 상지곡1길 20-0,전문음식,1262
70,새만금횟집,전북 군산시 비응안7길 13-0,전문음식,1256
71,일풍식당,전북 군산시 서흥1길 9-0,한식,1232
72,안동집,전북 군산시 아리랑로 39-0,한식,1212
73,육대장군산시청점,전북 군산시 조촌로 38-0,한식,1200
74,군산홍어,전북 군산시 신평3길 17-0,전문음식,1195
75,어도원,전북 군산시 상지곡3길 49-0,한식,1191
76,란향[중식],전북 군산시 미장안9길 7-0,외국식,1155
77,비응반점[중식],전북 군산시 비응로 64-0,외국식,1149
78,국제반점[중식],전북 군산시 구영6길 100-0,외국식,1145
79,비행장부대찌개,전북 군산시 하나운안2길 14-0,전문음식,1143
80,미소한우직매장,전북 군산시 계남1길 52-0,한식,1128
81,만남스넥,전북 군산시 대학로 67-3,간이음식,1117
82,주공순대,전북 군산시 진포로 180-0,한식,1116
83,서수해장국,전북 군산시 남산로 306-0,한식,1114
84,153부대찌개,전북 군산시 신장원길 32-1,전문음식,1109
85,틈,전북 군산시 구영6길 125-1,카페/찻집,1108
86,올드브릭,전북 군산시 해망로 235-0,카페/찻집,1103
87,일흥옥,전북 군산시 구영7길 25-0,한식,1077
88,고래면옥,전북 군산시 나운5길 8-0,한식,1077
89,돔베초밥수송점,전북 군산시 수송남로 2-0,외국식,1076
