순위,업소명,주소,분류,현지인 검색 수
1,그늘집1,전북 남원시 대사로 500-0,한식,3172
2,미드슬로프,전북 남원시 운강길 87-0,카페/찻집,2940
3,명문제과,전북 남원시 용성로 56-0,간이음식,2574
4,두레식당,전북 남원시 서문1길 14-0,한식,1729
5,서남만찬,전북 남원시 역재1길 9-0,한식,1558
6,고향맛집,전북 남원시 운교1길 34-0,한식,1502
7,경방루[중식],전북 남원시 광한북로 29-0,외국식,1479
8,새집추어탕,전북 남원시 요천로 1397-0,한식,1139
9,현식당,전북 남원시 의총로 8-0,한식,889
10,달궁식당지리산점,전북 남원시 지리산로 311-0,한식,844
11,자연을닮은사람들,전북 남원시 원천로 345-33,한식,736
12,고갯마루,전북 남원시 비홍로 1280-0,한식,672
13,빈타이남원점,전북 남원시 광한서로 39-0,카페/찻집,667
14,부산집,전북 남원시 요천로 1411-0,한식,561
15,동춘원[중식],전북 남원시 비석길 95-0,외국식,528
16,서래헌,전북 남원시 정령치로 209-0,한식,516
17,한우회관,전북 남원시 정문길 10-0,한식,510
18,이조갈비,전북 남원시 향단로 18-0,한식,505
19,그랑깨,전북 남원시 광한서로 52-0,전문음식,489
20,권가네초유지,전북 남원시 원천로 288-0,카페/찻집,458
21,심원첫집[한식],전북 남원시 모정길 21-3,한식,453
22,육모정,전북 남원시 숲정이1길 4-0,한식,428
23,봉가면옥,전북 남원시 소리길 177-0,한식,406
24,금생춘[중식],전북 남원시 가방뜰길 117-0,외국식,394
25,정옥추어탕,전북 남원시 교룡로 58-15,한식,394
26,미안커피,전북 남원시 함파우길 65-14,카페/찻집,381
27,일출산채식당[한식],전북 남원시 지리산로 799-0,한식,346
28,오름플라워카페,전북 남원시 양림길 28-13,카페/찻집,344
29,그늘집2,전북 남원시 대사로 500-0,한식,334
30,집밥담다,전북 남원시 하정1길 28-0,한식,328
31,디저트39남원춘향점,전북 남원시 원천로 345-34,카페/찻집,326
32,해용집,전북 남원시 요천로 2263-0,한식,326
33,모정엔틱카페,전북 남원시 모정길 7-4,카페/찻집,305
34,늘파인 카페,전북 남원시 삼산길 8-17,카페/찻집,297
35,털보가든,전북 남원시 삼화길 80-0,한식,284
36,할매추어탕,전북 남원시 요천로 1467-0,한식,282
37,또바기,전북 남원시 광한서로 29-0,한식,278
38,두부마을,전북 남원시 양림길 28-7,한식,262
39,송해와오리백숙,전북 남원시 운교2길 24-0,전문음식,258
40,청학동회관[한식],전북 남원시 관서당길 31-0,한식,256
41,춘원회관,전북 남원시 양림길 14-10,한식,245
42,동막골,전북 남원시 요천로 1537-0,한식,222
43,반야돌솥밥,전북 남원시 향단로 8-0,한식,220
44,잡학다식,전북 남원시 하정2길 10-0,간이음식,218
45,산내음가든,전북 남원시 요천로 1403-0,한식,213
46,풍년칼국수,전북 남원시 시청동로 25-0,한식,212
47,황토식당,전북 남원시 동헌길 155-0,한식,199
48,산골농장식당,전북 남원시 인월로 67-0,한식,190
49,꾼호떡,전북 남원시 시청남로 33-0,간이음식,184
50,현대옥남원점,전북 남원시 큰들3길 8-1,한식,182
51,교룡가든,전북 남원시 산성길 110-0,전문음식,178
52,청룡집,전북 남원시 요천로 2266-0,한식,173
53,월향재,전북 남원시 동헌길 114-0,카페/찻집,170
54,대성식당,전북 남원시 정령치로 776-0,한식,164
55,만월,전북 남원시 가방뜰길 49-0,한식,163
56,황금코다리남원점,전북 남원시 양림길 32-0,한식,160
57,큰산초록맛집,전북 남원시 운교2길 47-0,한식,160
58,절구통,전북 남원시 조산안길 28-0,전문음식,158
59,산촌가든,전북 남원시 양림길 48-7,전문음식,157
60,한성[중식],전북 남원시 남문로 400-3,외국식,157
61,우미가,전북 남원시 옥정3길 53-0,음식점기타,157
62,운봉흑돼지전문점,전북 남원시 운성로 13-0,한식,154
63,아스팔트커피,전북 남원시 춘향로 268-0,카페/찻집,151
64,남원어시장,전북 남원시 조산안길 18-0,전문음식,151
65,전망대커피숍,전북 남원시 양림길 23-52,카페/찻집,146
66,흥부골남원추어탕,전북 남원시 천왕봉로 62-8,한식,144
67,금성쭈꾸미,전북 남원시 쑥고개로 81-0,한식,137
68,산들다헌,전북 남원시 향단로 21-0,카페/찻집,132
69,인산인해,전북 남원시 시청동로 26-0,한식,131
70,오장동면옥,전북 남원시 용성로 221-8,한식,130
71,풍년순두부,전북 남원시 역재2길 14-5,한식,128
72,추어향,전북 남원시 요천로 1455-0,한식,127
73,황금보리밭,전북 남원시 누른대길 64-0,한식,123
74,두꺼비집,전북 남원시 인월장터로 3-0,한식,115
75,플래닛커피남원점,전북 남원시 천왕봉로 791-0,카페/찻집,114
76,이대째식당,전북 남원시 대교1길 8-0,한식,114
77,샤브마니아남원점,전북 남원시 충정로 137-0,전문음식,112
78,전통면옥,전북 남원시 고샘길 27-0,한식,112
79,더스위트호텔남원라테라스,전북 남원시 원천로 217-0,전문음식,110
80,24시전주명가콩나물국밥남원점,전북 남원시 동문로 9-0,한식,110
81,빽다방남원중앙점,전북 남원시 남문로 447-0,카페/찻집,110
82,배스킨라빈스남원도통점,전북 남원시 용성로 216-0,간이음식,107
83,신촌매운탕,전북 남원시 원천로 27-8,한식,106
84,남원한정식[한식],전북 남원시 양림길 42-0,한식,103
85,참맛장어,전북 남원시 원천로 345-25,전문음식,102
86,자연미림,전북 남원시 범실길 42-75,한식,100
87,뜰아래,전북 남원시 비석길 7-0,카페/찻집,100
88,나몬,전북 남원시 산정로 70-0,카페/찻집,99
89,한우물칼국수,전북 남원시 역재1길 7-0,한식,99
