순위,업소명,주소,분류,현지인 검색 수
1,화탄매운탕,전북 순창군 화탄길 1-0,한식,805
2,베르자르당,전북 순창군 가잠로 8-0,카페/찻집,803
3,원조옥천골한정식[한식],전북 순창군 경천1로 78-0,한식,700
4,미소식당,전북 순창군 장류로 290-0,한식,642
5,2대째순대,전북 순창군 남계로 52-0,한식,532
6,화양연화,전북 순창군 경천로 91-0,카페/찻집,512
7,새집식당[한식],전북 순창군 순창6길 5-1,한식,464
8,물통골한우마을,전북 순창군 순창로 137-0,한식,381
9,돌담집,전북 순창군 순창1길 25-6,한식,339
10,향가산장,전북 순창군 향가로 574-45,한식,302
11,매일닭집,전북 순창군 순창8길 23-0,간이음식,282
12,돈까스클라스,전북 순창군 금산로 8-15,전문음식,275
13,민속집[한식],전북 순창군 순창8길 5-1,한식,240
14,구룡가든,전북 순창군 강천로 124-0,한식,232
15,해물나라낙지,전북 순창군 남계로 74-0,전문음식,215
16,카페오늘,전북 순창군 경천1로 34-0,카페/찻집,202
17,순창맛집,전북 순창군 민속마을길 6-3,한식,189
18,산경,전북 순창군 창덕로 353-0,한식,171
19,대궁,전북 순창군 순창5길 20-0,한식,152
20,함양식당,전북 순창군 순화로 27-0,한식,146
21,창림동 두부마을,전북 순창군 장류로 358-5,한식,128
22,뜨란채,전북 순창군 강천로 664-26,한식,117
23,진도식당,전북 순창군 구림로 474-0,한식,116
24,늘식당,전북 순창군 가인로 638-0,한식,109
25,가마솥,전북 순창군 순창로 205-9,한식,107
26,해솔,전북 순창군 순창7길 14-0,한식,95
27,화덕갈비순창점,전북 순창군 순창로 167-0,한식,82
28,옥천면옥,전북 순창군 순창2길 6-0,한식,81
29,카페자연다울수록,전북 순창군 신촌길 71-10,카페/찻집,80
30,순흥즉석순두부가든,전북 순창군 장류로 77-0,한식,80
31,산솔,전북 순창군 강천산길 86-0,카페/찻집,79
32,탄금정,전북 순창군 탄금길 1-4,한식,76
33,현대옥순창점,전북 순창군 순창6길 48-0,한식,76
34,백야촌,전북 순창군 담순로 889-13,한식,75
35,유등숯불돼지갈비,전북 순창군 유등로 59-0,한식,73
36,늘,전북 순창군 순창5길 10-5,한식,68
37,중앙회관,전북 순창군 순창로 205-1,한식,65
38,본때감자탕,전북 순창군 순창11길 8-3,한식,63
39,명가원,전북 순창군 담순로 951-57,한식,62
40,연다라전통순대,전북 순창군 남계로 52-0,한식,60
41,만리장성[중식],전북 순창군 순창로 80-0,외국식,58
42,봉깨순대,전북 순창군 남계로 58-0,한식,55
43,강천풍경식당,전북 순창군 강천산길 80-0,한식,55
44,메가커피전북순창점,전북 순창군 장류로 352-0,카페/찻집,54
45,친구네집,전북 순창군 순창5길 2-0,한식,50
46,배스킨라빈스전북순창점,전북 순창군 장류로 372-0,간이음식,49
47,녹원,전북 순창군 순창5길 28-0,한식,48
