순위,업소명,주소,분류,현지인 검색 수
1,메이드인헤븐,전북 익산시 하나로 864-22,카페/찻집,3465
2,태백칼국수,전북 익산시 중앙로 15-1,한식,3378
3,카페덕기,전북 익산시 덕기1길 104-0,카페/찻집,3159
4,맛동순두부,전북 익산시 미륵사지로 397-0,한식,2716
5,함라정원,전북 익산시 신대진등길 91-0,카페/찻집,2689
6,부송국수본점,전북 익산시 부송로 19-0,한식,2654
7,초미당첫번째점 [일식],전북 익산시 선화로33길 76-0,외국식,2613
8,다사랑치킨피자함열점,전북 익산시 함열중앙로 74-0,간이음식,2388
9,중앙생선가,전북 익산시 중앙로 22-125,전문음식,2370
10,마리더스타,전북 익산시 칠목재로 225-0,카페/찻집,2368
11,동서네낙지본점,전북 익산시 인북로46길 47-0,전문음식,2310
12,육개월,전북 익산시 고봉로 319-1,한식,2238
13,카페온아,전북 익산시 현영길 12-2,카페/찻집,2121
14,백제가든,전북 익산시 선화로65길 34-10,한식,2081
15,오늘제빵소,전북 익산시 미륵사지로 20-0,카페/찻집,2069
16,달빛에구운고등어,전북 익산시 동서로 505-0,한식,2062
17,블랜드미,전북 익산시 현영길 123-10,카페/찻집,2049
18,코코밀,전북 익산시 선화2로 36-0,카페/찻집,2033
19,종가집,전북 익산시 동서로 477-0,한식,2030
20,고려당,전북 익산시 인북로3길 6-0,간이음식,1953
21,신동양[중식],전북 익산시 평동로11길 60-0,외국식,1920
22,다사랑치킨피자원대본점,전북 익산시 동서로5길 94-0,간이음식,1879
23,솔가숯불갈비익산점,전북 익산시 마한로 143-0,한식,1796
24,우리분식,전북 익산시 중앙로3길 28-0,간이음식,1752
25,엄가네본가시골집익산점,전북 익산시 배산로 150-0,한식,1746
26,함라산황토가든,전북 익산시 백제로 638-0,한식,1709
27,한일식당,전북 익산시 황등로 106-0,한식,1687
28,눈들재,전북 익산시 선화로65길 34-8,카페/찻집,1659
29,풍성제과본점,전북 익산시 서동로 103-0,간이음식,1644
30,왕궁다원,전북 익산시 사곡길 21-5,카페/찻집,1590
31,별미집,전북 익산시 고봉로 176-1,한식,1572
32,양누리본점,전북 익산시 무왕로23길 29-1,한식,1563
33,리스토란테콜리모현점,전북 익산시 배산로3길 69-0,전문음식,1549
34,잎새달,전북 익산시 사현길 6-0,카페/찻집,1539
35,상무초밥익산점,전북 익산시 무왕로 1033-5,외국식,1526
36,다가포가든,전북 익산시 현영길 40-5,한식,1524
37,다미일식[일식],전북 익산시 무왕로23길 5-0,외국식,1501
38,서동한우타운,전북 익산시 미륵사지로 16-0,한식,1470
39,본향본점 [한식],전북 익산시 금광길 54-17,한식,1365
40,씨아전복,전북 익산시 현영길 25-0,한식,1259
41,동해안,전북 익산시 배산로 71-4,전문음식,1224
42,카페라이즈,전북 익산시 서동로27길 84-0,카페/찻집,1223
43,시장비빔밥,전북 익산시 황등7길 25-8,한식,1217
44,목향한정식[한식],전북 익산시 평동로 527-0,한식,1196
45,흙가든본점,전북 익산시 번영로 1854-0,전문음식,1169
46,도심불고기,전북 익산시 약촌로8길 20-23,한식,1130
47,홍익돈까스익산점,전북 익산시 무왕로 1242-0,전문음식,1117
48,전복궁,전북 익산시 선화로3길 7-16,한식,1116
49,북경반점[중식],전북 익산시,외국식,1097
50,이화동산,전북 익산시 익산대로 1424-7,한식,1091
51,하나로 남촌칼국수,전북 익산시 하나로 524-0,한식,1090
52,더본감자탕,전북 익산시 동서로 165-0,한식,1079
53,요쿠야마치[일식],전북 익산시 선화로3길 39-13,외국식,1078
54,익산돈가스,전북 익산시 미륵사지로 220-0,전문음식,1068
55,예인면옥본점,전북 익산시 무왕로12길 24-0,한식,1064
56,솜리치킨,전북 익산시 인북로10길 23-0,간이음식,1056
57,전주소바,전북 익산시 목천로 281-0,외국식,1050
58,왕중왕손짜장[중식],전북 익산시 무왕로 1626-0,외국식,1036
59,빌라드네이처,전북 익산시 서동로27길 43-4,카페/찻집,1007
60,삼양웰빙순대,전북 익산시 평동로13길 18-0,한식,999
61,창평민물장어,전북 익산시 익산대로 1366-6,전문음식,994
62,루베르,전북 익산시 선화로3길 33-5,전문음식,991
63,세엄마칼국수,전북 익산시 평동로 509-27,한식,987
64,삼송빵집익산점,전북 익산시 배산로3길 63-42,간이음식,987
65,아레라,전북 익산시 무왕로2길 264-10,카페/찻집,962
66,장승골,전북 익산시 마한로5길 17-14,한식,962
67,프리모파스타,전북 익산시 배산로3길 52-0,전문음식,959
68,취란[중식],전북 익산시 배산로10길 3-0,외국식,956
69,진가진연구소,전북 익산시 평동로 668-0,한식,929
70,미담,전북 익산시 용순2길 6-3,한식,927
71,두거리우신탕익산점,전북 익산시 무왕로1길 95-0,한식,902
72,진미식당,전북 익산시 황등로 158-0,한식,889
73,자바브레이크,전북 익산시 선화로 510-7,카페/찻집,885
74,고궁정[한식],전북 익산시 동서로 504-0,한식,877
75,물머리집,전북 익산시 고도1길 56-5,한식,869
76,아필코웨스턴라이프호텔점,전북 익산시 동서로 380-0,카페/찻집,861
77,오아시스,전북 익산시 익산대로76길 88-0,카페/찻집,858
78,하이디,전북 익산시 구룡길 25-15,카페/찻집,858
79,함열토속순대,전북 익산시 함열2길 13-0,한식,857
80,이비가짬뽕익산모현점 [중식],전북 익산시 선화로1길 109-20,외국식,855
81,시트러스,전북 익산시 선화로21길 16-8,카페/찻집,845
82,영빈회관,전북 익산시 인북로3길 38-0,전문음식,840
83,스탠다드베이커리,전북 익산시 동서로49길 23-19,카페/찻집,797
84,좋은갈비,전북 익산시 현영길 12-1,한식,794
85,야래향[중식],전북 익산시 중앙로 12-249,외국식,792
86,정원곰탕,전북 익산시 석암로11길 124-0,한식,773
87,그라운드,전북 익산시 인북로 108-11,카페/찻집,771
88,용수촌,전북 익산시 무왕로1길 109-0,한식,769
89,따봉식당,전북 익산시 중앙로 170-0,한식,754
90,보리네생고깃간익산점,전북 익산시 궁동로 177-0,한식,745
