순위,업소명,주소,분류,현지인 검색 수
1,옥정호산장,전북 임실군 운정길 7-0,한식,2335
2,붕어섬,전북 임실군 구이로 8-0,한식,1868
3,애뜨락,전북 임실군 운정길 70-20,카페/찻집,901
4,그랑게,전북 임실군 종운로 760-0,카페/찻집,900
5,교촌치킨임실점,전북 임실군 감천로 20-0,간이음식,642
6,옥쭹가든,전북 임실군 국사봉로 10-0,카페/찻집,543
7,강남참게장,전북 임실군 강운로 1175-20,한식,522
8,상록수,전북 임실군 운정길 29-0,한식,474
9,청웅식당,전북 임실군 구고6길 65-0,한식,324
10,강나루횟집,전북 임실군 종운로 802-5,전문음식,309
11,미텐발트,전북 임실군 종운로 802-18,카페/찻집,306
12,구암산장,전북 임실군 입석1길 58-0,한식,232
13,초원장,전북 임실군 사선2길 46-14,한식,216
14,코티지683,전북 임실군 운암2길 9-0,카페/찻집,208
15,시골밥상,전북 임실군 중동2길 10-0,한식,198
16,오수장어,전북 임실군 춘향로 1934-0,전문음식,187
17,성심회관,전북 임실군,한식,175
18,브리즈,전북 임실군 강운로 1208-21,카페/찻집,171
19,포레드노드,전북 임실군 사선2길 46-25,카페/찻집,168
20,화덕쿡,전북 임실군 도인2길 50-0,간이음식,160
21,운암5호,전북 임실군 종운로 802-19,한식,159
22,여무누리 한우&치즈,전북 임실군 치즈마을2길 36-3,한식,134
23,사선대해물칼국수,전북 임실군 사선2길 46-10,한식,133
24,치즈밸리참나무집,전북 임실군 도인2길 36-0,한식,126
25,파리바게뜨전북임실점,전북 임실군 운수로 25-0,간이음식,124
26,이도냉면 숯불갈비,전북 임실군 호국로 1716-4,한식,122
27,이즈피자,전북 임실군 중동로 35-0,간이음식,115
28,치즈온,전북 임실군 치즈마을길 142-23,간이음식,114
29,섬진강다슬기마을,전북 임실군 강운로 145-0,한식,112
30,원동산식당본점 [한식],전북 임실군 오수3길 11-0,한식,111
31,우유일기,전북 임실군 치즈마을길 193-0,카페/찻집,108
32,상운암전주식당본점,전북 임실군 임운로 1875-4,한식,107
33,하루,전북 임실군 강운로 1175-13,카페/찻집,101
34,천담집,전북 임실군 강동로 1330-0,한식,95
34,대만원[중식],전북 임실군 봉황로 152-0,외국식,95
36,앙갤러리카페,전북 임실군 운정길 94-15,카페/찻집,92
37,산들미향,전북 임실군 치즈마을1길 33-0,한식,90
38,미스티,전북 임실군 종운로 772-0,카페/찻집,84
39,인디비주얼임실점,전북 임실군 구이로 28-0,카페/찻집,76
40,청웅분식,전북 임실군 청웅로 149-0,간이음식,68
41,갈마가든,전북 임실군 호국로 1880-5,한식,67
41,운암회관,전북 임실군 종운로 802-12,한식,67
41,황금코다리임실점,전북 임실군 호국로 1630-20,한식,67
44,광명가든,전북 임실군 감천로 16-3,한식,66
45,초원식당,전북 임실군 운수로 26-0,한식,65
46,옥정호풍차,전북 임실군,전문음식,64
47,삼성반점[중식],전북 임실군 사선1길 17-0,외국식,63
48,수곡산장,전북 임실군 용수2길 135-7,한식,60
49,호수정,전북 임실군 사선2길 46-12,한식,59
50,강나루식당,전북 임실군 춘향로 3337-0,한식,53
51,국사봉전망대,전북 임실군 국사봉로 512-0,음식점기타,52
52,꽈배기진,전북 임실군 필봉굿길 47-16,카페/찻집,49
53,행운집,전북 임실군 호국로 14-12,한식,47
54,현대옥임실점,전북 임실군 운수로 56-0,한식,46
55,성원회관,전북 임실군 호국로 44-1,한식,43
56,도봉집,전북 임실군 운수로 26-0,한식,42
56,사선각[중식],전북 임실군 춘향로 3474-0,외국식,42
56,이디야커피전북임실점,전북 임실군 운수로 19-0,카페/찻집,42
59,숲속의집,전북 임실군 종운로 951-10,한식,41
60,대원기사식당,전북 임실군 사선로 83-0,한식,40
61,물레방아,전북 임실군 월평서길 7-24,한식,36
62,임실옥,전북 임실군 중동로 6-1,한식,34
62,청정임실성미당,전북 임실군 중동로 16-0,한식,34
62,수궁반점[중식],전북 임실군 석등슬치로 351-0,외국식,34
62,성수산가든,전북 임실군 성수산길 309-10,한식,34
66,서양집,전북 임실군 운수로 33-18,외국식,33
66,꼬앙꼬앙,전북 임실군 봉황11길 116-0,카페/찻집,33
68,명륜진사갈비전북임실점,전북 임실군 오수7길 60-1,한식,32
69,임실N치즈피자임실점,전북 임실군 봉황로 183-0,간이음식,31
70,샘골 가마솥설렁탕,전북 임실군 필봉굿길 47-16,한식,30
70,naivecat,전북 임실군 운수로 33-17,카페/찻집,30
72,카페고투비밀의정원,전북 임실군 구이로 12-0,카페/찻집,29
73,담소원,전북 임실군 갈마로 1-17,한식,28
73,흥용각[중식],전북 임실군 감천로 8-0,외국식,28
75,시골집,전북 임실군 청운로 6-0,한식,27
75,임실닭갈비,전북 임실군 봉황8길 26-0,전문음식,27
77,대영회관,전북 임실군 오수로 136-10,한식,26
77,이도령휴게소[한식],전북 임실군 춘향로 2377-0,한식,26
79,할매국수집,전북 임실군 호국로 14-12,한식,25
80,불재참숯,전북 임실군 불재로 661-0,한식,24
80,롯데리아임실점,전북 임실군 운수로 19-0,간이음식,24
82,임실본가갈비탕,전북 임실군 춘향로 3007-0,한식,22
83,섬진강두부마을,전북 임실군 인덕로 1164-0,전문음식,21
83,입석산장,전북 임실군 입석1길 10-0,한식,21
83,방자가든,전북 임실군 오수로 8-0,한식,21
83,토프레소오수효진점,전북 임실군 오수7길 60-1,카페/찻집,21
87,다사랑치킨피자임실점,전북 임실군 운수로 33-8,간이음식,20
87,BHC전북임실점,전북 임실군 중동로 4-0,간이음식,20
89,슬치백산식당,전북 임실군 춘향로 3732-0,한식,19
90,장안집[한식],전북 임실군 오수로 140-9,한식,18
91,쌍둥이네식당,전북 임실군 봉황11길 44-0,한식,17
92,임실수제비,전북 임실군 봉황로 134-0,한식,16
92,화락당,전북 임실군 도인2길 50-0,외국식,16
92,미미회관,전북 임실군 삼일로 14-0,한식,16
92,커피다오,전북 임실군 봉황11길 102-0,카페/찻집,16
96,더리터임실점,전북 임실군 운수로 50-0,카페/찻집,14
96,별장회관,전북 임실군 구고3길 3-1,한식,14
98,사선정[한식],전북 임실군 사선2길 46-6,한식,13
98,오스하우스,전북 임실군 구이로 28-0,카페/찻집,13
98,황제반점[중식],전북 임실군 오수5길 10-1,외국식,13
