순위,업소명,주소,분류,현지인 검색 수
1,신가네정읍국밥본점,전북 정읍시 수성5로 19-0,한식,1980
2,정읍쌍화차거리,전북 정읍시 중앙1길 158-0,음식점기타,1844
3,순정축협한우명품관,전북 정읍시 내장산로 14-0,한식,1404
4,양자강[중식],전북 정읍시 우암로 57-0,외국식,1383
5,국화회관,전북 정읍시 서부로 22-0,한식,1277
6,베르데카페,전북 정읍시 정읍북로 1327-0,카페/찻집,1250
7,정읍한우,전북 정읍시 화평길 2-0,한식,1095
8,산외한우마을,전북 정읍시,음식점기타,1059
9,씨아전복[일식],전북 정읍시 상사2길 30-0,외국식,1046
10,차마루,전북 정읍시 정읍남로 1377-0,카페/찻집,877
11,마리서사,전북 정읍시 수성택지4길 20-12,전문음식,851
12,아양촌해물칼국수,전북 정읍시 송산1길 25-0,한식,783
13,다래원해물칼국수,전북 정읍시 상사1길 26-0,한식,761
14,녹원,전북 정읍시 수성3로 43-3,카페/찻집,744
15,대일정,전북 정읍시 수학정석길 3-0,전문음식,619
16,갈비박스,전북 정읍시 우암로 62-0,한식,606
17,밥보씨아전복,전북 정읍시 하신경8길 10-0,한식,596
18,자양식당,전북 정읍시 수성택지7길 24-16,한식,586
19,금거북,전북 정읍시 정읍북로 665-0,한식,571
20,백학정,전북 정읍시 태인로 29-3,한식,570
21,돗가비,전북 정읍시 수성택지3길 15-0,한식,562
22,현대옥정읍점,전북 정읍시 중앙1길 15-0,한식,526
23,제이포렛,전북 정읍시 정읍사로 388-0,카페/찻집,499
24,포레스트베이,전북 정읍시 서당길 14-0,카페/찻집,495
25,조선별관,전북 정읍시 수성택지7길 16-13,한식,461
26,도해,전북 정읍시 수성택지7길 24-15,전문음식,453
27,이오일스페이스,전북 정읍시 내장산로 222-0,카페/찻집,424
28,정촌[한식],전북 정읍시 중앙1길 169-0,한식,421
29,청샘골,전북 정읍시 월천길 27-1,한식,413
30,쌈촌정읍점 [한식],전북 정읍시 명덕1길 71-0,한식,413
31,카페허브원,전북 정읍시 구량1길 188-23,카페/찻집,401
32,한오백년추어탕,전북 정읍시 명덕2길 4-0,한식,373
33,옛날김밥,전북 정읍시 새암길 7-0,간이음식,371
34,솜씨만두정읍점,전북 정읍시 중앙로 162-0,한식,365
35,석쇠,전북 정읍시 한솔로 10-0,한식,364
36,보안식당,전북 정읍시 중앙로 95-0,한식,356
37,남미회관,전북 정읍시 명륜길 12-0,한식,348
38,산골냉면,전북 정읍시 내장산로 16-8,한식,342
39,명성쌈밥,전북 정읍시 수성택지1길 13-16,한식,337
40,시골삼계탕전문점,전북 정읍시 수성3로 39-7,한식,334
41,옥돌생고기,전북 정읍시 명륜길 15-7,한식,319
42,다사랑치킨피자정읍수성점,전북 정읍시 수성택지5길 8-0,간이음식,317
43,새재가든,전북 정읍시 백학2길 133-0,한식,317
44,그해가을,전북 정읍시 내장산로 610-0,카페/찻집,312
45,황금코다리정읍점,전북 정읍시 서부산업도로 420-0,한식,308
46,뚝방가든,전북 정읍시 칠보중앙로 103-31,한식,288
47,모두랑쌍화탕,전북 정읍시 중앙1길 148-0,카페/찻집,286
48,풍성한숯불갈비,전북 정읍시 초산3길 3-0,한식,284
49,더본감자탕정읍점,전북 정읍시 명덕로 10-0,한식,272
50,명인관[한식],전북 정읍시 내장산로 941-13,한식,264
51,전복돌솥밥,전북 정읍시 금붕1길 69-8,한식,246
52,토지[한식],전북 정읍시 마곡로 110-12,한식,243
53,갈비마을,전북 정읍시 수성4로 47-9,한식,240
54,짚불화덕갈비정읍점,전북 정읍시 내장산로 145-0,한식,234
55,일품향[중식],전북 정읍시 관통로 54-3,외국식,230
