순위,업소명,주소,분류,현지인 검색 수
1,병천순대거리,충남 천안시 동남구 아우내순대길 33-0,음식점기타,15655
2,뚜쥬루빵돌가마점,충남 천안시 동남구 풍세로 706-0,간이음식,15569
3,맥도날드천안원성DT점,충남 천안시 동남구 천안대로 699-0,간이음식,9156
4,카페온담,충남 천안시 동남구 통세골2길 41-0,카페/찻집,6451
5,이고집만두,충남 천안시 동남구 태조산길 258-0,한식,5295
6,박순자아우내순대,충남 천안시 동남구 아우내순대길 47-0,한식,4965
7,핀스커피,충남 천안시 동남구 해솔1길 27-29,카페/찻집,4392
8,버거킹천안원성DT점,충남 천안시 동남구 충절로 170-0,간이음식,4126
9,청당정원,충남 천안시 동남구 청당2길 131-0,한식,3740
10,스타벅스천안청당점,충남 천안시 동남구 청수14로 102-0,카페/찻집,3624
11,카페루,충남 천안시 동남구 서부대로 531-20,카페/찻집,3516
12,루베아,충남 천안시 동남구 교촌7길 46-11,카페/찻집,3514
13,충남집순대,충남 천안시 동남구 충절로 1748-0,전문음식,3410
14,선유원,충남 천안시 동남구 동평3길 30-0,한식,3170
15,티볼리,충남 천안시 동남구 청수10길 4-39,외국식,2873
16,이우철한방누룽지삼계탕천안본점,충남 천안시 동남구 유량로 164-0,한식,2803
17,샤브마니아천안신방점,충남 천안시 동남구 서부대로 125-0,전문음식,2713
18,버거킹천안쌍용대로DT점,충남 천안시 동남구 쌍용대로 94-0,간이음식,2683
19,교토리,충남 천안시 동남구 위례성로 782-0,카페/찻집,2630
20,지씨브레드,충남 천안시 동남구 유량로 196-0,간이음식,2546
21,스타벅스천안대로DT점,충남 천안시 동남구 천안대로 527-0,카페/찻집,2519
22,스타벅스천안IC DT점,충남 천안시 동남구 신부15길 3-0,카페/찻집,2429
23,권구성순대국밥본점,충남 천안시 동남구 충절로 149-0,한식,2423
24,장칼국수,충남 천안시 동남구 천안천8길 49-0,한식,2403
25,수림정천안점,충남 천안시 동남구 통정6로 29-0,한식,2307
26,밥상차려주는집[한식],충남 천안시 동남구 풍세로 702-0,한식,2267
27,타타스베이글,충남 천안시 동남구 태조산길 220-3,카페/찻집,2206
28,알토란한정식[한식],충남 천안시 동남구 서부대로 519-0,한식,2131
29,눈들재,충남 천안시 동남구 용곡2길 43-20,카페/찻집,2117
30,그리고스페셜티,충남 천안시 동남구 유량로 104-0,카페/찻집,2063
31,청화집,충남 천안시 동남구 충절로 1749-0,한식,2032
32,은행나무집,충남 천안시 동남구 태조산길 137-0,전문음식,1992
33,카페목천,충남 천안시 동남구 충절로 986-37,카페/찻집,1988
34,봉평장터,충남 천안시 동남구 향교1길 140-0,한식,1980
35,부에노,충남 천안시 동남구 남부대로 336-0,카페/찻집,1970
36,석산장,충남 천안시 동남구 문화로 30-0,한식,1896
37,병천쌍둥이네순대,충남 천안시 동남구 아우내순대길 26-0,한식,1866
38,태조숯불석갈비,충남 천안시 동남구 태조산길 103-0,한식,1857
39,제주미작,충남 천안시 동남구 신흥1길 58-1,카페/찻집,1807
40,북한강쭈꾸미신방점,충남 천안시 동남구 통정1로 20-13,전문음식,1804
41,시유당,충남 천안시 동남구 휴양림길 99-18,카페/찻집,1799
42,히트커피,충남 천안시 동남구 통정4로 67-0,카페/찻집,1794
43,풍세커피,충남 천안시 동남구 한우물2길 90-0,카페/찻집,1769
44,동원정,충남 천안시 동남구 서부대로 543-0,전문음식,1759
45,맘앤쉐프[한식],충남 천안시 동남구 은지2길 38-0,한식,1754
46,신방동먹자골목,충남 천안시 동남구,음식점기타,1640
47,능수정,충남 천안시 동남구 청수4로 8-0,한식,1624
48,정상갈비,충남 천안시 동남구 유량로 107-0,한식,1622
49,탐앤탐스천안단국대호수점,충남 천안시 동남구 단대로 119-0,카페/찻집,1616
50,옥돌돼지갈비,충남 천안시 동남구 풍년길 58-0,한식,1614
51,백향[중식],충남 천안시 동남구 화령길 3-52,외국식,1601
52,병천부부순대,충남 천안시 동남구 아우내순대길 28-0,한식,1599
53,벽오동천안점 [한식],충남 천안시 동남구 향교1길 138-0,한식,1596
54,마리스커피,충남 천안시 동남구 천호지길 11-0,카페/찻집,1588
55,브레드보드,충남 천안시 동남구 종합휴양지로 183-0,간이음식,1582
56,천진[중식],충남 천안시 동남구 공고담길 43-5,외국식,1573
57,카페슈,충남 천안시 동남구 중리1길 55-0,카페/찻집,1568
58,해물화짬뽕1호점 [중식],충남 천안시 동남구 교천지산길 104-0,외국식,1558
59,송연[한식],충남 천안시 동남구 양지말1길 11-4,한식,1537
60,도시커피,충남 천안시 동남구 통정10로 7-1,카페/찻집,1526
61,메콩타이천안신방점,충남 천안시 동남구 서부대로 101-0,외국식,1513
62,돈까스클럽천안신방점,충남 천안시 동남구 서부대로 135-0,전문음식,1479
63,봉명치킨,충남 천안시 동남구 봉정로 34-0,간이음식,1462
