순위,업소명,주소,분류,현지인 검색 수
1,초록델리하우스,충남 계룡시 신도안2길 41-0,전문음식,4505
2,스타벅스계룡대로DT점,충남 계룡시 번영로 6-0,카페/찻집,3562
3,파스쿠찌계룡DT점,충남 계룡시 계룡대로 452-0,카페/찻집,1720
4,계룡대반점[중식],충남 계룡시 금암2길 11-0,외국식,1257
5,감나무집,충남 계룡시 평리길 20-0,전문음식,1202
6,예촌소바,충남 계룡시 번영11길 18-16,외국식,1200
7,화평[중식],충남 계룡시 계룡대로 486-0,외국식,962
8,맛나감자탕계룡본점,충남 계룡시 금암로 142-0,한식,956
9,오후의산책,충남 계룡시 번영11길 25-0,카페/찻집,951
10,씨에르보,충남 계룡시 사계로9길 18-0,전문음식,890
11,칠갑산바닷물손두부계룡점,충남 계룡시 양정향한길 218-6,한식,744
12,버거킹계룡엄사점,충남 계룡시 계룡대로 524-0,간이음식,720
12,흥부와놀부,충남 계룡시 금암1길 14-0,한식,720
14,투썸플레이스계룡DT점,충남 계룡시 계룡대로 473-0,카페/찻집,715
15,한마음정육식당계룡입암점,충남 계룡시 입암길 218-0,한식,710
16,콩밭가인,충남 계룡시 새터산길 12-0,한식,706
17,구스브레드,충남 계룡시 장안1길 40-0,간이음식,635
18,연리지,충남 계룡시 향적산길 91-0,카페/찻집,608
19,아르보,충남 계룡시 서금암5길 70-0,카페/찻집,602
20,고향맛집,충남 계룡시 배울길 97-0,한식,592
21,내일또오리충남계룡점,충남 계룡시 전원1길 1-0,전문음식,477
22,교촌치킨계룡대점,충남 계룡시 번영로 68-0,간이음식,435
23,롯데리아계룡점,충남 계룡시 번영로 36-0,간이음식,427
24,계룡면옥,충남 계룡시 새터산길 4-0,한식,417
25,조방낙지계룡점,충남 계룡시 서금암로 11-0,전문음식,415
26,용인토종순대국계룡엄사점,충남 계룡시 번영7길 8-0,한식,400
27,더하고부대찌개,충남 계룡시 금암로 140-0,전문음식,385
28,미다미[일식],충남 계룡시 장안2길 42-0,외국식,384
29,진성아구찜계룡점,충남 계룡시 서금암2길 13-7,한식,373
30,신토불이병천순대,충남 계룡시 전원로 5-14,한식,368
31,계룡각[중식],충남 계룡시 번영3길 10-0,외국식,351
32,천마산장독대와보리밥,충남 계룡시 천마로 87-10,한식,349
33,아르볼그란데366,충남 계룡시 양정향한길 223-0,카페/찻집,346
34,신도안오리,충남 계룡시 장안로 31-0,전문음식,335
35,낙원식당,충남 계룡시 팥거리로 218-1,한식,319
36,청정여수명가[한식],충남 계룡시 번영1길 5-14,한식,314
37,배스킨라빈스계룡엄사점,충남 계룡시 엄사중앙로 97-0,간이음식,312
38,계룡한방오리,충남 계룡시 연화동길 7-0,전문음식,306
39,파리바게뜨계룡대엄사점,충남 계룡시 엄사중앙로 101-0,간이음식,305
40,대운식당,충남 계룡시 평리길 29-0,한식,297
41,모꼬지,충남 계룡시 전원1길 13-0,한식,288
42,1984그수육집칼국수계룡엄사점,충남 계룡시 전원로 36-0,한식,270
43,향적산한상,충남 계룡시 광석향한길 223-0,한식,268
44,수복일식[일식],충남 계룡시 전원로 79-0,외국식,266
45,도미노피자계룡점,충남 계룡시 번영로 12-0,간이음식,264
46,해미르,충남 계룡시 신도안1길 41-0,간이음식,250
47,BHC계룡점,충남 계룡시 서금암1길 11-4,간이음식,247
48,육샤육샤계룡점,충남 계룡시 번영2길 4-27,한식,246
49,도원뚝배기짬뽕[중식],충남 계룡시 번영로 57-0,외국식,234
50,큰솔밭[한식],충남 계룡시 번영2길 21-14,한식,233
51,북청손만두 요리집,충남 계룡시 장안1길 38-0,한식,229
52,한중원[중식],충남 계룡시 연화동길 25-0,외국식,225
53,그라지애,충남 계룡시 서금암3길 10-0,간이음식,220
54,신도리한우촌,충남 계룡시 번영11길 4-57,한식,218
55,남서문옛날가마솥곰탕계룡본점,충남 계룡시 서금암1길 11-6,한식,217
56,파리바게뜨계룡시청점,충남 계룡시 장안로 66-0,간이음식,215
57,샤브마니아계룡점,충남 계룡시 계룡대로 320-0,전문음식,201
58,카페그리다,충남 계룡시 번영2길 21-0,카페/찻집,196
58,돼지가족족발,충남 계룡시 번영2길 5-0,전문음식,196
58,풍년닭갈비,충남 계룡시 번영2길 5-1,전문음식,196
61,호박이야기,충남 계룡시 번영로 89-0,간이음식,194
62,코뚜레고기마을,충남 계룡시 번영10길 17-8,한식,193
63,수경손만두,충남 계룡시 장안로 59-3,한식,192
64,이화수전통육개장계룡점,충남 계룡시 계룡대로 486-0,한식,183
65,연화식당,충남 계룡시 연화동길 27-0,한식,181
66,촌돼지솥뚜껑삼겹살,충남 계룡시 전원로 15-0,한식,178
67,방일해장국계룡점,충남 계룡시 금암로 149-10,한식,177
68,화심순두부,충남 계룡시 평리길 22-0,한식,174
69,고반식당계룡점,충남 계룡시 전원1길 5-1,한식,171
70,맘스터치계룡금암점,충남 계룡시 서금암3길 5-0,간이음식,170
71,올리브식탁,충남 계룡시 번영8길 8-3,한식,168
72,복고풍,충남 계룡시 장안로 31-0,한식,167
73,고군산횟집,충남 계룡시 전원로 21-0,전문음식,164
74,웰빙양고기,충남 계룡시 번영6길 12-0,한식,161
75,착한감자탕금암점,충남 계룡시 서금암로 53-0,한식,153
75,황부자집,충남 계룡시 전원로 62-2,한식,153
77,로컬한우,충남 계룡시 번영8길 20-1,한식,152
78,74무한바베큐계룡점,충남 계룡시 서금암2길 16-0,전문음식,150
79,이삭토스트계룡엄사점,충남 계룡시 번영로 120-0,간이음식,149
80,수경가든[중식],충남 계룡시 서금암1길 15-0,외국식,148
81,금암산장,충남 계룡시 서금암5길 74-0,한식,147
82,천지봉면옥,충남 계룡시 계룡대로 275-0,한식,145
83,피자헛계룡점,충남 계룡시 평리길 6-0,간이음식,141
83,별미황소곱창,충남 계룡시 번영2길 4-37,전문음식,141
85,무궁화회관,충남 계룡시 계룡대9로 104-0,한식,139
86,콩쥐팥쥐,충남 계룡시 팥거리2길 4-3,간이음식,138
87,태백 칡 냉면,충남 계룡시 번영2길 4-9,한식,136
88,아네모스,충남 계룡시 장안1길 16-1,카페/찻집,134
89,부산자갈치횟집,충남 계룡시 전원로 17-13,전문음식,133
90,대산식당,충남 계룡시 양정향한길 21-2,한식,130
91,고기박사냉면초계막국수계룡점,충남 계룡시 계룡대로 486-0,한식,117
92,국수랑묵이랑,충남 계룡시 번영10길 39-0,한식,113
93,아빠의주방,충남 계룡시 장안2길 17-0,전문음식,112
94,토종선지뼈다귀해장국,충남 계룡시 번영로 10-0,한식,109
95,예사랑막국수,충남 계룡시 계룡대로 263-0,한식,104
96,현대옥충남계룡점,충남 계룡시 번영1길 5-12,한식,102
97,마미쿡계룡쇼핑타운점,충남 계룡시 신도안1길 41-0,간이음식,100
98,굽네치킨계룡점,충남 계룡시 금암로 155-11,간이음식,99
99,빽다방충남계룡엄사점,충남 계룡시 번영로 26-0,카페/찻집,93
99,메가커피계룡대실지구점,충남 계룡시 농소로 40-0,카페/찻집,93
