순위,업소명,주소,분류,현지인 검색 수
1,솥뚜껑매운탕,충남 공주시 아래안영골길 4-0,한식,3904
2,스타벅스공주DT점,충남 공주시 무령로 467-0,카페/찻집,3478
3,에어산,충남 공주시 임금봉길 88-27,카페/찻집,3190
4,엔학고레,충남 공주시 불장골길 113-12,카페/찻집,2416
5,춘소커피,충남 공주시 쌍신길 108-0,카페/찻집,2038
6,신관짬뽕[중식],충남 공주시 전막2길 32-7,외국식,1982
7,피탕김탕,충남 공주시 한적2길 41-11,외국식,1850
8,동해원[중식],충남 공주시 납다리길 22-0,외국식,1829
9,롯데리아공주신관점,충남 공주시 흑수골길 34-0,간이음식,1816
10,곰골식당,충남 공주시 봉황산1길 1-2,한식,1683
11,롱디커피,충남 공주시 금벽로 1071-0,카페/찻집,1628
12,베이커리밤마을,충남 공주시 백미고을길 5-9,간이음식,1623
13,동학사초가집,충남 공주시 구모동길 57-0,한식,1383
14,카페유월,충남 공주시 금벽로 1077-12,카페/찻집,1375
15,스타벅스공주동학사DT점,충남 공주시 동학사1로 114-0,카페/찻집,1368
16,시장정육점식당,충남 공주시 백미고을길 10-5,한식,1342
17,전통궁중칼국수,충남 공주시 금벽로 679-0,한식,1303
18,부자떡집,충남 공주시 용당길 11-0,간이음식,1271
19,유가네칼국수,충남 공주시 원댕이길 8-0,한식,1225
20,스타벅스공주신관점,충남 공주시 번영1로 113-0,카페/찻집,1211
21,홍기와쭈꾸미,충남 공주시 원전말길 6-0,전문음식,1202
22,양달가든,충남 공주시 해포길 40-13,한식,1185
23,예가,충남 공주시 금벽로 535-0,한식,1151
24,숲너울,충남 공주시 문금길 413-0,카페/찻집,1124
25,더크루즈,충남 공주시 동학사1로 191-0,카페/찻집,1107
26,개성집공주점,충남 공주시 미나리3길 6-5,한식,1062
27,마세오른,충남 공주시 정광터1길 98-20,한식,1040
28,향수,충남 공주시 차령고개로 17-99,외국식,1034
29,라루체,충남 공주시 계룡대로 1392-0,전문음식,974
30,매향,충남 공주시 백미고을길 18-0,한식,964
31,주원장밤짜장[중식],충남 공주시 단지문화마을길 10-20,외국식,963
32,온더기와,충남 공주시 밀목재길 27-14,카페/찻집,925
33,솔반,충남 공주시 마티고개로 60-0,한식,922
34,주봉마을우렁촌,충남 공주시 검바위로 712-0,한식,904
35,새이학가든,충남 공주시 금강공원길 15-2,한식,869
36,청룡창고커피,충남 공주시 새동네길 12-0,카페/찻집,864
37,곰골식당월송점,충남 공주시 무령로 580-34,한식,849
38,명성불고기,충남 공주시 웅진로 200-0,한식,841
39,SUBWAY공주신관점,충남 공주시 흑수골길 35-0,간이음식,824
40,청운식당[중식],충남 공주시 의당로 321-8,외국식,803
41,고향손칼국수,충남 공주시 무령로 670-0,한식,784
42,서울칼국수,충남 공주시 월송동현로 48-0,한식,781
43,온천손칼국수,충남 공주시 원전말길 36-14,한식,768
44,고마나루1999,충남 공주시 백미고을길 5-8,한식,767
45,고가네칼국수,충남 공주시 제민천3길 56-0,한식,762
46,어씨네본가,충남 공주시 창벽로 714-0,한식,760
47,메밀꽃,충남 공주시 금벽로 1336-0,한식,739
48,우성관[중식],충남 공주시 동대3길 4-0,외국식,728
49,백년추어탕,충남 공주시 송선농공단지길 51-0,한식,715
50,자연골농원,충남 공주시 의당길 114-41,한식,688
51,소담정,충남 공주시 백미고을길 5-1,한식,662
52,한적골,충남 공주시 한적2길 37-44,한식,661
53,고창애풍천장어,충남 공주시 창벽로 234-1,전문음식,653
54,샤브쌈주머니공주점,충남 공주시 무령로 599-25,전문음식,623
55,교동면옥공주신관점,충남 공주시 번영1로 111-0,한식,617
56,로컬파스타,충남 공주시 용당길 59-13,전문음식,616
57,고박사냉면초계막국수,충남 공주시 장기로 121-0,한식,608
58,동양미과,충남 공주시 의당전의로 211-29,카페/찻집,600
59,어가명가공주본점,충남 공주시 한적2길 64-19,한식,590
60,공주마마,충남 공주시 서덕산길 18-9,전문음식,583
61,투썸플레이스공주신관점,충남 공주시 흑수골길 36-8,카페/찻집,575
62,장순루,충남 공주시 마방길 5-12,외국식,557
63,이뭐꼬,충남 공주시 계룡대로 1407-0,한식,549
64,곰선생동태씨,충남 공주시 무령로 466-3,한식,532
65,알밤에반한한우,충남 공주시 금강공원길 9-0,한식,524
66,한우가든정육점식당,충남 공주시 번영2로 40-11,한식,517
