순위,업소명,주소,분류,현지인 검색 수
1,애월담,충남 금산군 실학로 529-0,전문음식,1853
2,바르비종베이커리카페,충남 금산군 마전로 26-1,카페/찻집,1346
3,명성각[중식],충남 금산군 하마전로 64-0,외국식,1088
4,뮤지엄B,충남 금산군 구만길 52-0,카페/찻집,1003
5,너구리의피난처,충남 금산군 적우실길 28-0,한식,855
6,원골식당,충남 금산군 금강로 588-0,한식,845
7,황토집사람들[한식],충남 금산군 태고사로 444-0,한식,764
8,아르체마레,충남 금산군 수영길 10-29,카페/찻집,701
9,여울목카페,충남 금산군 낙안길 3-0,카페/찻집,378
10,카페로벨리아,충남 금산군 태고사로 422-0,카페/찻집,373
11,진산메밀막국수,충남 금산군 압석골길 6-0,한식,364
12,금산불쭈꾸미,충남 금산군 금산로 1390-0,전문음식,343
13,솔내음,충남 금산군 홍골1길 142-0,전문음식,338
14,용강식당,충남 금산군 용화로 262-0,한식,322
15,남촌가든,충남 금산군 낙안길 34-5,한식,302
16,금산한우갤러리,충남 금산군 창평로 178-0,한식,290
17,황제장어나라무한리필,충남 금산군 복수로 462-0,전문음식,287
18,추어명장,충남 금산군 서대산로 57-0,한식,283
19,시골추어탕,충남 금산군 마전로 80-2,한식,282
20,가마솥한우진곰탕,충남 금산군 금산로 2428-0,한식,279
21,금산원조김정이삼계탕,충남 금산군 인삼약초로 33-0,한식,263
22,복수막국수,충남 금산군 복수로 118-0,한식,260
23,이본가,충남 금산군 진산로 24-0,한식,253
24,투썸플레이스충남금산점,충남 금산군 금산로 1528-0,카페/찻집,241
25,청풍명월,충남 금산군 낙안길 6-0,전문음식,236
26,금산어죽촌,충남 금산군,음식점기타,233
27,여래향[중식],충남 금산군 하마전로 53-0,외국식,224
28,적벽강가든,충남 금산군 적벽강로 774-0,전문음식,219
29,장춘관[중식],충남 금산군 상마전1길 2-0,외국식,200
30,마당있는집[한식],충남 금산군 뒷담말길 26-0,한식,193
31,아일랜드,충남 금산군 금강로 443-0,카페/찻집,190
32,롯데리아금산점,충남 금산군 인삼로 71-0,간이음식,189
33,캐슬1477,충남 금산군 금산로 1477-0,카페/찻집,187
34,처음처럼,충남 금산군 인삼로 246-0,한식,175
35,골목추어탕,충남 금산군 상마전길 15-3,한식,174
36,박가네집,충남 금산군 남사직6길 33-0,한식,173
37,마달피가든,충남 금산군 용화로 272-0,한식,161
38,산마루가든,충남 금산군 태고사로 441-0,한식,160
39,뚝배기한우,충남 금산군 복수로 1237-0,한식,156
40,초원가배,충남 금산군 금산로 1642-0,카페/찻집,151
41,가화정,충남 금산군 복수로 781-0,한식,138
41,복수할매한우정육가든,충남 금산군 복수로 458-0,한식,138
43,카페흰바우,충남 금산군 창평3길 4-0,카페/찻집,129
44,그리녹,충남 금산군 적선길 42-32,카페/찻집,125
45,배나무집,충남 금산군 낙안길 2-0,한식,124
46,리누갤러리제이컬쳐앤비즈,충남 금산군 수목로 280-0,전문음식,122
47,돌담쌈밥,충남 금산군 추풍천길 33-0,한식,120
48,고가네두부집,충남 금산군 사직중앙로 12-0,전문음식,119
49,토담[한식],충남 금산군 태고사로 436-0,한식,116
50,더버킷유니온,충남 금산군 용천로 340-0,카페/찻집,111
51,북어마당,충남 금산군 군청6길 21-0,한식,110
52,오직짬뽕[중식],충남 금산군 복수로 91-3,외국식,105
53,파리바게뜨충남금산점,충남 금산군 비범로 6-0,간이음식,95
53,오리장닭집,충남 금산군 비호로 15-1,전문음식,95
55,스타카페,충남 금산군 진산로 1042-3,카페/찻집,94
56,번지농장돌판아구찜,충남 금산군 하진도길 13-3,한식,93
56,알트,충남 금산군 복수로 1362-16,전문음식,93
58,명륜진사갈비충남금산점,충남 금산군 비단로 331-0,한식,85
59,청림골,충남 금산군 청림동로 40-0,한식,80
59,메차쿠차,충남 금산군 대학로 60-0,간이음식,80
61,삼원가든[한식],충남 금산군 무금로 2085-0,한식,79
61,한송생선구이,충남 금산군 인삼로 153-0,한식,79
63,평양할머니집,충남 금산군 다복로 3-0,한식,78
64,원골도깨비식당,충남 금산군 금강로 596-4,한식,76
65,금산애[한식],충남 금산군,한식,74
