순위,업소명,주소,분류,현지인 검색 수
1,맥도날드충남논산DT점,충남 논산시 시민로 247-0,간이음식,4138
2,반월소바,충남 논산시 해월로 132-0,간이음식,3320
3,스타벅스논산내동DT점,충남 논산시 시민로 165-0,카페/찻집,3158
4,스타벅스논산중앙점,충남 논산시 중앙로398번길 13-10,카페/찻집,2881
5,알바노,충남 논산시 산노1길 79-12,전문음식,2684
6,강경해물칼국수,충남 논산시 계백로147번길 7-0,한식,2504
7,태능초가집갈비,충남 논산시 중앙로398번길 7-7,한식,2337
8,창공식당,충남 논산시 노성로 429-0,한식,1582
9,쿠우쿠우논산점,충남 논산시 논산대로124번길 6-0,전문음식,1493
10,황산항아리보쌈,충남 논산시 논산평야로 1364-1,전문음식,1463
11,초서,충남 논산시 탑정로 802-0,카페/찻집,1450
12,레이크힐제빵소,충남 논산시 탑정로 872-0,카페/찻집,1437
13,강짬뽕[중식],충남 논산시 계백로 1660-8,외국식,1415
14,원산면옥,충남 논산시 매죽헌로 99-0,한식,1282
15,뷰포인트카페,충남 논산시 탑정로 900-0,카페/찻집,1256
16,천평순대,충남 논산시 관촉로 113-7,한식,1223
17,유진짬뽕앤돈까스,충남 논산시 안심로140번길 49-0,전문음식,1141
18,SUBWAY논산점,충남 논산시 시민로 267-0,간이음식,1092
19,감동제빵소,충남 논산시 중앙로384번길 35-3,간이음식,1068
20,대성한우농장,충남 논산시 득안대로 585-0,한식,1005
21,산애들애,충남 논산시 황룡재로 64-11,전문음식,956
22,태평식당,충남 논산시 옥녀봉로35번길 9-0,한식,921
23,논산옥,충남 논산시 방축길 28-6,한식,918
23,남촌칼국수,충남 논산시 금백로 95-0,한식,918
25,함흥면옥,충남 논산시 대학로 81-0,한식,913
26,기찻길옆오막살이,충남 논산시 계백로 680-8,한식,901
27,민스시,충남 논산시 시민로307번길 17-0,외국식,892
28,천안문[중식],충남 논산시 관촉로31번길 36-1,외국식,873
29,먹보쌈밥고깃간,충남 논산시 사계로 498-0,한식,859
30,은진쭈꾸미,충남 논산시 관촉로 11-0,전문음식,836
31,샤브마니아논산점,충남 논산시 대학로 26-0,전문음식,822
32,코이비꼬,충남 논산시 강산길 90-0,카페/찻집,809
33,하나네수제돈가스,충남 논산시 중앙로 323-0,전문음식,757
34,다우한우식당,충남 논산시 논산대로 536-0,한식,730
35,신동회관,충남 논산시 백일헌로 999-0,한식,703
36,롯데리아논산점,충남 논산시 중앙로398번길 13-9,간이음식,691
37,목구멍논산점,충남 논산시 중앙로398번길 13-2,한식,677
38,롯데리아논산연무점,충남 논산시 안심로 152-0,간이음식,669
39,버거킹논산건양대점,충남 논산시 대학로 104-0,간이음식,650
40,투썸플레이스논산대학로점,충남 논산시 중앙로 130-0,카페/찻집,637
41,보은집,충남 논산시 감바위로30번길 6-0,한식,629
42,유가원숯불갈비전문점,충남 논산시 계백로 795-0,한식,616
43,도미노피자논산점,충남 논산시 중앙로 219-0,간이음식,615
44,림스카스텔라,충남 논산시 중앙로365번길 8-0,간이음식,602
45,원조연산할머니순대,충남 논산시 황산벌로 1525-0,한식,594
46,평매매운탕,충남 논산시 산노1길 89-21,한식,582
47,명품한우명가,충남 논산시 중앙로 365-0,한식,574
48,신풍매운탕,충남 논산시 신풍길 84-15,한식,556
49,장수고을,충남 논산시 강산길 86-0,한식,549
50,잇쿄[일식],충남 논산시 여강로 1318-0,외국식,543
51,함지박,충남 논산시 계백로665번길 5-0,한식,539
51,고박사냉면초계국수논산본점,충남 논산시 계백로 1097-0,한식,539
53,연산시장도토리묵,충남 논산시 연산4길 10-5,한식,528
54,백씨네가든,충남 논산시 금백로 667-5,한식,491
55,제주어장,충남 논산시 중앙로410번길 13-7,전문음식,468
56,백소정논산점,충남 논산시 중앙로398번길 13-7,외국식,465
57,만복정,충남 논산시 대촌4길 81-0,한식,463
58,가평해장국,충남 논산시 시민로 255-0,한식,461
58,배스킨라빈스논산내동점,충남 논산시 시민로258번길 29-0,간이음식,461
60,어드레스,충남 논산시 탑정로 902-0,카페/찻집,460
60,황산옥,충남 논산시 금백로 34-0,전문음식,460
62,솔나무가든,충남 논산시 읍내3길 16-10,한식,454
63,수정가든,충남 논산시 산노1길 89-17,한식,440
64,소나무한정식[한식],충남 논산시 논산대로 357-0,한식,411
65,고구려숯불갈비,충남 논산시 강산길 5-0,한식,409
66,은진손칼국수,충남 논산시 매죽헌로25번길 8-0,한식,406
67,하늘보리,충남 논산시 산노1길 103-16,음식점기타,402
68,들풀담소[한식],충남 논산시 관촉로67번길 15-0,한식,391
69,고향식당,충남 논산시 선비로 317-0,한식,374
70,온도1250도,충남 논산시 황산벌로 961-6,카페/찻집,369
71,들풀이동갈비,충남 논산시 관촉로67번길 13-0,한식,357
72,자연밥상,충남 논산시 부적로 401-0,한식,353
73,금화왕돈까스논산지산점,충남 논산시 관촉로 102-0,전문음식,352
74,양촌한우타운,충남 논산시 황산벌로 478-0,한식,346
75,설빙논산점,충남 논산시 중앙로410번길 19-12,카페/찻집,337
75,셋집매농가맛집,충남 논산시 원앙로 1354-0,한식,337
77,낭만참치,충남 논산시 시민로132번길 52-22,전문음식,329
78,투썸플레이스논산시청점,충남 논산시 시민로210번길 5-0,카페/찻집,327
79,시골애,충남 논산시 관촉로 262-1,전문음식,323
79,봉평메밀왕막국수,충남 논산시 한전2길 4-0,한식,323
81,장군족발녹두삼계탕,충남 논산시 중앙로398번길 23-12,전문음식,322
82,교촌치킨취암점,충남 논산시 중앙로 214-0,간이음식,310
83,별천지유명가든,충남 논산시 계백로 2236-62,한식,305
84,물바위송어장,충남 논산시 황산벌로 1075-21,전문음식,303
85,백년집,충남 논산시 연무로 215-0,한식,301
86,스테이인터뷰커피하우스,충남 논산시 계백로167번길 50-0,카페/찻집,298
87,은진뜰에,충남 논산시 탑정로 379-0,한식,292
88,이대로짬뽕[중식],충남 논산시 계백로 2574-0,외국식,283
89,제닉,충남 논산시 산업단지로5길 5-0,음식점기타,273
90,연산보리밥,충남 논산시 계백로 2442-0,한식,271
91,레이크티,충남 논산시 황산벌로1222번길 28-2,간이음식,268
92,진짜배기명태촌논산계룡점,충남 논산시,한식,267
93,큰손식당,충남 논산시 금백로 158-0,한식,265
94,대청마루,충남 논산시 연무로 202-1,한식,263
95,요남자논산점,충남 논산시 중앙로 258-0,전문음식,257
96,형제해물칼국수&왕돈까스,충남 논산시 안심로 196-20,한식,249
97,화로본갈비,충남 논산시 중앙로398번길 9-0,한식,247
98,먹보진갈비,충남 논산시 계백로 718-0,한식,246
99,예가원,충남 논산시 관촉로31번길 40-1,전문음식,237
100,김가네대가추어탕,충남 논산시 금백로 99-0,한식,236
