순위,업소명,주소,분류,현지인 검색 수
1,카페모월,충남 서산시 관청터길 7-1,카페/찻집,3876
2,3CATS성연점,충남 서산시 생동사동길 204-8,카페/찻집,2934
3,가보[중식],충남 서산시 호수공원9로 47-0,외국식,2500
4,메가커피서산호수공원점,충남 서산시 호수공원3로 56-0,카페/찻집,2154
5,화룡[중식],충남 서산시 안견로 269-0,외국식,2117
6,보배반점서산예천점 [중식],충남 서산시 예천7로 49-3,외국식,2086
7,석남리창고,충남 서산시 석남1로 15-7,한식,2008
8,온석커피,충남 서산시 온석2길 33-13,카페/찻집,1856
9,카페만조,충남 서산시 중왕뱃마을길 14-0,카페/찻집,1815
10,카페간월,충남 서산시 간월도1길 117-0,카페/찻집,1765
11,촌,충남 서산시 잠동4길 34-0,전문음식,1743
12,자연뜰[한식],충남 서산시 온석2길 24-0,한식,1612
13,소박한밥상,충남 서산시 애정길 150-22,한식,1565
14,한가로이,충남 서산시 신창길 102-3,카페/찻집,1501
15,미다옴,충남 서산시 서해로 3577-0,전문음식,1432
16,은우커피,충남 서산시 향교3길 14-0,카페/찻집,1425
17,카페가온,충남 서산시 동암마을길 108-0,카페/찻집,1376
18,홍익돈까스서산점,충남 서산시 호수공원6로 61-0,전문음식,1350
19,백반의신서산불고기[한식],충남 서산시 율지19길 47-16,한식,1342
20,엄가네 본가시골집,충남 서산시 고운로 260-5,한식,1300
21,서산태안축협한우프라자서산점,충남 서산시 운암로 141-13,한식,1295
22,레이크야드,충남 서산시 잠온길 86-0,카페/찻집,1256
23,장수촌,충남 서산시 동암마을길 306-0,한식,1246
24,라멘집입니다,충남 서산시 한마음6로 43-0,외국식,1246
25,큰마을영양굴밥,충남 서산시 간월도1길 65-0,전문음식,1177
26,온센서산점,충남 서산시 호수공원4로 8-0,외국식,1164
27,덕수네가리비1호점,충남 서산시 독곶해변길 116-0,전문음식,1161
28,차이한[중식],충남 서산시 동서1로 4-9,외국식,1160
29,구움당,충남 서산시 율지2로 2-0,간이음식,1157
30,카페성연,충남 서산시 성연3로 141-0,카페/찻집,1133
31,배스킨라빈스서산예천점,충남 서산시 호수공원7로 14-0,간이음식,1120
32,준테이블,충남 서산시 공림1길 26-0,전문음식,1118
33,가야관,충남 서산시 명륜3길 24-35,한식,1104
34,이비가짬뽕서산점 [중식],충남 서산시 호수공원3로 50-0,외국식,1096
35,낙원갈비집서산점,충남 서산시 읍내5로 21-0,한식,1062
36,정글카페,충남 서산시 잠홍2길 107-0,카페/찻집,1000
37,대도관[한식],충남 서산시 부춘3로 19-0,한식,992
38,신전떡볶이서산호수공원점,충남 서산시 호수공원12로 7-0,간이음식,988
39,자연밥상[한식],충남 서산시 성연4로 141-17,한식,987
40,고박사냉면초계국수서산본점,충남 서산시 동서1로 67-0,한식,959
41,인지한우마을,충남 서산시 무학로 1712-0,한식,950
42,오봉집서산점,충남 서산시 호수공원5로 7-0,전문음식,945
43,나능이능이버섯백숙본점,충남 서산시 동서1로 235-0,한식,928
44,배가짬뽕[중식],충남 서산시 동서1로 81-0,외국식,854
45,해미우시장,충남 서산시 읍성마을3길 24-0,전문음식,853
46,빅쭌부대찌개서산본점,충남 서산시 호수공원9로 43-6,전문음식,850
47,본딩마켓,충남 서산시 석림6로 42-0,카페/찻집,822
48,시골밥상앤구구돈,충남 서산시 신당1로 38-0,한식,819
49,풍전뚝집,충남 서산시 풍전2길 67-30,간이음식,814
50,서산명소,충남 서산시 향교4로 23-0,한식,813
51,해미호떡,충남 서산시 동문2길 8-0,간이음식,804
52,서산우리한우프라자,충남 서산시 석지2길 14-0,한식,790
53,옥경이네,충남 서산시 천수만로 750-0,전문음식,788
54,카페다솔,충남 서산시 봉운로 951-125,카페/찻집,781
55,수타명가[중식],충남 서산시 팔봉2로 115-0,외국식,774
56,삼성웰스토리서산수CC점,충남 서산시 삼길포7로 6-0,음식점기타,761
57,미담,충남 서산시 삼길포7로 37-0,한식,751
58,한양고깃집서산점,충남 서산시 예천4로 36-1,한식,744
59,안녕호선생,충남 서산시 잠홍2길 66-0,카페/찻집,738
60,송가네한우탕,충남 서산시 무학로 1897-0,한식,734
61,화덕생선구이전문점,충남 서산시 예천8로 18-7,한식,727
62,소진담서산점,충남 서산시 삼길포1로 57-0,카페/찻집,712
63,피그농원,충남 서산시 서해로 3245-0,한식,705
64,안흥일품꽃게장,충남 서산시 양열로 212-0,전문음식,704
65,집으로식당,충남 서산시 삼길포1로 165-1,전문음식,702
66,레클루전,충남 서산시 한마음5로 32-0,카페/찻집,689
67,진저보이해미,충남 서산시 읍성마을3길 48-8,카페/찻집,687
68,정담명가남원추어탕,충남 서산시 동서1로 75-0,한식,686
69,소담촌서산호수공원점,충남 서산시 호수공원5로 30-0,전문음식,681
70,콩사랑팥사랑,충남 서산시 야철지길 97-4,한식,677
71,두꺼비,충남 서산시 율지6로 53-0,한식,676
72,반도회관[한식],충남 서산시 홍안벌로 136-0,한식,666
73,스토브,충남 서산시 한마음5로 21-1,전문음식,657
74,시골순대,충남 서산시 율지11로 12-0,한식,657
75,다이와회전초밥서산점,충남 서산시 호수공원9로 7-17,외국식,648
76,영성각본점 [중식],충남 서산시 남문1로 40-1,외국식,642
77,진국집,충남 서산시 관아문길 19-10,한식,640
78,항아리보쌈서산점,충남 서산시 양유정1로 63-0,전문음식,637
79,라라코스트서산호수점,충남 서산시 호수공원2로 25-0,전문음식,635
80,서가앤쿡서산점,충남 서산시 호수공원3로 52-0,전문음식,632
81,향원만두,충남 서산시 명륜1로 85-7,한식,629
82,박순선본가평양면옥,충남 서산시 진동길 192-23,한식,616
83,짬뽕지존서산점 [중식],충남 서산시 호수공원8로 3-3,외국식,612
84,육하원칙서산점,충남 서산시 예천3로 48-0,한식,601
85,에테르노,충남 서산시 수석순환로 235-0,카페/찻집,600
86,김추일수제돈까스해미읍성점,충남 서산시 해운로 17-0,전문음식,599
87,소뜰,충남 서산시 동서1로 133-0,한식,592
88,한우마을,충남 서산시 정자동6로 25-2,한식,588
