순위,업소명,주소,분류,현지인 검색 수
1,서산회관,충남 서천군 서인로 318-0,한식,995
2,한우마을,충남 서천군 종판로901번길 12-0,한식,925
3,수라원,충남 서천군 장산로 641-9,음식점기타,881
4,할매온정집,충남 서천군 장서로47번길 20-0,전문음식,521
5,카페화산,충남 서천군 희리산길 7-0,카페/찻집,467
6,유정식당,충남 서천군 장서로29번길 24-0,한식,465
7,국가대표해물칼국수,충남 서천군 서천역길 82-0,한식,406
8,선도리웰빙해물칼국수,충남 서천군 갯벌체험로 492-31,한식,396
9,소문난칼국수,충남 서천군 서인로 427-0,음식점기타,349
10,우리식당,충남 서천군 장서로29번길 42-0,한식,333
11,일미정,충남 서천군 장산로 641-7,한식,332
12,서해안식당,충남 서천군 장서로47번길 21-0,한식,301
13,한오백년추어탕,충남 서천군 충절로29번길 20-1,한식,278
14,홍어와칼국수,충남 서천군 갯벌체험로 492-24,한식,276
15,안녕이네횟집,충남 서천군 요포길 135-0,전문음식,249
16,마로네하우스,충남 서천군 장산로 704-0,전문음식,234
17,소문난해물칼국수,충남 서천군 장산로855번길 7-0,한식,227
17,장항해장국,충남 서천군 장마로 17-3,한식,227
19,황금코다리장항점,충남 서천군 장항산단로 33-1,한식,226
20,충남칼국수,충남 서천군 서천로75번길 5-0,한식,223
21,진미식당,충남 서천군 종판로 885-0,한식,217
22,청정해산물,충남 서천군 갯벌체험로 487-0,전문음식,213
22,실비식당,충남 서천군 장서로29번길 43-0,음식점기타,213
24,송림 바지락 칼국수,충남 서천군 장항산단로34번길 57-1,한식,195
25,춘장루[중식],충남 서천군 춘장대로 157-0,외국식,192
26,불꽃,충남 서천군 장산로 811-1,한식,188
27,의생원[중식],충남 서천군 군청로 30-1,외국식,183
28,금강식당,충남 서천군 옥포길8번길 5-0,한식,181
29,육비가,충남 서천군 군사길 1-2,한식,174
30,만연숯불갈비서천점,충남 서천군 사곡로 67-0,한식,170
30,마서면머물다,충남 서천군 금강로 1105-0,카페/찻집,170
32,보라가든,충남 서천군 부사로 238-0,전문음식,169
33,옛날분식,충남 서천군 충절로 108-0,간이음식,166
34,삼성식당,충남 서천군 종판로 882-2,한식,165
35,서천한우타운,충남 서천군 충절로41번길 11-15,한식,146
36,금강회집,충남 서천군 장산로 616-0,전문음식,143
37,해강횟집,충남 서천군 장산로 706-0,전문음식,142
38,파리바게뜨충남장항점,충남 서천군 장항로145번길 3-0,간이음식,139
38,일송횟집,충남 서천군 장산로 626-0,전문음식,139
40,금강마리나,충남 서천군 장산로 612-0,외국식,136
41,해돋이회센타,충남 서천군 서인로 299-0,전문음식,132
42,더원너뱅이횟집,충남 서천군 홍원길 133-0,전문음식,130
43,서천해물칼국수,충남 서천군 충절로 11-0,한식,129
43,바닷가횟집,충남 서천군 춘장대로151번길 35-0,전문음식,129
45,이디야커피장항점,충남 서천군 장항로 174-1,카페/찻집,125
46,홍굴이해물짬뽕하구둑본점 [중식],충남 서천군 장산로 855-0,외국식,123
47,명동식당,충남 서천군 충절로 15-0,한식,118
48,홍원항전주백반[한식],충남 서천군 홍원길 95-1,한식,116
49,수정냉면,충남 서천군 종판로 882-0,한식,114
50,하구둑해물칼국수,충남 서천군 장산로 849-1,한식,109
51,카페띠아모서천서도점,충남 서천군 부사로 277-0,카페/찻집,107
52,벌떼가든,충남 서천군 판미로 142-0,한식,105
53,만리향[중식],충남 서천군 서인로 780-0,외국식,103
54,용왕조개타운,충남 서천군 갯벌체험로572번길 18-2,전문음식,102
55,로우커피바,충남 서천군 서인로 434-0,카페/찻집,101
56,모시랑해물손칼국수,충남 서천군 공암남촌길 145-0,한식,100
57,기벌포횟집,충남 서천군 장산로 354-1,전문음식,95
57,이디야커피서천점,충남 서천군 서천로 30-0,카페/찻집,95
59,커피지맨,충남 서천군 서인로 290-0,카페/찻집,91
59,부엉이돈가스서천점,충남 서천군 충절로 90-0,전문음식,91
