순위,업소명,주소,분류,현지인 검색 수
1,병천순대거리,충남 천안시 동남구 아우내순대길 33-0,음식점기타,15655
2,뚜쥬루빵돌가마점,충남 천안시 동남구 풍세로 706-0,간이음식,15569
3,두정동먹자골목,충남 천안시 서북구 원두정2길 15-0,음식점기타,12581
4,뚜쥬루성정점,충남 천안시 서북구 백석로 270-0,간이음식,11679
5,엄가네시골집,충남 천안시 서북구 봉정로 168-1,한식,10062
6,호수매운탕,충남 천안시 서북구 성성2길 61-0,한식,9964
7,뚜쥬루거북이점,충남 천안시 서북구 봉서산로 69-22,간이음식,9846
8,몽상가인,충남 천안시 서북구 쌍용대로 85-0,간이음식,9675
9,육화미본점,충남 천안시 서북구 불당26로 100-10,한식,7166
10,망향비빔국수천안점,충남 천안시 서북구 노태산로 57-0,한식,6675
11,카페온담,충남 천안시 동남구 통세골2길 41-0,카페/찻집,6451
12,승지원,충남 천안시 서북구 노태산로 41-0,한식,5753
13,이숲,충남 천안시 서북구 남창마을1길 32-0,카페/찻집,5674
14,슈엔본점 [중식],충남 천안시 서북구 성정중1길 26-2,외국식,5612
15,마젠타,충남 천안시 서북구 성성2길 81-0,카페/찻집,5561
16,짬뽕지존본점 [중식],충남 천안시 서북구 서부대로 719-0,외국식,5427
17,더레이크스토리,충남 천안시 서북구 업성수변로 120-0,카페/찻집,5331
18,이고집만두,충남 천안시 동남구 태조산길 258-0,한식,5295
19,진원소우천안백석점,충남 천안시 서북구 한들1로 153-0,한식,5102
20,박순자아우내순대,충남 천안시 동남구 아우내순대길 47-0,한식,4965
21,광명만두본점,충남 천안시 서북구 두정중4길 1-0,한식,4874
22,등촌샤브칼국수두정점,충남 천안시 서북구 두정로 132-0,전문음식,4839
23,숟가락반상마실천안본점 [한식],충남 천안시 서북구 월봉1길 50-1,한식,4683
24,취팔선객잔[중식],충남 천안시 서북구 두정상가8길 20-0,외국식,4678
25,배나무숲,충남 천안시 서북구 상덕로 137-0,카페/찻집,4498
26,현대옥천안백석점,충남 천안시 서북구 한들4로 38-0,한식,4424
27,핀스커피,충남 천안시 동남구 해솔1길 27-29,카페/찻집,4392
28,용천가든,충남 천안시 서북구 성진로 637-0,한식,4268
29,쌍용수산시장,충남 천안시 서북구 월봉5길 19-0,전문음식,4255
30,고바우순두부쌈장,충남 천안시 서북구 두정로 177-0,한식,4151
31,피양옥,충남 천안시 서북구 노태산로 31-0,한식,4079
32,신화수산,충남 천안시 서북구 노태산로 72-0,전문음식,4032
33,애월빵공장천안,충남 천안시 서북구 성성5로 95-0,간이음식,3980
34,상무초밥천안신불당점,충남 천안시 서북구 불당21로 67-18,외국식,3949
35,청당정원,충남 천안시 동남구 청당2길 131-0,한식,3740
36,아리산[중식],충남 천안시 서북구 봉정로 221-0,외국식,3735
37,이우철한방누룽지삼계탕백석직영점,충남 천안시 서북구 한들2로 46-5,한식,3734
38,화담원성성호수점,충남 천안시 서북구 성성5로 113-0,전문음식,3711
39,더몰트하우스성성호수공원점,충남 천안시 서북구 성성5로 121-0,전문음식,3656
40,경복궁천안점,충남 천안시 서북구 성정중7길 9-0,한식,3565
41,카페루,충남 천안시 동남구 서부대로 531-20,카페/찻집,3516
42,루베아,충남 천안시 동남구 교촌7길 46-11,카페/찻집,3514
43,신사우물갈비본점,충남 천안시 서북구 불당25로 182-0,한식,3469
44,비브레이브천안점,충남 천안시 서북구 한들3로 36-16,카페/찻집,3464
45,충남집순대,충남 천안시 동남구 충절로 1748-0,전문음식,3410
46,화덕으로간고등어,충남 천안시 서북구 한들2로 46-5,전문음식,3391
47,대안정육점식당,충남 천안시 서북구 도원7길 17-0,한식,3341
48,매주리커피,충남 천안시 서북구 성환18길 24-0,카페/찻집,3316
49,이화원프라이빗,충남 천안시 서북구 불당23로 73-27,외국식,3259
50,나인블럭LAKE천안업성점,충남 천안시 서북구 성성4길 53-0,카페/찻집,3248
51,엔타스시,충남 천안시 서북구 불당25로 176-0,외국식,3236
52,짬뽕지존쌍용점 [중식],충남 천안시 서북구 쌍용대로 11-0,외국식,3223
53,시골집,충남 천안시 서북구 서부대로 319-2,한식,3189
54,선유원,충남 천안시 동남구 동평3길 30-0,한식,3170
55,추태숙국밥,충남 천안시 서북구 오성5길 6-0,한식,3164
56,삼보어죽본점,충남 천안시 서북구 서부8길 40-0,전문음식,3098
57,이봉원의봉짬뽕[중식],충남 천안시 서북구 성정두정로 70-0,외국식,3081
58,티볼리,충남 천안시 동남구 청수10길 4-39,외국식,2873
59,맛찬들3.5왕소금구이,충남 천안시 서북구 원두정6길 6-0,한식,2872
60,백마강참숯민물장어천안점,충남 천안시 서북구 미라16길 8-4,전문음식,2868
61,꽁뜨,충남 천안시 서북구 성성2길 81-1,카페/찻집,2867
62,천지연천안시청점,충남 천안시 서북구 검은들1길 25-0,한식,2836
