순위,업소명,주소,분류,현지인 검색 수
1,한옥카페지은,충남 청양군 나래미길 60-4,카페/찻집,739
2,농부밥상청양점 [한식],충남 청양군 칠갑산로 704-18,한식,716
3,칠갑산청정한우타운,충남 청양군 록평용당로 775-1,한식,587
4,바닷물손두부,충남 청양군 한티고개길 1-0,한식,512
5,은행집,충남 청양군 한티고개길 11-0,한식,384
6,황룡각[중식],충남 청양군 충절로 1698-0,외국식,365
7,대일식당,충남 청양군 구용길 334-0,한식,315
8,투썸플레이스충남청양점,충남 청양군 고리섬들길 63-0,카페/찻집,295
9,휴식,충남 청양군 월촌길 56-2,전문음식,294
10,오부세,충남 청양군 충의로 1358-4,음식점기타,270
11,별장&봄,충남 청양군 충절로 1494-0,한식,258
12,앵화당,충남 청양군 구만이길 70-21,카페/찻집,252
13,작은농원,충남 청양군 중묵운곡로 51-60,한식,242
14,청양고덕갈비,충남 청양군 대청로 717-0,한식,240
15,콘벨트청양점,충남 청양군 서정4길 50-0,카페/찻집,235
16,칠갑산맛집,충남 청양군 장곡길 119-39,한식,228
17,칠갑산골[한식],충남 청양군 장곡길 147-0,한식,204
18,청양임꺽정,충남 청양군 고리섬들길 71-0,한식,197
19,늘봄구기자숯불풍천장어,충남 청양군 충의로 1324-1,전문음식,193
20,담연,충남 청양군 충절로 1535-46,카페/찻집,177
21,롯데리아청양,충남 청양군 중앙로 147-0,간이음식,173
21,진영분식,충남 청양군 중앙로13길 14-0,한식,173
23,청양우거디,충남 청양군 칠갑산로2길 9-0,한식,155
24,축제갈비,충남 청양군 문화예술로 180-0,한식,153
25,파리바게뜨충남청양점,충남 청양군 고리섬들길 77-0,간이음식,152
26,고향회관,충남 청양군 칠갑산로7길 6-0,한식,144
27,양자강[중식],충남 청양군 중앙로5길 13-0,외국식,140
28,춘소커피,충남 청양군 만수로 1597-2,카페/찻집,131
29,칠갑산두메산골,충남 청양군 칠갑산로 1037-0,한식,114
30,콩매아카페,충남 청양군 칠갑호길 216-0,카페/찻집,103
31,하림FS매일유업청양공장점,충남 청양군 충절로 1355-58,음식점기타,100
32,흙사랑,충남 청양군 무한로 209-7,전문음식,94
33,메르시,충남 청양군 학사길 35-28,카페/찻집,93
34,임꺽정,충남 청양군 효자길 19-1,한식,88
35,메가커피청양터미널점,충남 청양군 중앙로 139-0,카페/찻집,81
36,뚜레쥬르충남청양점,충남 청양군 중앙로7길 36-0,간이음식,74
37,칠갑산구기자막국수,충남 청양군 천장호길 87-0,한식,64
38,행복한쭈꾸미와갑오징어,충남 청양군 문화예술로 180-0,한식,62
39,늘봄가든 숯불돼지갈비,충남 청양군 충의로 1324-1,한식,60
40,가장맛있는족발청양점,충남 청양군 칠갑산로8길 9-0,전문음식,58
41,까치내흥부가든,충남 청양군 사수터길 115-8,한식,51
42,우렁두렁,충남 청양군 칠갑산로3길 14-0,한식,50
43,한가네어죽,충남 청양군 중앙로열길 18-0,한식,48
44,고박사냉면청양점,충남 청양군 중앙로11길 21-0,한식,47
45,페리카나정산점,충남 청양군 정현길 65-0,간이음식,46
46,명랑식당,충남 청양군 칠갑산로열길 7-0,한식,43
47,이호갤러리,충남 청양군 한티고개길 233-0,카페/찻집,42
48,칠갑산나그네옻닭집,충남 청양군 장곡길 72-38,한식,41
49,까치네왕림휴게소,충남 청양군 사수터길 126-21,한식,40
50,산골짜기식당,충남 청양군 장곡길 143-54,한식,39
51,병천순대,충남 청양군 칠갑산로4길 25-0,한식,38
52,비봉횟집,충남 청양군 중앙로5길 28-0,전문음식,37
53,중국성[중식],충남 청양군 효자길 20-0,외국식,36
54,칠갑광장가든,충남 청양군 한티고개길 178-8,한식,34
54,꽃이머무는자리,충남 청양군 사수터길 99-12,카페/찻집,34
54,칠갑산추어탕,충남 청양군 칠갑산로4길 36-0,한식,34
57,오미식당[한식],충남 청양군 중앙로9길 4-0,한식,33
58,천장골,충남 청양군 천장호길 133-26,한식,29
59,소양간해장국,충남 청양군 중앙로 101-0,한식,28
60,한울타리가든,충남 청양군 작천길 1-0,한식,27
61,장강손짜장[중식],충남 청양군 정현길 4-0,외국식,26
61,칠갑산맛있는집[한식],충남 청양군 장곡길 119-19,한식,26
61,안심가든,충남 청양군 안심길 70-0,한식,26
64,이디야커피충남청양점,충남 청양군 중앙로 135-2,카페/찻집,25
64,배스킨라빈스충남청양점,충남 청양군 중앙로 136-0,간이음식,25
66,송림회관,충남 청양군 만수로 1778-0,한식,24
67,칠갑산고향집,충남 청양군 장곡길 44-52,한식,23
67,황소집가든,충남 청양군 장곡길 83-0,한식,23
69,해오름,충남 청양군 칠갑산로 59-6,한식,22
69,칠갑산민물장어,충남 청양군 노루목후동길 47-3,전문음식,22
69,농가의빵집,충남 청양군 중앙로 140-0,간이음식,22
69,서궁일식[일식],충남 청양군 중앙로8길 11-0,외국식,22
73,도삼판,충남 청양군 중앙로 73-0,한식,21
74,교촌치킨청양점,충남 청양군 문화예술로 128-0,간이음식,20
75,김밥나라,충남 청양군 중앙로 139-2,간이음식,19
75,여의주마을,충남 청양군 칠갑산로 1731-0,한식,19
75,가마솥회관,충남 청양군 중앙로11길 19-0,한식,19
78,황토오리철판구이,충남 청양군 칠갑산로12길 17-0,전문음식,18
