순위,업소명,주소,분류,현지인 검색 수
1,K카페,충남 홍성군 용봉산2길 41-0,카페/찻집,2600
2,좋은아침페스츄리홍성내포점,충남 홍성군 홍덕서로 166-81,간이음식,2254
3,백소정[일식],충남 홍성군 애향6길 19-0,외국식,2092
4,결성칼국수,충남 홍성군 구성남로 31-0,한식,1636
5,내포기사식당,충남 홍성군 충서로 1547-0,전문음식,1542
6,용봉산호랭이,충남 홍성군 의향로 283-0,전문음식,1539
7,케렌시아,충남 홍성군 남당항로213번길 96-0,카페/찻집,1532
8,내당한우,충남 홍성군 아문길52번길 6-0,한식,1416
9,내포해물촌,충남 홍성군 조양로246번길 80-0,전문음식,1377
10,면천갈비,충남 홍성군 애향3길 21-0,한식,1276
11,꽃피는화덕피자D485홍성내포점,충남 홍성군 애향2길 19-0,간이음식,1205
12,카페드하리,충남 홍성군 남당항로 860-0,카페/찻집,1145
13,더호봉,충남 홍성군 내포로 58-0,카페/찻집,1088
14,비츠카페,충남 홍성군 남당항로72번길 1-0,카페/찻집,996
15,순만,충남 홍성군 금북로 52-56,한식,899
16,지산흑돌[한식],충남 홍성군 홍북로453번길 47-7,한식,856
17,할리스충남도청점,충남 홍성군 청사로174번길 25-0,카페/찻집,821
18,홍익돈까스홍성내포점,충남 홍성군 도청대로 296-30,전문음식,820
19,황금코다리홍성점,충남 홍성군 용봉산1길 18-0,한식,817
20,더본감자탕,충남 홍성군 내포로156번길 36-0,한식,739
21,샐요일내포점,충남 홍성군 애향3길 12-0,간이음식,704
22,한밭식당,충남 홍성군 광천로299번길 6-1,한식,674
23,돌산가든,충남 홍성군 용봉산2길 37-0,한식,659
24,이화원,충남 홍성군 청사로 152-0,외국식,636
25,일미옥불고기,충남 홍성군 소향길 66-0,한식,606
26,그린브라운,충남 홍성군 수덕사로51번길 17-0,카페/찻집,589
27,신짬뽕일번지[중식],충남 홍성군 애향5길 8-1,외국식,548
28,고야커피,충남 홍성군 와룡로 426-16,카페/찻집,545
29,내포복집,충남 홍성군 애향4길 13-0,전문음식,458
30,우마이야,충남 홍성군 애향4길 30-0,전문음식,456
31,정든보쌈홍성본점,충남 홍성군 월계2길 5-4,전문음식,455
32,홍성구항한우,충남 홍성군 구항길 99-0,한식,449
33,홍성막국수,충남 홍성군 충서로 1693-0,한식,449
34,삽다리곱창,충남 홍성군 도청대로 6-1,전문음식,448
35,70년소머리국밥,충남 홍성군 의사로43번길 27-9,한식,445
36,한우일번지,충남 홍성군 문화로 172-0,한식,441
37,언니네손칼국수,충남 홍성군 남당항로79번길 2-35,한식,435
