순위,업소명,주소,분류,현지인 검색 수
1,트리브링,충북 청주시 서원구 청남로 1388-36,카페/찻집,7713
2,맥도날드청주분평DT점,충북 청주시 서원구 청남로 1991-0,간이음식,5884
3,대산보리밥,충북 청주시 서원구 성화로69번길 43-23,한식,5443
4,스타벅스청주분평DT점,충북 청주시 서원구 1순환로 1154-0,카페/찻집,4895
5,에이커,충북 청주시 서원구 용평로113번길 47-0,간이음식,3651
6,트리제이더테라스청주산남점,충북 청주시 서원구 원흥로 17-0,전문음식,3180
7,스타벅스청주사직DT점,충북 청주시 서원구 사직대로 302-0,카페/찻집,2844
8,블루체어라운지카페,충북 청주시 서원구 2순환로 1618-0,카페/찻집,2765
9,풍차쭈꾸미,충북 청주시 서원구 용평로113번길 23-0,전문음식,2295
10,롯데리아청주사창점,충북 청주시 서원구 내수동로 116-0,간이음식,2208
11,최PD해물칼국수본점,충북 청주시 서원구 청남로 1677-0,한식,2133
12,청주한우청우,충북 청주시 서원구 원흥로 3-0,한식,2110
13,크레용카페,충북 청주시 서원구 1순환로 1130-13,카페/찻집,2082
14,원조중앙탑막국수,충북 청주시 서원구 대림로 391-0,한식,2027
15,SUBWAY청주분평점,충북 청주시 서원구 1순환로 1130-1,간이음식,2015
16,겸하당베이커리카페,충북 청주시 서원구 무심서로 413-0,간이음식,2008
16,성화옻닭,충북 청주시 서원구 신성화로46번길 5-2,한식,2008
18,장원갑칼국수청주본점,충북 청주시 서원구 용평로 100-0,한식,1962
19,개신동해장국,충북 청주시 서원구 모충로 16-0,한식,1957
20,단풍나무,충북 청주시 서원구 대림로 414-0,한식,1956
21,그로우빈커피,충북 청주시 서원구 2순환로1432번길 30-0,카페/찻집,1951
22,스타벅스청주성화점,충북 청주시 서원구 복대로 5-0,카페/찻집,1872
23,쭈미쭈미,충북 청주시 서원구 산미로 136-0,전문음식,1654
24,우설화청주점,충북 청주시 서원구 1순환로 886-0,한식,1650
25,몽뜨레셰프청주분평점,충북 청주시 서원구 궁뜰로33번길 153-0,전문음식,1645
26,청해랑[일식],충북 청주시 서원구 1순환로 1056-0,외국식,1600
27,빌라디쉐프나폴리점,충북 청주시 서원구 1순환로 1080-2,외국식,1514
28,전통황실양고기,충북 청주시 서원구 2순환로 1618-0,한식,1500
29,경화대반점[중식],충북 청주시 서원구 1순환로 866-0,외국식,1485
30,버거킹청주산남점,충북 청주시 서원구 산남로 48-0,간이음식,1445
31,황제장어,충북 청주시 서원구 용평로93번길 57-0,전문음식,1419
32,긴자청주점 [일식],충북 청주시 서원구 1순환로 886-0,외국식,1417
33,꾸본난로회,충북 청주시 서원구 1순환로 1142-0,한식,1396
34,진원소우청주산남점,충북 청주시 서원구 산미로 136-0,한식,1373
35,위드포레스트,충북 청주시 서원구 대림로 390-11,카페/찻집,1348
36,반객[중식],충북 청주시 서원구 성봉로 186-0,외국식,1318
37,흙에서[한식],충북 청주시 서원구 산미로 116-0,한식,1315
38,야채꽃샤브월남쌈분평동,충북 청주시 서원구 1순환로 1050-0,전문음식,1281
39,향미각[중식],충북 청주시 서원구 용호로5번길 66-0,외국식,1193
40,맥도날드청주성화점,충북 청주시 서원구 서부로 1344-0,간이음식,1172
41,조도령삼계탕,충북 청주시 서원구 용평로113번길 37-2,한식,1170
42,SUBWAY청주충북대점,충북 청주시 서원구 1순환로 676-0,간이음식,1152
43,한마음정육식당청주성화점,충북 청주시 서원구 2순환로 1465-0,한식,1150
44,도쿄이즈미[일식],충북 청주시 서원구 산남로 76-0,외국식,1111
45,천지연청주점,충북 청주시 서원구 1순환로 886-0,한식,1079
46,마실한정식청주점 [한식],충북 청주시 서원구 서부로 1434-0,한식,1045
47,홍미당베이커리카페프리미엄제이,충북 청주시 서원구 남지로5번길 20-0,간이음식,1041
48,빛그리다,충북 청주시 서원구 청남로 1484-37,카페/찻집,1017
49,할리스청주산남DT점,충북 청주시 서원구 1순환로 892-0,카페/찻집,1016
50,취팔선객잔[중식],충북 청주시 서원구 1순환로 1029-0,외국식,1012
51,신화푸드빌리지청주점,충북 청주시 서원구 1순환로 886-0,음식점기타,1002
52,지수헌,충북 청주시 서원구 성화로69번길 34-0,카페/찻집,986
53,KFC청주수곡DT점,충북 청주시 서원구 수영로7번길 7-0,간이음식,972
54,남도생갈비,충북 청주시 서원구 산미로 122-0,한식,966
55,남들갈비,충북 청주시 서원구 청남로2133번길 8-0,한식,961
56,김가네더덕밥[한식],충북 청주시 서원구 대림로421번길 24-0,한식,941
57,제주은희네해장국청주분평점,충북 청주시 서원구 1순환로 1080-2,한식,940
58,모리네집,충북 청주시 서원구 대림로 255-37,카페/찻집,933
59,박준양스시본점,충북 청주시 서원구 원마루로10번길 15-0,외국식,929
60,더그랜드허젤,충북 청주시 서원구 양촌1길 9-69,전문음식,925
61,금빛정찬[한식],충북 청주시 서원구 양촌3길 14-0,한식,924
62,현고들깨손칼국수,충북 청주시 서원구 성봉로192번길 44-0,한식,918
63,한마음정육식당분평점,충북 청주시 서원구 1순환로 1078-0,한식,914
64,금호송어장,충북 청주시 서원구 노산하석로 166-0,전문음식,908
65,뱃놈,충북 청주시 서원구 용호로 66-0,전문음식,906
66,삼동소바청주서원점,충북 청주시 서원구 청남로 1809-3,외국식,895
67,정가네손칼국수,충북 청주시 서원구 호국로 14-2,한식,859
68,강쇠낙지마을,충북 청주시 서원구 대림로 418-0,전문음식,854
69,청주본가청원직영점,충북 청주시 서원구 청남로 889-0,한식,839
70,페로어페로,충북 청주시 서원구 용평로 102-0,전문음식,811
70,투썸플레이스모충로점,충북 청주시 서원구 모충로 58-0,카페/찻집,811
72,푸르댕댕,충북 청주시 서원구 구암길 6-17,카페/찻집,790
73,바보아저씨,충북 청주시 서원구 궁뜰로67번길 42-0,전문음식,784
74,스타벅스충북대점,충북 청주시 서원구 내수동로 113-0,카페/찻집,737
75,롯데리아서원대점,충북 청주시 서원구 서원남로 26-0,간이음식,712
76,샤브향청주분평점,충북 청주시 서원구 1순환로 1054-0,전문음식,700
77,표가네명품순두부산남점,충북 청주시 서원구 산미로 83-0,한식,687
78,옹기촌,충북 청주시 서원구 복대로17번길 8-0,한식,681
79,삼정원가든,충북 청주시 서원구 용평로94번길 24-0,한식,654
80,타볼라,충북 청주시 서원구 사운로46번길 21-0,전문음식,649
81,금강숯불돼지갈비,충북 청주시 서원구 1순환로 1078-0,한식,640
82,더리플,충북 청주시 서원구 궁뜰로33번길 135-0,카페/찻집,638
83,투썸플레이스청주산남중앙점,충북 청주시 서원구 산미로 95-0,카페/찻집,636
84,롯데리아청주개신점,충북 청주시 서원구 경신로 31-1,간이음식,626
85,메이린한수위[중식],충북 청주시 서원구 2순환로 1490-0,외국식,610
86,그집쭈꾸미분평점,충북 청주시 서원구 용평로 114-0,전문음식,605
87,봄브레드,충북 청주시 서원구 안뜸로47번길 50-0,카페/찻집,604
87,대도영지한우,충북 청주시 서원구 천석로14번길 7-0,한식,604
89,고박사해물탕,충북 청주시 서원구 청남로 2052-0,한식,602
90,신가향짬뽕[중식],충북 청주시 서원구 원흥로80번길 8-0,외국식,595
91,에스459[한식],충북 청주시 서원구 서부로 1436-0,한식,593
92,크래버대게나라청주점,충북 청주시 서원구 성봉로 155-0,전문음식,591
92,권가제면소,충북 청주시 서원구 두꺼비로94번길 4-21,외국식,591
94,청년감자탕청주산남점,충북 청주시 서원구 산남로70번길 14-0,한식,590
95,도안동감나무집,충북 청주시 서원구 원흥로64번길 45-0,한식,574
96,낙원진갈비청주점,충북 청주시 서원구 용평로113번길 17-0,한식,568
97,대추나무집[한식],충북 청주시 서원구 대림로421번길 4-0,한식,567
98,손박사강남면옥,충북 청주시 서원구 1순환로 1090-0,한식,566
99,더스프링,충북 청주시 서원구 2순환로1814번길 56-0,전문음식,565
100,다게르,충북 청주시 서원구 가마길 40-11,카페/찻집,556
