순위,업소명,주소,분류,현지인 검색 수
1,맥도날드청주율량GS DT점,충북 청주시 청원구 공항로 156-0,간이음식,8860
2,스타벅스청주율량DT점,충북 청주시 청원구 충청대로107번길 8-0,카페/찻집,6271
3,스톤폴스,충북 청주시 청원구 1순환로1896번길 19-33,카페/찻집,6114
4,김산기염소탕,충북 청주시 청원구 양청6길 9-0,한식,4809
5,봉용불고기,충북 청주시 청원구 중앙로 108-0,한식,4332
6,스타벅스오창과학단지점,충북 청주시 청원구 과학산업2로 385-0,카페/찻집,4159
7,청원한우마실,충북 청주시 청원구 성산2길 5-0,한식,3971
8,가든포레스트숲속의정원,충북 청주시 청원구 도원세교로 222-6,카페/찻집,3685
9,카페코지웨어하우스,충북 청주시 청원구 신평중신1길 50-0,카페/찻집,3421
10,스타벅스오창호수공원점,충북 청주시 청원구 중심상업1로 20-0,카페/찻집,3386
11,아트빈,충북 청주시 청원구 사천로 33-0,카페/찻집,3357
12,가화한정식[한식],충북 청주시 청원구 내덕로 27-0,한식,3332
13,원조중앙탑막국수오창점,충북 청주시 청원구 용두1길 14-0,한식,3317
14,상리한우,충북 청주시 청원구 1순환로1896번길 19-34,한식,2959
15,이안테라스,충북 청주시 청원구 율량로 191-0,카페/찻집,2843
16,바람막이,충북 청주시 청원구 1순환로1896번길 45-0,전문음식,2572
17,브리키,충북 청주시 청원구 공항로 1033-16,전문음식,2496
18,홀리몰리,충북 청주시 청원구 성산2길 195-0,카페/찻집,2443
19,대운프라자,충북 청주시 청원구 중심상업로 14-0,음식점기타,2434
20,하그트,충북 청주시 청원구 여천3길 279-0,카페/찻집,2381
21,원조장뜰순대,충북 청주시 청원구 율량로201번길 33-13,한식,2259
22,천안문[중식],충북 청주시 청원구 양청2길 22-0,외국식,2205
23,정치망,충북 청주시 청원구 중심상업로 66-17,전문음식,2173
24,꾸본석갈비,충북 청주시 청원구 중심상업로 66-9,한식,2156
25,댕그라운드,충북 청주시 청원구 원통숲안1길 30-3,카페/찻집,2092
26,SUBWAY청주대점,충북 청주시 청원구 대성로 301-0,간이음식,2084
27,멀리커피,충북 청주시 청원구 외남로69번길 63-0,카페/찻집,1840
28,풍차두루치기,충북 청주시 청원구 중심상업2로 9-50,한식,1774
29,우뜸해장국,충북 청주시 청원구 중심상업로 63-0,한식,1756
30,다담뜰한식뷔페북청주점,충북 청주시 청원구 상리로 5-1,전문음식,1695
