순위,업소명,주소,분류,현지인 검색 수
1,괴산한우타운,충북 괴산군 괴강로 632-0,한식,1031
2,능이랑,충북 괴산군 모래재로원터1길 1-0,한식,684
3,한옥정원숲,충북 괴산군 명태재로송동5길 67-35,카페/찻집,592
4,뭐하농하우스,충북 괴산군 충민로 694-5,카페/찻집,584
5,사나이짬뽕[중식],충북 괴산군 송문로덕평길 26-0,외국식,573
6,다래정,충북 괴산군 동진천길 165-0,한식,536
7,팜바라기카페,충북 괴산군 자연식품길 31-0,카페/찻집,475
8,카페해듬,충북 괴산군 청안읍내로1길 81-13,카페/찻집,435
9,롯데리아괴산,충북 괴산군 괴강로 4-0,간이음식,403
10,만두집,충북 괴산군 읍내로 139-0,한식,396
11,서울식당,충북 괴산군 읍내로 283-1,한식,368
12,오십년할머니집,충북 괴산군 괴강로느티울길 8-1,한식,355
13,카페청안,충북 괴산군 금신로 127-0,카페/찻집,347
14,맛식당,충북 괴산군 괴강로 12-0,한식,305
15,우리매운탕,충북 괴산군 괴강로느티울길 8-2,한식,304
16,불정양어장횟집,충북 괴산군 삼방연지길 9-0,전문음식,302
17,가리티커피,충북 괴산군 괴강로 636-0,카페/찻집,297
18,시원해물칼국수,충북 괴산군 읍내로12길 27-0,한식,294
19,홍가네중화요리[중식],충북 괴산군 읍내로18길 19-1,외국식,263
20,목도민물매운탕,충북 괴산군 오창로 582-0,한식,251
21,파리바게뜨충북괴산점,충북 괴산군 읍내로2길 55-4,간이음식,236
22,짚은목맛집,충북 괴산군 산막이옛길 80-4,한식,231
22,이디야커피충북괴산점,충북 괴산군 읍내로11길 4-0,카페/찻집,231
24,두천매운탕,충북 괴산군 괴강로 308-0,한식,230
25,괴산산막이매운탕,충북 괴산군 산막이옛길 80-11,한식,228
26,즐거운 날,충북 괴산군 읍내로2길 33-0,한식,213
27,영계,충북 괴산군 송문로옥성1길 112-0,한식,207
28,올어바웃카스테라,충북 괴산군 송문로덕평1길 23-0,간이음식,177
29,신기송어장횟집,충북 괴산군 괴산로신기2길 8-25,전문음식,174
30,수라원짬뽕전문점[중식],충북 괴산군 괴산로 3202-4,외국식,167
31,이평한옥설렁탕,충북 괴산군 문장로 2946-7,한식,154
32,멍석집,충북 괴산군 괴강로 516-0,한식,150
33,부흥송어장,충북 괴산군 금평로 322-0,전문음식,148
34,장연식당,충북 괴산군 읍내로18길 24-0,한식,147
35,괴강다리매운탕,충북 괴산군 괴강로느티울길 32-1,한식,136
36,목도빵집,충북 괴산군 목도로 35-1,간이음식,134
36,나드리김밥천국괴산점,충북 괴산군 읍내로2길 55-3,간이음식,134
38,바우정,충북 괴산군 읍내로13길 73-8,한식,133
38,알콩달콩까망염소[한식],충북 괴산군 괴강로 211-0,한식,133
40,이백송의원조꼬막짬뽕,충북 괴산군 문무로역고개길 94-0,외국식,131
41,안성집,충북 괴산군 읍내로15길 36-0,한식,130
42,카페제이스반,충북 괴산군 읍내로2길 28-0,카페/찻집,123
43,대가짬뽕[중식],충북 괴산군 충민로 725-0,외국식,121
44,옛날병천순대,충북 괴산군 광덕1길 37-0,한식,119
45,괴산올갱이해장국,충북 괴산군 괴강로 553-0,한식,118
46,청이랑콩이랑,충북 괴산군 읍내로6길 27-0,한식,116
47,백조식당,충북 괴산군 읍내로4길 6-8,한식,113
48,그레이엠,충북 괴산군,카페/찻집,108
49,메가커피충북괴산점,충북 괴산군 읍내로 293-0,카페/찻집,107
50,새재황토방,충북 괴산군 새재로 1833-0,한식,103
51,송쌤수제햄부대찌게,충북 괴산군 읍내로10길 20-0,전문음식,102
52,부원칼국수,충북 괴산군 문무로 249-0,한식,100
53,괴짜루[중식],충북 괴산군 자연드림길 240-0,외국식,95
54,어부네코다리조림괴산점,충북 괴산군 괴강로두천1길 19-0,한식,93
55,쌍곡금호쉼터,충북 괴산군 쌍곡로 5-0,한식,92
56,괴산매운탕,충북 괴산군 괴강로 248-0,한식,88
57,배스킨라빈스충북괴산점,충북 괴산군 읍내로11길 14-0,간이음식,85
58,산막이세자매,충북 괴산군 산막이옛길 80-10,한식,84
58,산골식당,충북 괴산군 미선로 856-13,한식,84
60,족발야시장무청감자탕충북괴산점,충북 괴산군 제월로 169-0,전문음식,81
61,올갱이마을,충북 괴산군 금관로 480-0,한식,77
61,상록숯불갈비,충북 괴산군 읍내로16길 3-8,한식,77
63,김우연한정식,충북 괴산군 충민로덕운리길 15-12,한식,76
64,거기찻집,충북 괴산군 새재로 1860-0,카페/찻집,75
65,용천수횟집,충북 괴산군 신풍길 23-2,전문음식,74
65,자연밥상,충북 괴산군 칠성로 87-0,한식,74
67,한남불고기,충북 괴산군 모래재로 1579-0,한식,70
68,효원식당,충북 괴산군 읍내로 47-0,한식,69
69,골목식당,충북 괴산군 읍내로2길 65-11,한식,68
69,길성이네,충북 괴산군 목도로2길 14-0,한식,68
71,괴강매점휴게소,충북 괴산군 괴강로 211-0,한식,67
72,청풍면옥,충북 괴산군 읍내로2길 42-0,한식,65
73,노랑통닭괴산점,충북 괴산군 읍내로8길 16-0,간이음식,64
73,괴산자연드림파크식당,충북 괴산군 자연식품1길 14-0,음식점기타,64
75,목도강변매운탕,충북 괴산군 문무로 901-0,한식,63
76,황금정,충북 괴산군 청천2길 6-0,한식,62
77,금평숯불갈비,충북 괴산군 화양로 229-6,한식,61
78,미담추어탕,충북 괴산군 읍내로18길 24-1,한식,60
78,맘스터치괴산점,충북 괴산군 읍내로9길 7-0,간이음식,60
80,팔도강산매운탕,충북 괴산군 괴강로느티울길 32-0,한식,57
81,명가닭갈비,충북 괴산군 읍내로12길 24-0,전문음식,55
