순위,업소명,주소,분류,현지인 검색 수
1,포레포라,충북 옥천군 감로길 24-9,카페/찻집,2217
2,풍미당,충북 옥천군 중앙로 23-1,간이음식,1276
3,맥우백년,충북 옥천군 성왕로 975-0,한식,1092
4,방아실돼지집,충북 옥천군 방아실길 9-0,한식,970
5,옥천묵집,충북 옥천군 향수7길 8-0,한식,906
6,강대박,충북 옥천군 옥천로 2286-0,한식,772
7,나의신랑은나무꾼,충북 옥천군 비야대정로 243-0,한식,763
8,대박집,충북 옥천군 성왕로 1250-0,한식,676
9,카페벨리,충북 옥천군 추소길 8-41,카페/찻집,621
10,경진각[중식],충북 옥천군 중앙로4길 11-0,외국식,608
11,향곡산방,충북 옥천군 선사로 138-0,카페/찻집,568
12,수반쭈꾸미,충북 옥천군 향수1길 19-23,전문음식,568
13,옥천금강올갱이,충북 옥천군 옥천로 1491-0,한식,534
14,뿌리깊은나무,충북 옥천군 장계길 221-3,전문음식,522
15,찐한식당,충북 옥천군 지전길 14-0,한식,503
16,경성만두요리전문점,충북 옥천군 옥천로 1644-0,한식,496
17,까페호반풍경,충북 옥천군 성왕로 2005-0,카페/찻집,475
18,리옌,충북 옥천군 문장로3길 8-5,외국식,472
19,할리스충북옥천점,충북 옥천군 송신길 172-0,카페/찻집,451
20,염소맛집,충북 옥천군 성왕로 1277-0,전문음식,449
21,문정식당[중식],충북 옥천군 향수3길 20-0,외국식,406
22,강이랑,충북 옥천군 성왕로 1873-5,카페/찻집,339
23,송고가,충북 옥천군 향수길 100-0,한식,335
24,푸른농원연잎밥,충북 옥천군 금산2길 8-11,한식,295
25,선광집,충북 옥천군 지전1길 26-0,한식,269
26,골목쌈밥,충북 옥천군 향수길 75-6,한식,268
27,모녀손만두,충북 옥천군 동부로 16-0,한식,257
28,옥천관산성한우,충북 옥천군 향수3길 8-0,한식,251
29,프란스테이션,충북 옥천군 성왕로 1873-10,카페/찻집,229
30,방아실강변횟집,충북 옥천군 방아실길 140-40,전문음식,226
31,지선생쌈촌,충북 옥천군 옥천로 1666-11,한식,226
32,BISTROBUBU,충북 옥천군 성신로 59-0,전문음식,223
33,일미해장국,충북 옥천군 금장로 105-0,한식,215
34,백악관,충북 옥천군 방아실길 140-44,한식,212
35,옥천초량순대,충북 옥천군 금장로 22-0,한식,209
36,유성갈비옥천점,충북 옥천군 지용로 31-0,한식,206
37,황가냉면,충북 옥천군 성왕로 1091-0,한식,200
38,광촌목장식당,충북 옥천군 옥천로 1052-0,한식,191
39,기와,충북 옥천군 환산로 442-0,카페/찻집,179
40,이석해물칼국수만두전골본점,충북 옥천군 옥천로 1559-0,한식,172
41,플라히에,충북 옥천군 장계1길 57-3,카페/찻집,161
42,금강나루터,충북 옥천군 적하길 187-0,한식,158
43,옥천순대국밥옥천점,충북 옥천군 삼양로 62-0,한식,157
44,방아실카페와유,충북 옥천군 방아실길 20-55,카페/찻집,150
45,한마음정육식당옥천점,충북 옥천군 옥천로 1677-1,한식,150
46,커피랩지앤지점,충북 옥천군 동부로 227-0,카페/찻집,147
47,홍차가게소정,충북 옥천군 성왕로 1837-0,카페/찻집,147
48,보나페티,충북 옥천군 성왕로 1169-0,전문음식,136
49,포인트커피,충북 옥천군 장계1길 4-0,카페/찻집,135
50,CAFEHAGO,충북 옥천군 중앙로 110-0,카페/찻집,127
51,울엄마양평해장국,충북 옥천군 동부로 34-0,한식,126
52,참샘송어직판장,충북 옥천군 성왕로 1236-0,전문음식,117
53,머물다가,충북 옥천군 향수길 100-0,카페/찻집,116
54,카페삼양리,충북 옥천군 삼양로6길 13-5,카페/찻집,113
55,구읍할매묵집,충북 옥천군 향수길 46-0,한식,99
56,미락올갱이,충북 옥천군 중앙로10길 13-0,한식,92
57,거북가든,충북 옥천군 금산4길 48-0,한식,87
58,한국냉면,충북 옥천군 옥천동이로 22-0,한식,85
59,비니크,충북 옥천군 성암2길 7-1,카페/찻집,84
60,배바우손두부,충북 옥천군 연주길 33-0,한식,84
61,토닥,충북 옥천군 현리3길 10-1,카페/찻집,84
62,빽다방충북옥천점,충북 옥천군 중앙로 45-1,카페/찻집,78
63,남경루[중식],충북 옥천군 동부로 10-0,외국식,78
64,안터686,충북 옥천군 안터1길 46-0,카페/찻집,76
65,옥천민물매운탕,충북 옥천군 성왕로 1091-0,한식,76
66,경성BBQ,충북 옥천군 비야대정로 401-0,전문음식,74
67,별미올갱이해장국,충북 옥천군 삼금로2길 3-1,한식,74
68,매화칼국수,충북 옥천군 매화길 18-0,한식,74
69,비꽃도토리,충북 옥천군 비야대정로 401-0,한식,72
70,장령산뚝배기,충북 옥천군 동평4길 2-2,한식,70
71,메밀고개시골막국수,충북 옥천군 옥천동이로 300-0,한식,70
72,순두부전문점콩사랑,충북 옥천군 성왕로 1240-0,한식,69
73,옥천찐빵,충북 옥천군 금장로 46-0,간이음식,66
74,칠보국시,충북 옥천군 지전길 42-1,한식,63
75,이팝,충북 옥천군 성왕로 1941-0,카페/찻집,62
76,카페대장간,충북 옥천군 비야대정로 176-9,카페/찻집,62
77,꽃피는산골,충북 옥천군 비야대정로 687-0,한식,62
78,명가샤브마을,충북 옥천군 성왕로 1169-0,전문음식,62
79,메가커피옥천점,충북 옥천군 금장로 49-1,카페/찻집,61
80,청양식당,충북 옥천군 지전길 47-5,한식,60
81,돌람산우렁쌈밥,충북 옥천군 장야애뜰길 8-0,한식,60
82,오프램,충북 옥천군 향수5길 3-0,전문음식,59
83,정지뜰식당,충북 옥천군 향수3길 22-0,한식,56
84,황쏘가리,충북 옥천군 조령2길 1-1,한식,56
85,삼천포횟집,충북 옥천군 삼금로3길 20-0,전문음식,56
86,큰길명품한우한식뷔페,충북 옥천군 중앙로 192-0,한식,55
87,과수원가든,충북 옥천군 성왕로 1454-0,한식,55
88,뿌리생선국수전문,충북 옥천군 남부로 2165-0,한식,55
89,장령산 계곡산장,충북 옥천군 금산4길 35-0,한식,54
90,부소담악너머길,충북 옥천군 증약길 195-0,카페/찻집,54
91,두부꽃,충북 옥천군 국원1길 3-0,한식,53
