순위,업소명,주소,분류,현지인 검색 수
1,생극해장국본점,충북 음성군 음성로 1683-1,한식,1749
2,생극해장국원조본점,충북 음성군 음성로 1384-0,한식,1560
3,외할머니집본점 [한식],충북 음성군 가곡로 230-0,한식,1473
4,LAVACRO,충북 음성군 대동로537번길 102-0,카페/찻집,1460
5,고등어뱅크충북혁신도시점,충북 음성군 두레로 51-10,전문음식,1241
6,유리원,충북 음성군 용광로230번길 61-4,카페/찻집,1215
7,오봉집충북혁신도시점,충북 음성군 원중로 1406-0,한식,1059
8,카페이목,충북 음성군 대청로 189-0,카페/찻집,1050
9,스완,충북 음성군 음성로 823-33,전문음식,1040
10,목구멍충북혁신도시점,충북 음성군 원중로 1401-0,한식,1030
11,미카도스시충북혁신도시점,충북 음성군 대하로 227-0,외국식,978
12,고등어명품이되다,충북 음성군 태정2길 22-0,한식,930
13,궤짝카페,충북 음성군 행군이길 87-65,카페/찻집,926
14,카페트리스톤,충북 음성군 음성로 152-0,카페/찻집,835
15,산수정능이버섯백숙,충북 음성군 용두1안길 27-0,한식,825
16,다부네칼국수,충북 음성군 봉곡길 36-8,한식,786
17,달거니해장국본점,충북 음성군 가곡로 226-0,한식,767
18,최미자원조양평해장국,충북 음성군 금일로 1050-10,한식,705
19,음성설렁탕,충북 음성군 대금로379번길 6-0,한식,688
20,카페율,충북 음성군 찬샘골길 15-0,카페/찻집,672
21,별내옥설농탕,충북 음성군 교연로 958-0,한식,669
22,육하원칙,충북 음성군 장성3길 13-16,한식,659
23,백암순대촌금왕점,충북 음성군 금석로 53-2,한식,650
24,갑오징어와코다리,충북 음성군 금일로 1274-0,한식,644
25,정가네명태음성점,충북 음성군 동음로 186-0,한식,637
26,사임당[한식],충북 음성군 맹동산단지원로 258-0,한식,631
27,밀리내감자탕금왕점,충북 음성군 금석로 40-0,한식,630
28,오양골,충북 음성군 덕금로790번길 14-0,한식,622
29,큰곰집,충북 음성군 음성로 553-0,한식,606
30,소우음성혁신도시점,충북 음성군 대하4길 6-17,한식,602
31,비아보스코,충북 음성군 용담길 34-6,카페/찻집,596
32,어머니밥상[한식],충북 음성군 대금로1851번길 3-6,한식,588
33,뜰안채,충북 음성군 대금로 1883-19,한식,575
34,담아보기한식뷔페,충북 음성군 무극로 88-0,전문음식,567
35,욜로,충북 음성군 대하2길 41-0,한식,558
36,늘닭삼계탕,충북 음성군 두레1안길 3-0,한식,540
37,오생도토리묵집,충북 음성군 오신로 107-0,한식,532
38,피넛커피대소점본점,충북 음성군 오태로 67-1,카페/찻집,531
39,배스킨라빈스충북혁신점,충북 음성군 대하3길 2-0,간이음식,493
40,에클레시아,충북 음성군 백야로 287-0,카페/찻집,488
41,신세계뷔페,충북 음성군 두레로 23-0,전문음식,483
42,샘터가든,충북 음성군 대금로247번길 63-11,한식,463
43,하하형제두묵골,충북 음성군 중간말길 7-10,한식,459
44,아르스카페,충북 음성군 두레로 100-14,카페/찻집,451
45,낙지이야기,충북 음성군 백야로 26-0,전문음식,437
46,호아빈충북혁신도시점,충북 음성군 용두1안길 17-2,외국식,437
47,소나무집,충북 음성군 차생로 111-3,전문음식,433
48,카페윤슬,충북 음성군 원중로399번길 84-0,카페/찻집,424
49,THE담은갈비,충북 음성군 오태로 109-11,한식,420
50,초원식당,충북 음성군 금일로 1231-0,한식,419
51,한우리,충북 음성군 대성로 45-0,한식,419
52,저스트텐동충북혁신도시점,충북 음성군 대하2길 41-0,외국식,414
53,샤브나무금왕점,충북 음성군 무극로285번길 6-1,전문음식,413
54,토종집,충북 음성군 대금로 1987-0,한식,401
55,소갈비왔소,충북 음성군 음성로 1136-0,한식,388
56,고당한우마을,충북 음성군 반기문로 46-16,한식,387
57,송정부산돼지국밥,충북 음성군 이수로 76-0,한식,372
58,메가커피충북금왕점,충북 음성군 무극로 250-0,카페/찻집,343
59,원가네시골손두부,충북 음성군 금일로 1042-0,한식,339
60,메밀명가막국수,충북 음성군 금일로 1268-0,한식,337
61,이화수전통육개장충북혁신도시점,충북 음성군 진성로 719-0,한식,336
62,가장맛있는족발충북혁신도시점,충북 음성군 용두2나길 12-0,전문음식,335
63,송이식당,충북 음성군 금석로107번길 1-14,한식,330
64,이비가짬뽕음성대소점 [중식],충북 음성군 대금로 798-0,외국식,327
65,영빈관[중식],충북 음성군 시장로115번길 5-0,외국식,318
66,카페씨멘트,충북 음성군 무극로253번길 12-3,카페/찻집,315
67,에버독&카페,충북 음성군 음성로1619번길 35-11,카페/찻집,314
68,돼지꿈꾼올갱이,충북 음성군 덕금로389번길 24-0,한식,309
69,청와대반점[중식],충북 음성군 용두2나길 2-0,외국식,288
70,대게큰누나,충북 음성군 용두1안길 22-0,전문음식,283
71,자담치킨충북음성점,충북 음성군 설성로86번길 18-0,간이음식,277
72,예가낙지마을,충북 음성군 사정길 1-0,전문음식,275
73,하누연,충북 음성군 가곡로 228-0,한식,274
74,사계진미숯불닭갈비음성점,충북 음성군 오태로99번길 26-0,전문음식,272
75,위찜충북혁신중앙광장점,충북 음성군 대하2길 13-0,한식,269
76,댕고정,충북 음성군 진성로 836-0,한식,264
77,연암곱창충북혁신도시점,충북 음성군 대하로 226-0,전문음식,256
78,바른갈비,충북 음성군 무극로244번길 31-0,한식,254
79,삼덕통닭충북혁신도시점,충북 음성군 대하2가길 11-0,간이음식,251
80,리엔차이[중식],충북 음성군 용두1안길 30-0,외국식,250
81,태양수산활어회,충북 음성군 음성로 24-0,전문음식,250
