순위,업소명,주소,분류,현지인 검색 수
1,송원칼국수,충북 증평군 초중로 38-0,한식,1710
2,함지박소머리국밥,충북 증평군 역전로 17-0,한식,1634
3,두남자와 어머니청국장,충북 증평군 초중2길 4-0,한식,1483
4,미몽,충북 증평군 인삼로 408-0,카페/찻집,1450
5,이와카페,충북 증평군 증안지길 155-0,카페/찻집,1423
6,남도예담인벨포레[한식],충북 증평군 벨포레길 365-0,한식,1282
7,토방촌,충북 증평군 초중11길 11-0,한식,904
8,홍석정원증평점,충북 증평군 초중7길 45-0,한식,886
9,춘화루[중식],충북 증평군 송산로7길 2-0,외국식,874
10,고기굼터보궁,충북 증평군 초중로 89-0,한식,698
11,일미분식,충북 증평군 신교길 36-0,간이음식,667
12,연가네순대국밥[한식],충북 증평군 초중10길 13-0,한식,662
13,장뜰순대,충북 증평군 윗장뜰길 27-1,한식,542
14,연가돈까스,충북 증평군 삼보로 88-1,전문음식,538
15,교동식당,충북 증평군 윗장뜰길 75-1,한식,528
16,다복회,충북 증평군 삼일로5길 28-0,전문음식,464
17,큰손짬뽕[중식],충북 증평군 삼보로7길 13-0,외국식,404
18,산촌묵밥,충북 증평군 삼성길 21-0,한식,396
19,동천칼국수,충북 증평군 초중2길 3-0,한식,349
20,표가네명품순두부,충북 증평군 초중로 91-0,한식,347
21,황제시래기명태조림,충북 증평군 인삼로 75-0,한식,342
22,동궁오리요리전문점,충북 증평군 초중2길 25-11,전문음식,341
23,길성이증평점,충북 증평군 초중로 32-0,한식,334
24,반여울,충북 증평군 삼보로 10-0,카페/찻집,321
25,이가짬뽕[중식],충북 증평군 초중2길 26-0,외국식,303
26,밀리내감자탕,충북 증평군 초중2길 13-0,한식,296
27,카페율리,충북 증평군 율리휴양로 291-0,카페/찻집,269
28,소보양본가증평점,충북 증평군 초중2길 51-0,한식,253
29,늘품석갈비냉면,충북 증평군 초중로 56-0,한식,239
30,다도횟집,충북 증평군 송산로1길 17-1,전문음식,223
31,해성,충북 증평군 충청대로 1603-0,한식,218
32,포메인충북증평점,충북 증평군 인삼로 408-1,외국식,217
33,토지,충북 증평군 초정약수로 1039-0,전문음식,214
34,버거스캔들증평점,충북 증평군 초중6길 83-0,간이음식,211
35,포레스트,충북 증평군 송산로6길 7-0,전문음식,206
36,증평한우프라자,충북 증평군 중앙로 169-0,한식,205
37,소문난보끄미증평점,충북 증평군 광장로 112-0,전문음식,203
38,미가일식,충북 증평군 초중로 58-0,외국식,198
39,청벽나루,충북 증평군 초중7길 44-0,한식,194
40,증평인삼곰갈비탕,충북 증평군 송산로2길 21-0,한식,187
41,커피철학,충북 증평군 대동1길 6-1,카페/찻집,187
42,꽃마름증평점,충북 증평군 인삼로 73-0,전문음식,186
43,24시전주명가콩나물국밥증평송산점,충북 증평군 광장로 30-0,한식,182
44,세림칼국수,충북 증평군 삼보로 23-0,한식,176
45,이화수전통육개장충북증평점,충북 증평군 중부로 2300-0,한식,172
46,비반트,충북 증평군 반탄길 11-0,카페/찻집,167
47,아구마을해물촌,충북 증평군 초중4길 75-0,전문음식,162
48,울엄마양평해장국증평점,충북 증평군 광장로 112-1,한식,162
49,명심감자탕,충북 증평군 송산로2길 37-13,한식,161
50,황제산삼곰탕삼계탕,충북 증평군 중부로 2282-0,한식,157
51,주성닭갈비,충북 증평군 중앙로10길 6-0,전문음식,156
