순위,업소명,주소,분류,현지인 검색 수
1,맥도날드청주금천DT점,충북 청주시 상당구 중고개로 281-0,간이음식,5504
2,데어데어베이커리카페,충북 청주시 상당구 무심동로 72-0,간이음식,3550
3,오지,충북 청주시 상당구 수암로36번길 13-0,카페/찻집,3510
4,마중한정식[한식],충북 청주시 상당구 대청호반로 845-5,한식,3442
5,스타벅스청주용암DT점,충북 청주시 상당구 1순환로 1243-0,카페/찻집,3165
6,더대청호카페,충북 청주시 상당구 대청호반로 786-25,카페/찻집,3062
7,스타벅스청주용담DT점,충북 청주시 상당구 산성로 129-0,카페/찻집,3036
8,일일일락,충북 청주시 상당구 추정2길 13-2,카페/찻집,2800
9,부부농장문의시내점,충북 청주시 상당구 대청호반로 834-1,한식,2576
10,월오139,충북 청주시 상당구 다리실로249번길 117-0,카페/찻집,2560
11,에클로그,충북 청주시 상당구 효덕길 26-84,카페/찻집,2439
12,카페레체,충북 청주시 상당구 수동로5번길 32-0,카페/찻집,2130
13,듀레베이커리청주점,충북 청주시 상당구 명암로 32-0,간이음식,2065
14,컨트리하우스,충북 청주시 상당구 목련로214번길 40-0,간이음식,1980
15,가덕한우식당,충북 청주시 상당구 단재로 940-0,한식,1961
16,봉용불고기용암점,충북 청주시 상당구 용암북로 130-1,한식,1959
17,홍익돈까스청주용암점,충북 청주시 상당구 단재로 182-0,전문음식,1907
18,풀문,충북 청주시 상당구 수암로36번길 21-4,카페/찻집,1890
19,폴바셋청주방서DT점,충북 청주시 상당구 단재로 305-0,카페/찻집,1854
20,남일순대,충북 청주시 상당구 효촌송정1길 5-10,한식,1825
21,황미방앗간,충북 청주시 상당구 1순환로1480번길 11-12,한식,1810
22,베이커리카페공간,충북 청주시 상당구 목련로 106-22,간이음식,1802
23,길성이본점,충북 청주시 상당구 이정골로 13-0,한식,1688
24,엔트라포레,충북 청주시 상당구 가좌신송로 190-53,카페/찻집,1658
25,옹골찬밥상게르부아,충북 청주시 상당구 효촌송암1길 43-0,한식,1564
26,아우트로커피,충북 청주시 상당구 산성로 676-0,카페/찻집,1550
27,브루클린바이브동남점,충북 청주시 상당구 중고개로125번길 32-2,전문음식,1530
28,베이징[중식],충북 청주시 상당구 산성로 42-0,외국식,1391
29,롯데리아청주금천점,충북 청주시 상당구 수영로 285-0,간이음식,1373
30,영광이네,충북 청주시 상당구 수암로 43-0,전문음식,1294
31,극동반점[중식],충북 청주시 상당구 상당로121번길 60-0,외국식,1234
32,진주냉면이설옥,충북 청주시 상당구 1순환로1514번길 55-0,한식,1197
32,고화갈비살청주직영점,충북 청주시 상당구 단재로 557-0,한식,1197
34,인더키친명암점,충북 청주시 상당구 명암로 30-0,전문음식,1178
35,백년손님서서갈비청주점,충북 청주시 상당구 목련로 223-7,한식,1141
36,어반트리,충북 청주시 상당구 단재로 858-0,한식,1113
37,여울목[한식],충북 청주시 상당구 호미로 224-0,한식,1075
38,방아다리추어탕,충북 청주시 상당구 사북로 157-0,한식,1072
39,봉창이해물칼국수,충북 청주시 상당구 월평로 121-0,한식,1039
40,우암산호랭이,충북 청주시 상당구 중앙로 5-7,전문음식,1020
41,포레시안,충북 청주시 상당구 산성로 643-0,카페/찻집,1012
42,38.5DOG,충북 청주시 상당구 미천고은로 398-0,카페/찻집,990
43,시골생고기,충북 청주시 상당구 용암북로94번길 20-1,한식,976
44,황할머니갈비찌개본점,충북 청주시 상당구 남사로140번길 30-0,한식,974
45,닭마을[한식],충북 청주시 상당구 가덕시동길 10-0,한식,958
46,남주동해장국,충북 청주시 상당구 무심동로304번길 10-0,한식,949
47,어스,충북 청주시 상당구 신송효촌길 117-0,카페/찻집,926
48,월오동묵집,충북 청주시 상당구 다리실로249번길 177-0,한식,913
49,우림칼국수직영점,충북 청주시 상당구 단재로 523-0,한식,910
50,투썸플레이스청주방서메디컬타워점,충북 청주시 상당구 2순환로2031번길 6-20,카페/찻집,891
51,신미만두,충북 청주시 상당구 교동로3번길 52-0,한식,882
52,청남대한우,충북 청주시 상당구 신송효촌길 135-0,한식,872
53,경남옥,충북 청주시 상당구 문의시내1길 7-2,한식,867
54,상당집,충북 청주시 상당구 성내로118번길 1-0,한식,864
55,제이브로,충북 청주시 상당구 단재로 439-25,카페/찻집,855
56,카페아리아,충북 청주시 상당구 목련로 572-0,카페/찻집,847
57,밀꽃국수정원,충북 청주시 상당구 월평로123번길 52-0,한식,842
58,용자1용정점,충북 청주시 상당구 영운천로187번길 3-0,한식,833
59,샤브마니아명암타워점,충북 청주시 상당구 명암로 32-0,전문음식,831
60,원조로얄야식닭발,충북 청주시 상당구 영운천로129번길 3-0,간이음식,825
61,오장동흥남집청주점,충북 청주시 상당구 단재로 721-0,한식,809
62,해천일식[일식],충북 청주시 상당구 중앙로61번길 56-1,외국식,808
63,러브레이크,충북 청주시 상당구 문의시내로 3-17,카페/찻집,800
64,네오피자청주2호점,충북 청주시 상당구 용암로 96-0,간이음식,798
