순위,업소명,주소,분류,현지인 검색 수
1,맥도날드청주율량GS DT점,충북 청주시 청원구 공항로 156-0,간이음식,8860
2,드롭탑오송역언더패스점,충북 청주시 흥덕구,카페/찻집,8244
3,트리브링,충북 청주시 서원구 청남로 1388-36,카페/찻집,7713
4,맥도날드청주비하DT점,충북 청주시 흥덕구 2순환로 1076-0,간이음식,7209
5,스타벅스청주율량DT점,충북 청주시 청원구 충청대로107번길 8-0,카페/찻집,6271
6,스톤폴스,충북 청주시 청원구 1순환로1896번길 19-33,카페/찻집,6114
7,맥도날드청주분평DT점,충북 청주시 서원구 청남로 1991-0,간이음식,5884
8,스타벅스청주오송점,충북 청주시 흥덕구 오송생명로 222-0,카페/찻집,5837
9,맥도날드청주금천DT점,충북 청주시 상당구 중고개로 281-0,간이음식,5504
10,대산보리밥,충북 청주시 서원구 성화로69번길 43-23,한식,5443
11,페트라,충북 청주시 흥덕구 2순환로 626-0,카페/찻집,5347
12,스타벅스청주분평DT점,충북 청주시 서원구 1순환로 1154-0,카페/찻집,4895
13,김산기염소탕,충북 청주시 청원구 양청6길 9-0,한식,4809
14,본궁석갈비,충북 청주시 흥덕구 가포산로 197-0,한식,4771
15,스타벅스청주봉명DT점,충북 청주시 흥덕구 1순환로 514-0,카페/찻집,4749
16,삼학도수산,충북 청주시 흥덕구 비하로 30-0,전문음식,4417
17,봉용불고기,충북 청주시 청원구 중앙로 108-0,한식,4332
18,스타벅스오창과학단지점,충북 청주시 청원구 과학산업2로 385-0,카페/찻집,4159
19,청원한우마실,충북 청주시 청원구 성산2길 5-0,한식,3971
20,진성식당,충북 청주시 흥덕구 엘지로 29-0,한식,3923
21,맥도날드청주봉명DT점,충북 청주시 흥덕구 1순환로 518-0,간이음식,3871
22,듀레베이커리테크노점,충북 청주시 흥덕구 송화로150번길 21-0,간이음식,3788
23,청주본가본점,충북 청주시 흥덕구 사운로 233-0,한식,3760
24,가든포레스트숲속의정원,충북 청주시 청원구 도원세교로 222-6,카페/찻집,3685
25,에이커,충북 청주시 서원구 용평로113번길 47-0,간이음식,3651
26,스타벅스청주비하DT점,충북 청주시 흥덕구 2순환로 1078-0,카페/찻집,3601
27,데어데어베이커리카페,충북 청주시 상당구 무심동로 72-0,간이음식,3550
28,오지,충북 청주시 상당구 수암로36번길 13-0,카페/찻집,3510
29,마중한정식[한식],충북 청주시 상당구 대청호반로 845-5,한식,3442
30,카페코지웨어하우스,충북 청주시 청원구 신평중신1길 50-0,카페/찻집,3421
31,후마니타스,충북 청주시 흥덕구 주봉로15번길 25-0,카페/찻집,3387
32,스타벅스오창호수공원점,충북 청주시 청원구 중심상업1로 20-0,카페/찻집,3386
33,아트빈,충북 청주시 청원구 사천로 33-0,카페/찻집,3357
34,가화한정식[한식],충북 청주시 청원구 내덕로 27-0,한식,3332
35,유생촌청주점,충북 청주시 흥덕구 신성로 6-40,전문음식,3317
35,원조중앙탑막국수오창점,충북 청주시 청원구 용두1길 14-0,한식,3317
37,위드쿠잉,충북 청주시 흥덕구 동촌로28번길 28-0,전문음식,3235
