순위,업소명,주소,분류,현지인 검색 수
1,맥도날드충주교현DT점,충북 충주시 국원대로 87-0,간이음식,10999
2,커피단월,충북 충주시 충원대로 55-0,카페/찻집,5996
3,스타벅스충주호암DT점,충북 충주시 중원대로 3245-0,카페/찻집,5317
4,스타벅스충주시청DT점,충북 충주시 국원대로 208-1,카페/찻집,4556
5,버거킹연수점,충북 충주시 연수동산로 47-0,간이음식,4074
6,게으른악어,충북 충주시 월악로 927-0,카페/찻집,3975
7,듀레베이커리호암점,충북 충주시 중원대로 3250-0,간이음식,2953
8,메밀마당충주중앙탑본점,충북 충주시 중앙탑길 103-0,한식,2853
9,좋은아침페스츄리충주점,충북 충주시 남산1길 42-0,간이음식,2690
10,스타벅스충주터미널점,충북 충주시 봉계13길 2-0,카페/찻집,2665
11,카페샵오팔,충북 충주시 청운로 58-1,카페/찻집,2353
12,다담뜰한식뷔페충주점,충북 충주시 금봉대로 178-0,전문음식,2289
13,일번지순대국,충북 충주시 연수상가2길 9-0,한식,2280
14,청인[중식],충북 충주시 봉현로 296-0,외국식,2261
15,고메스퀘어충주점,충북 충주시 번영대로 225-0,전문음식,2171
16,탑뷰카페,충북 충주시 중앙탑길 99-0,카페/찻집,2150
17,원조중앙탑막국수,충북 충주시 중원대로 3018-0,한식,2149
18,스타벅스충주교현DT점,충북 충주시 금봉대로 362-0,카페/찻집,2033
19,비채커피,충북 충주시 솔고개로 737-0,카페/찻집,1851
20,진원소우충주호암점,충북 충주시 원호암1길 3-0,한식,1843
21,민들레,충북 충주시 지등로 1055-0,카페/찻집,1826
22,이씨식당,충북 충주시 능바우길 15-0,한식,1789
23,방가삼대얼큰한뼈해장국,충북 충주시 갱고개로 163-0,한식,1754
24,탄금대왕갈비탕,충북 충주시 능바우길 35-0,한식,1748
25,스타벅스충주연수점,충북 충주시 계명대로 227-0,카페/찻집,1747
26,충주농협탄금한우타운,충북 충주시 탄금대로 364-0,한식,1685
27,투파인드피터충주연수점,충북 충주시 연수동산로2길 3-0,외국식,1675
28,홍익돈까스충주점,충북 충주시 안림로 143-0,전문음식,1667
29,후라토식당충주점,충북 충주시 호암토성2로 3-0,외국식,1631
30,서유숙카페,충북 충주시 덕은로 596-0,카페/찻집,1624
31,안림홍두깨칼국수,충북 충주시 안림로 72-0,한식,1595
32,버거킹충주호암FS점,충북 충주시 사천개6길 4-0,간이음식,1541
33,석정원,충북 충주시 연수동산로4길 50-0,전문음식,1519
34,아리랑숯불갈비전문점,충북 충주시 팽고리산길 74-0,한식,1510
35,계명산호랭이,충북 충주시 사천개6길 18-0,외국식,1455
36,소담촌충주호암점,충북 충주시 사천개1길 2-0,전문음식,1439
37,중앙탑면막국수본점,충북 충주시 중앙탑길 112-5,한식,1399
38,엔제리너스충주연수점,충북 충주시 갱고개로 147-0,카페/찻집,1395
39,중앙탑막국수,충북 충주시 중앙탑길 109-0,한식,1388
40,양평해장국노은점,충북 충주시 감노로 1585-0,한식,1340
41,터줏골명가,충북 충주시 금제7길 14-0,한식,1324
42,정반,충북 충주시 거룡2길 62-1,한식,1300
43,열혈청춘충주본점,충북 충주시 연수상가4길 17-1,한식,1282
44,카페구름,충북 충주시,카페/찻집,1275
45,빠리방앗간,충북 충주시 지곡6길 40-0,외국식,1274
46,투썸플레이스호암점,충북 충주시 호암수청2로 15-0,카페/찻집,1261
47,장수촌본점,충북 충주시 충원대로 56-0,전문음식,1247
48,베이커리이와정,충북 충주시 연수동산로7길 2-0,간이음식,1228
49,어식당,충북 충주시 원호암4길 10-0,한식,1188
50,별난찜,충북 충주시 충원대로 49-1,한식,1182
51,오시며가시며,충북 충주시 중방곡길 56-0,한식,1169
51,듀레베이커리앤카페남산점,충북 충주시 안림로 286-0,간이음식,1169
53,외갓집,충북 충주시 신덕로 265-0,한식,1154
54,풍년식당[중식],충북 충주시 조동2길 88-0,외국식,1152
55,상촌식당,충북 충주시 중산신촌길 99-0,외국식,1151
56,명산가든[한식],충북 충주시 중원대로 2577-10,한식,1144
57,황금옥,충북 충주시 예성로 304-0,한식,1130
58,느티나무카페,충북 충주시 청룡사지길 5-0,카페/찻집,1127
