순위,분류,관련 키워드,언급건수,연도
1,레포츠,빠지,56104,2022
2,휴식/힐링,힐링,54260,2022
3,기타,투어,26366,2022
4,휴식/힐링,나들이,24077,2022
5,휴식/힐링,호캉스,19124,2022
6,레포츠,캠핑,14916,2022
7,레포츠,등산,14491,2022
8,레포츠,스키,12830,2022
9,기타,데이트코스,11972,2022
10,기타,해외여행,8198,2022
11,휴식/힐링,피크닉,7836,2022
12,미식,먹부림,6258,2022
13,휴식/힐링,휴양,6010,2022
14,미식,맛집탐방,5885,2022
15,미식,카페투어,5145,2022
16,기타,부산여행,4953,2022
17,휴식/힐링,테라피,4905,2022
18,레포츠,레저,4425,2022
19,미식,맛집투어,4366,2022
20,레포츠,낚시,3216,2022
21,기타,답사,2927,2022
22,휴식/힐링,신혼여행,2907,2022
23,미식,애프터눈티,2859,2022
24,레포츠,서핑,2724,2022
25,휴식/힐링,불멍,2307,2022
26,레포츠,글램핑,2213,2022
27,레포츠,클라이밍,2202,2022
28,레포츠,산행,1990,2022
29,미식,빵지순례,1877,2022
30,휴식/힐링,즐길거리,1824,2022
31,휴식/힐링,재충전,1501,2022
32,기타,일본여행,1494,2022
33,체험,수학여행,1321,2022
34,휴식/힐링,물멍,1262,2022
35,기타,유럽여행,1241,2022
36,기타,제주여행,1156,2022
37,레포츠,차박,1118,2022
38,미식,먹킷리스트,1054,2022
39,휴식/힐링,허니문,1022,2022
40,체험,쿠킹클래스,1010,2022
41,기타,추억여행,1008,2022
42,레포츠,트레킹,916,2022
43,레포츠,트래킹,877,2022
44,레포츠,스쿼시,748,2022
45,기타,제주도여행,681,2022
46,레포츠,패러글라이딩,640,2022
47,체험,템플스테이,594,2022
48,휴식/힐링,일광욕,572,2022
49,휴식/힐링,워케이션,539,2022
50,레포츠,스케이트보드,538,2022
51,휴식/힐링,야영,506,2022
52,레포츠,ssi,496,2022
53,레포츠,골프여행,490,2022
54,미식,고기파티,477,2022
55,기타,세계여행,453,2022
56,기타,자유여행,431,2022
56,레포츠,오프로드,431,2022
58,휴식/힐링,드라이브코스,428,2022
59,레포츠,스쿠버,416,2022
60,휴식/힐링,단풍놀이,406,2022
61,레포츠,짚라인,402,2022
62,기타,배낭여행,394,2022
63,레포츠,하이킹,384,2022
64,미식,빵투어,374,2022
65,레포츠,레포츠,358,2022
66,기타,미국여행,339,2022
67,미식,바베큐파티,327,2022
68,체험,향수만들기,324,2022
69,레포츠,캠프파이어,323,2022
70,레포츠,백패킹,319,2022
71,레포츠,수상레저,311,2022
72,휴식/힐링,힐링여행,305,2022
73,레포츠,수상스키,303,2022
74,기타,기차여행,291,2022
75,레포츠,암벽등반,283,2022
76,레포츠,스쿠버다이빙,279,2022
76,레포츠,캠핑족,279,2022
78,레포츠,카약,276,2022
79,레포츠,애슬레저,266,2022
