순위,분류,관련 키워드,언급건수
1,레포츠,빠지,12384
2,휴식/힐링,힐링,9301
3,휴식/힐링,나들이,3992
4,레포츠,캠핑,3646
5,기타,투어,3343
6,레포츠,등산,3143
7,레포츠,스키,2099
8,휴식/힐링,피크닉,1569
9,기타,해외여행,1453
10,휴식/힐링,휴양,1309
11,레포츠,낚시,1118
12,레포츠,레저,1043
13,미식,먹부림,945
14,기타,데이트코스,903
15,기타,답사,731
16,레포츠,산행,703
16,미식,카페투어,703
18,휴식/힐링,테라피,691
19,휴식/힐링,호캉스,624
20,레포츠,서핑,590
21,미식,맛집탐방,546
22,휴식/힐링,즐길거리,504
23,휴식/힐링,불멍,449
24,레포츠,글램핑,425
25,미식,맛집투어,394
26,레포츠,번지점프,368
27,레포츠,클라이밍,350
28,레포츠,차박,337
29,휴식/힐링,재충전,332
30,휴식/힐링,신혼여행,327
31,레포츠,트레킹,307
32,휴식/힐링,야영,300
33,레포츠,스쿠버,260
34,기타,세계여행,256
35,체험,쿠킹클래스,243
36,레포츠,프리다이빙,242
37,휴식/힐링,물멍,232
38,레포츠,트래킹,223
38,미식,빵지순례,223
40,체험,수학여행,218
41,레포츠,ssi,207
42,체험,숲체험,206
43,레포츠,오토캠핑,204
44,기타,일본여행,203
44,레포츠,스노쿨링,203
46,레포츠,스킨스쿠버,187
47,기타,부산여행,173
48,레포츠,스노클링,164
49,기타,추억여행,145
50,기타,유럽여행,131
50,레포츠,오픈워터,131
52,기타,제주여행,128
53,레포츠,padi,118
54,레포츠,백패킹,114
55,기타,기차여행,112
56,체험,놀이체험,110
57,레포츠,감성캠핑,106
58,레포츠,스쿼시,99
58,레포츠,스킨다이빙,99
60,미식,먹킷리스트,98
61,레포츠,암벽등반,96
62,체험,역사체험,92
63,레포츠,스쿠버다이빙,91
63,휴식/힐링,일광욕,91
65,휴식/힐링,워케이션,89
66,기타,자유여행,86
67,레포츠,캠핑족,85
68,레포츠,패러글라이딩,83
69,레포츠,레포츠,79
70,미식,고기파티,78
71,휴식/힐링,겨울여행,75
71,휴식/힐링,단풍놀이,75
73,레포츠,하이킹,71
74,레포츠,수상스포츠,70
75,레포츠,윈드서핑,66
76,체험,생태체험,65
76,레포츠,게이트볼,65
78,휴식/힐링,드라이브코스,64
79,레포츠,루어낚시,62
80,기타,제주도여행,61
81,휴식/힐링,힐링여행,60
81,체험,도자기체험,60
83,레포츠,짚라인,58
84,체험,물레체험,57
84,기타,미국여행,57
86,레포츠,스노우보드,56
87,레포츠,수상스키,55
88,레포츠,캠프파이어,54
88,미식,바베큐파티,54
90,레포츠,오프로드,53
91,레포츠,스케이트보드,52
91,휴식/힐링,북캉스,52
93,체험,시티투어,51
94,레포츠,카약,49
95,레포츠,레저스포츠,48
95,체험,도예체험,48
97,체험,템플스테이,47
97,레포츠,수상레저,47
99,휴식/힐링,홈캉스,46
100,기타,도보여행,44
100,휴식/힐링,바다멍,44
100,휴식/힐링,허니문,44
103,미식,애프터눈티,42
103,레포츠,빙벽등반,42
105,기타,배낭여행,40
106,기타,세계일주,38
106,체험,농촌체험,38
108,레포츠,골프여행,37
108,미식,빵투어,37
110,레포츠,골프투어,36
111,기타,스탬프투어,35
112,레포츠,아쿠아로빅,33
113,체험,농장체험,32
114,레포츠,웨이크보드,31
114,체험,원예체험,31
116,체험,수확체험,30
117,레포츠,바다낚시,28
117,레포츠,해양레저,28
117,휴식/힐링,가을여행,28
120,휴식/힐링,차크닉,27
121,기타,역사여행,26
121,휴식/힐링,우정여행,26
121,휴식/힐링,태교여행,26
121,레포츠,bmx,26
125,체험,vr체험,25
126,체험,전통공예체험,24
127,체험,갯벌체험,23
127,기타,걷기여행,23
129,레포츠,캠프닉,22
130,레포츠,제트스키,21
130,레포츠,캠핑여행,21
132,레포츠,트레일러닝,20
132,미식,식도락여행,20
134,레포츠,애슬레저,19
134,체험,승마체험,19
136,휴식/힐링,요트투어,18
136,휴식/힐링,집콕생활,18
136,레포츠,노지캠핑,18
136,체험,딸기체험,18
136,휴식/힐링,노을뷰,18
136,기타,패키지여행,18
142,레포츠,캠크닉,17
143,휴식/힐링,즉흥여행,16
143,휴식/힐링,촌캉스,16
143,레포츠,스카이다이빙,16
146,기타,일출여행,15
146,체험,농사체험,15
146,체험,어촌체험,15
146,체험,목공체험,15
150,기타,데이트스냅,14
150,기타,테마여행,14
150,체험,한옥스테이,14
153,기타,졸업여행,13
153,휴식/힐링,생태관광,13
153,레포츠,산악자전거,13
153,체험,동물체험,13
153,레포츠,글라이더,13
158,레포츠,바나나보트,12
158,레포츠,발야구,12
158,레포츠,패러세일링,12
161,기타,자전거여행,11
161,레포츠,cmas,11
161,미식,삼겹살파티,11
161,체험,미술체험,11
161,휴식/힐링,온천여행,11
161,미식,먹방여행,11
161,체험,공포체험,11
161,휴식/힐링,봄여행,11
161,휴식/힐링,홈캠핑,11
161,체험,공예체험,11
171,기타,중국여행,10
171,휴식/힐링,숲멍,10
171,체험,버스투어,10
171,체험,텃밭체험,10
175,레포츠,해양스포츠,9
175,체험,공방체험,9
175,레포츠,래프팅,9
175,레포츠,패들보드,9
175,체험,먹이주기체험,9
175,레포츠,제트보트,9
175,체험,한복체험,9
182,기타,동남아여행,8
182,휴식/힐링,집캉스,8
182,기타,워킹투어,8
182,체험,우주체험,8
