Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
2487925,대저생태공원,인문(문화/예술/역사),휴양관광지,1.9,1.7,7.4,5.3,9.8,5.4,9.5,5.3,13.2,9.0,12.6,8.9,5.7,4.4,0,1,11
2748838,대저수문생태공원,인문(문화/예술/역사),휴양관광지,2.2,1.8,7.1,3.7,7.1,4.8,9.3,6.6,14.2,11.9,13.3,9.3,5.1,3.7,0,2,11
2791383,델타루(에코델타시티전망대),인문(문화/예술/역사),건축/조형물,2.7,2.4,7.2,3.6,13.7,7.8,11.5,5.4,13.0,7.0,11.6,7.9,3.3,3.0,0,3,11
250424,망산도·유주암·유주비각,인문(문화/예술/역사),역사관광지,3.6,3.1,9.4,6.0,13.0,7.3,13.4,8.0,12.5,7.8,7.6,4.7,1.9,1.8,0,4,11
2487927,맥도생태공원,인문(문화/예술/역사),휴양관광지,2.4,2.4,10.5,12.5,11.6,8.1,10.8,5.8,11.4,7.5,8.1,5.1,2.2,1.6,0,5,11
2789340,명지동근린공원,인문(문화/예술/역사),휴양관광지,6.6,6.6,4.8,6.5,7.9,9.8,10.2,12.6,6.9,8.1,5.7,8.1,3.0,3.4,0,6,11
2742601,명지시장,쇼핑,쇼핑,5.3,4.4,6.2,4.6,10.8,7.0,10.0,6.1,10.5,9.0,10.1,8.8,3.7,3.5,0,7,11
2789334,보람공원,인문(문화/예술/역사),휴양관광지,1.4,1.0,9.8,4.5,14.2,5.0,16.5,5.3,17.1,6.1,11.1,4.2,2.7,1.1,0,8,11
2764008,부산자원순환협력센터,인문(문화/예술/역사),문화시설,1.0,0.6,10.3,2.4,17.5,3.2,19.2,3.6,17.7,4.9,12.2,4.0,2.0,1.2,0,9,11
482123,청량사(부산),인문(문화/예술/역사),역사관광지,3.7,2.8,6.9,4.3,13.4,7.6,11.4,6.1,12.9,7.3,11.0,6.8,3.3,2.7,0,10,11
2791357,화전공원,인문(문화/예술/역사),휴양관광지,1.1,0.5,11.9,4.6,24.1,5.7,17.1,3.7,13.3,3.8,8.6,3.2,1.2,1.4,0,11,11
128830,금강식물원,자연,자연관광지,7.2,5.0,5.9,6.3,7.2,7.0,8.1,9.9,7.4,11.3,6.9,9.3,4.2,4.1,0,1,9
126028,금정산(부산국가지질공원),자연,자연관광지,2.7,3.0,7.3,7.9,6.4,5.0,6.3,6.2,10.1,12.8,10.9,11.0,5.3,5.0,0,2,9
2788830,남산시장/남산새벽시장,쇼핑,쇼핑,3.2,2.8,12.4,9.3,4.7,3.9,6.4,6.6,9.1,11.1,9.7,9.5,5.4,5.9,0,3,9
2763881,부곡상가시장(부곡시장),쇼핑,쇼핑,4.5,4.7,8.1,7.8,6.0,5.0,6.7,7.8,7.8,11.1,6.8,10.9,5.4,7.5,0,4,9
126148,부산범어사,인문(문화/예술/역사),역사관광지,0.9,0.9,4.5,4.7,5.6,4.5,6.0,6.2,11.3,15.1,12.1,15.1,6.5,6.5,0,5,9
2763981,서동미로시장/서동시장,쇼핑,쇼핑,1.9,1.6,5.8,6.3,5.5,4.7,6.2,6.3,9.3,12.8,11.4,13.3,6.9,8.2,0,6,9
1607119,오륜대한국순교자박물관,인문(문화/예술/역사),문화시설,3.7,14.6,9.0,9.9,6.2,4.7,7.1,5.3,9.9,8.9,7.1,7.8,3.2,2.5,0,7,9
1940880,요산문학관,인문(문화/예술/역사),문화시설,3.3,4.0,9.3,12.6,5.4,4.9,5.7,6.8,9.1,12.1,8.1,9.4,4.5,4.7,0,8,9
128886,홍법사(부산),인문(문화/예술/역사),역사관광지,1.3,1.4,4.9,3.5,6.9,4.8,9.3,6.5,16.4,12.7,12.4,10.0,5.5,4.7,0,9,9
2606230,국립달음산자연휴양림,자연,자연관광지,2.9,2.1,5.9,3.9,10.0,4.7,10.5,5.7,12.8,9.1,13.2,9.3,6.0,4.0,0,1,26
2385666,국립부산과학관,인문(문화/예술/역사),문화시설,5.1,6.1,8.3,11.5,10.1,11.4,9.2,9.7,6.7,9.0,4.2,5.2,1.6,1.9,0,2,26
2704343,기장해녀촌(연화리횟촌),인문(문화/예술/역사),체험관광지,1.9,1.7,8.7,8.6,8.7,6.6,8.4,8.3,11.8,12.5,8.4,8.3,2.7,3.6,0,3,26
2776386,묘관음사,인문(문화/예술/역사),역사관광지,1.9,1.6,12.3,6.7,19.5,5.9,14.2,6.0,11.4,7.2,6.1,3.6,1.9,1.5,0,4,26
1117790,부산기장시장,쇼핑,쇼핑,3.9,3.6,6.8,6.9,7.1,5.9,7.9,7.4,9.7,11.3,9.0,10.1,4.8,5.6,0,5,26
2815627,부산롯데월드,인문(문화/예술/역사),휴양관광지,9.6,11.8,9.7,14.3,9.5,10.7,8.5,8.4,4.3,4.9,2.7,3.2,1.1,1.3,0,6,26
2660770,부산치유의숲,자연,자연관광지,0.8,0.6,3.6,2.4,3.5,4.3,6.2,5.8,16.3,13.6,17.7,12.3,7.9,4.9,0,7,26
2776998,석탑사,인문(문화/예술/역사),역사관광지,5.0,4.5,4.4,4.4,8.8,6.9,12.4,13.0,10.8,8.0,8.4,4.9,5.0,3.4,0,8,26
2758469,소두방공원,인문(문화/예술/역사),휴양관광지,7.0,7.6,5.9,5.6,7.8,8.3,10.3,13.3,7.6,8.3,5.4,6.1,3.6,3.0,0,9,26
689931,소름요,인문(문화/예술/역사),체험관광지,1.6,2.1,5.9,6.1,6.1,5.4,7.6,8.1,9.5,11.6,10.2,10.4,6.2,9.1,0,10,26
2758477,신평소공원,인문(문화/예술/역사),휴양관광지,1.6,1.8,5.9,6.6,8.0,6.5,8.4,7.8,11.1,13.0,10.3,9.7,4.6,4.5,0,11,26
2385686,아홉산숲,자연,자연관광지,1.6,1.6,4.1,3.9,6.6,5.3,7.7,7.1,12.1,13.5,14.2,11.6,5.9,4.8,0,12,26
2661452,안데르센동화마을,인문(문화/예술/역사),체험관광지,1.2,1.3,7.9,3.8,13.9,5.0,12.6,6.6,14.7,9.6,11.4,6.0,3.3,2.6,0,13,26
