관광지,10대 이하 관광객 수,20대 관광객 수,30대 관광객 수,40대 관광객 수,50대 관광객 수,60대 관광객 수,70대 이상 관광객 수
에버랜드,1258695,1639768,1224052,975777,375298,236726,63512
서울대공원,184871,181764,352655,306049,214389,197300,116515
서울랜드,190895,163228,326458,282192,170145,159079,89913
한국민속촌,154286,168590,264635,208438,105241,89914,30652
마장호수,66609,161564,249433,260770,337301,253685,89285
화담숲,62741,213140,231593,185459,118103,87654,23066
안성팜랜드,40456,93593,166054,120163,96009,64609,23548
안양예술공원,47842,97963,127581,120746,163273,138972,63789
국립과천과학관,47193,60754,109577,97642,95473,85708,46108
용문산관광지,31002,80769,89743,127274,203964,190910,91376
화성행궁,41586,168327,84658,55943,64359,52478,28219
헤이리예술마을,15649,63264,66927,63930,66594,41954,14317
시흥갯골생태공원,29557,49879,65766,65396,81654,55052,21798
벽초지수목원,11570,48762,63638,70664,111987,81408,24794
퍼스트가든,13565,37809,50797,52528,64650,48776,19625
시흥오이도박물관,6847,39324,47499,45731,47719,26952,6627
병목안시민공원,15063,22943,33371,28736,46350,57474,27810
세미원,15137,22603,25091,33593,48109,43132,19906
호암미술관,23134,23703,20479,17445,5878,3223,1042
수원화성박물관,11594,29178,19877,17328,21278,18474,9682
국립산음자연휴양림,6255,10426,18560,19811,23356,19185,6673
가나아트파크,5793,10696,17738,17381,18005,13904,5704
경기도미술관,6824,13384,17196,13207,18259,13828,5850
경기북부어린이박물관,4117,14532,17075,15137,24342,24099,21798
배다골테마파크,12002,18780,16891,17669,22114,14891,8889
황학산수목원,14646,18733,15668,20209,23388,15213,5335
애기봉평화생태공원,4015,15670,15572,17041,20959,19097,5777
연천호로고루,7243,42428,14043,15078,30600,27940,10347
전곡선사박물관,6784,13951,13760,17201,20927,17296,5638
해우재,14678,11550,13154,11630,15641,10106,3528
수원광교박물관,2256,10908,12225,9875,7335,3384,1081
여주박물관,6696,10247,11780,15493,18640,13233,4679
판교박물관,2533,7363,10768,9144,5146,3482,1147
남양주시립박물관,1902,8621,10702,9988,13794,10523,3983
김포함상공원,1822,9250,10532,10802,16879,13706,4388
명성황후생가,5290,14181,9876,12769,15379,9665,3456
안산갈대습지공원,4316,10127,9629,9519,12286,6972,2490
용도수목원,1343,4863,9252,7630,8738,6444,1304
산장관광지,3579,7875,7159,8353,9594,7828,3293
축령산자연휴양림,2828,5839,7104,8670,14871,14449,6441
안산어촌민속박물관,2377,4052,6576,6019,5314,3964,1085
여주온천,2376,4686,6403,11157,20531,14919,5875
조명박물관,2576,6136,6370,7728,12319,8899,2763
국화도,1457,3926,5788,7489,11214,7814,2753
용문산자연휴양림,3314,5344,5759,7830,8867,7250,3024
다도박물관,1200,6073,5730,6280,7138,6279,1647
한택식물원,2442,6501,5507,6501,10147,7619,2733
우농타조농장,1342,3674,5423,5170,5270,3269,1139
안성맞춤박물관,1862,4026,5407,4866,6219,5227,2433
칼봉산자연휴양림,1918,8895,4884,4069,4534,3662,1104
수원박물관,4541,11724,4734,3414,3704,2898,1191
자유수호평화박물관,1077,3982,4700,4015,6463,6463,5843
소울원,536,3777,4290,4991,5876,3171,675
우석헌자연사박물관,866,2781,2700,3103,4755,4192,1753
청계목장,601,1851,2530,3225,3780,2608,833
덕포진교육박물관,336,1707,1944,1994,3115,2529,810
이천시립월전미술관,721,1555,1473,1584,2408,1767,680
태풍전망대,1030,8235,1437,1453,1608,1406,483
충현박물관,523,974,1058,996,980,712,328
영은미술관,937,917,1056,1162,1263,923,384
한국등잔박물관,248,495,766,874,890,645,245
서호미술관,156,639,751,826,1108,656,204
열쇠전망대,298,2582,545,675,897,1086,416
조병화문학관,86,264,390,499,733,484,159
영집궁시박물관,84,315,357,359,414,311,130
모란미술관,241,319,349,455,473,349,154
두루뫼박물관,112,219,229,264,331,228,75
남송미술관,69,191,226,168,125,107,47
안성허브마을,294,917,127,125,217,143,46
몽골문화촌,0,0,0,0,0,0,0
