관광지,10대 이하 관광객 수,20대 관광객 수,30대 관광객 수,40대 관광객 수,50대 관광객 수,60대 관광객 수,70대 이상 관광객 수
이월드,330206,482429,388753,334890,346599,288052,170958
대구수목원,94201,196594,231409,294893,526302,501728,204786
국립대구과학관,78802,140093,147501,129990,107090,56576,14143
비슬산자연휴양림,49117,58940,93700,157931,198737,147352,48361
국립대구박물관,120529,68702,56045,120529,124748,77741,34350
대구미술관,11223,40055,30152,39614,53921,32132,12764
앞산해넘이전망대,4509,22437,20008,18273,22899,16539,11102
대구교육박물관,1669,11051,5472,4690,5934,4725,2025
수창청춘맨숀,828,2727,3446,2837,3704,3187,1750
2·28민주운동기념회관,1156,2172,1183,1148,1386,1059,714
자연염색박물관,32,104,131,171,329,277,116
