관광지,10대 이하 관광객 수,20대 관광객 수,30대 관광객 수,40대 관광객 수,50대 관광객 수,60대 관광객 수,70대 이상 관광객 수
인천어린이과학관,25834,33281,33514,33281,51435,36306,19084
옥토끼우주센터,8690,10862,16741,20448,29011,30672,11501
인천나비공원,6039,35277,18243,17276,22108,17156,4470
인천도시역사관,11130,16326,22792,23004,19082,10388,3392
영종역사관,10829,14105,19292,21385,13650,8554,3367
인천상륙작전기념관,3819,9311,10386,10624,13430,8535,3641
수도국산달동네박물관,5864,7407,8642,9815,11791,11297,6913
소창체험관,3777,4148,3575,4890,6846,6746,3743
녹청자박물관,2916,5095,6023,6345,6376,4037,1248
강화화문석문화관,194,530,332,352,611,608,285
