관광지,10대 이하 관광객 수,20대 관광객 수,30대 관광객 수,40대 관광객 수,50대 관광객 수,60대 관광객 수,70대 이상 관광객 수
오동도,87114,227027,229667,224387,267945,207229,75235
아쿠아플라넷여수,61404,150791,148459,130582,139132,104932,42749
죽녹원,55888,145166,109600,113229,157505,108148,35565
함평엑스포공원,33451,42492,57410,79109,107588,85437,46108
금오도,27011,18135,45532,70614,96468,91452,37044
거문도,9006,38363,44035,53041,87402,74058,27354
국립나주박물관,13889,23148,36749,46877,66264,68869,33566
진도타워,8846,20573,33536,36210,46498,45880,13990
대한다원,15358,31162,30271,36725,59875,38284,10905
가우도,19985,27980,28902,43354,75333,81175,31362
땅끝관광지,10076,25628,23438,35486,58049,51477,14895
함평자연생태공원,9216,15037,20737,20495,22192,19282,14431
흑산도,1298,15777,18673,14878,24366,18673,6091
완도타워,8119,16239,18635,23827,28885,23427,13842
율포해수녹차센터,9568,13087,16464,22093,34476,31240,13649
청춘창고,3362,15500,12137,11316,17960,14679,7134
도갑사,5982,9543,10682,25212,44442,35896,10398
홍도,864,8842,10380,10092,30180,28738,6919
비금도,24844,5294,10045,22536,30819,20229,22129
임자도,9223,7672,8102,17240,21809,15085,6895
광양와인동굴,7507,6815,8027,12244,12706,8085,2367
운주사,3372,4376,7318,9183,20950,18295,8251
구봉산전망대,1410,5265,6025,8414,14874,12920,5320
유치자연휴양림,5015,2390,5839,9405,8229,5956,2351
국립진도자연휴양림,4738,4368,5775,12514,17476,17847,11256
봉래산,1505,3161,5420,8244,8056,7377,3801
마한문화공원,1280,2070,4180,4142,11788,10997,3238
장산도,2680,2774,4145,5206,6172,6359,3865
고산윤선도유적지,1895,2952,3680,6414,10934,7472,3061
무위사,1271,2899,3662,6257,14654,15367,6767
호남호국기념관,1572,3476,3393,5573,6925,4552,2096
하화도,1437,3258,3234,4001,5391,4552,2084
영벽정,5490,2880,3032,5605,9369,7679,4223
순천자연휴양림,5538,8192,2851,5041,5637,4211,1691
한천자연휴양림,1649,993,2601,4314,6281,4293,1014
한국대나무박물관,1825,2920,2555,3948,5705,4085,1780
팔영산자연휴양림,1357,1879,2505,5151,9676,10442,3793
죽화경,1397,1751,2460,3441,5445,4547,1814
고흥분청문화박물관,1251,1418,2295,5008,11729,10560,9434
광양예술창고,1009,2272,2247,4015,6768,5858,3055
태백산맥문학관,2049,2231,2184,3688,5509,4484,2618
문준경전도사순교기념관,1218,1867,2162,3106,5171,4601,1513
장보고기념관,1557,1777,2048,2421,3793,3758,1574
순천시립뿌리깊은나무박물관,1230,1662,2030,2606,3758,3294,1422
굴전여가캠핑장,819,1562,1972,2006,2084,1873,742
백아산자연휴양림,980,1067,1785,2907,5814,3817,1154
구례목재문화체험장,1245,640,1653,1781,2783,1828,1699
거금생태숲,469,937,1642,2074,2778,3186,1246
마복산목재문화체험장,594,1211,1609,3351,5909,5291,4057
서근등대,600,978,1384,2475,3426,3762,1356
적대봉,396,1411,1378,2331,3790,4265,2314
태안사,890,890,1336,3300,5953,5973,1903
고흥우주천문과학관,475,934,1278,2263,4100,4494,2870
나주학생독립운동기념관,1519,1756,1268,1954,2814,2311,1584
나주배박물관,403,813,1224,1211,1324,1039,588
가마골생태공원,530,1082,1081,3265,5634,6206,2613
백아산,618,1023,1073,1831,3662,2778,1641
초의선사유적지,488,934,977,1344,2409,1711,864
못난이미술관,511,475,907,1914,2498,1662,1015
마복산,444,489,685,1316,1940,2171,1851
세계화석광물박물관,194,369,635,942,2241,1779,809
소호요트장,224,287,356,354,460,249,129
방촌유물전시관,153,129,200,377,530,530,286
채일봉전망대,36,100,132,239,411,467,225
나주목사내아,48,88,102,124,206,172,142
오지호기념관,47,50,38,98,189,137,131
팔금도,0,0,0,0,0,0,0
