관광지,10대 이하 관광객 수,20대 관광객 수,30대 관광객 수,40대 관광객 수,50대 관광객 수,60대 관광객 수,70대 이상 관광객 수
비자림,42050,127902,203243,151555,173457,143671,34165
정방폭포,41604,145274,120720,117310,139135,92075,25234
천제연폭포,18759,81010,86979,80157,84847,55854,18759
카멜리아힐,17116,58559,84236,73875,120273,80632,16216
국립제주박물관,17457,27097,32308,47421,69828,49504,17196
서귀포자연휴양림,11061,10736,20170,32207,45220,33346,9922
제주현대미술관,7751,16028,23517,31664,23518,23911,4860
제주돌문화공원,16978,14246,27126,30054,50351,44496,11904
이중섭미술관,10755,25235,22477,25236,27855,18478,7859
제주항일기념관,4868,9104,10622,11570,13594,9421,4045
제주별빛누리공원,306,2032,3297,8666,16643,6480,919
일출랜드,9636,4290,5346,6270,15510,18480,6600
서복전시관,1880,4650,4116,4930,5031,3328,1473
제주국제평화센터,1508,3036,3722,3859,4408,2272,783
