관광지,10대 이하(남) 관광객 수,10대 이하(여) 관광객 수,20대 (남) 관광객 수,20대 (여) 관광객 수,30대 (남) 관광객 수,30대 (여) 관광객 수,40대 (남) 관광객 수,40대 (여) 관광객 수,50대 (남) 관광객 수,50대 (여) 관광객 수,60대 (남) 관광객 수,60대 (여) 관광객 수,70대 이상 (남) 관광객 수,70대 이상 (여) 관광객 수
대구수목원,43005,51196,96249,100345,104441,126968,122872,172021,176116,350186,215026,286702,102393,102393
이월드,147539,182667,227163,255266,203744,185009,182667,152223,182667,163932,147539,140513,86650,84308
비슬산자연휴양림,23425,25692,30226,28714,46850,46850,79343,78588,89923,108814,77832,69520,26447,21914
국립대구박물관,72920,47609,32543,36159,27721,28324,47006,73523,54238,70510,34953,42788,15668,18682
국립대구과학관,39738,39064,90252,49841,95640,51861,80149,49841,60617,46473,32329,24247,7408,6735
대구미술관,6602,4621,20908,19147,17607,12545,24649,14965,28171,25750,20908,11224,8143,4621
앞산해넘이전망대,2081,2428,10987,11450,10524,9484,11450,6823,10640,12259,9831,6708,4857,6245
대구교육박물관,746,923,6290,4761,3376,2096,2594,2096,2594,3340,2416,2309,817,1208
수창청춘맨숀,423,405,1400,1327,1880,1566,1695,1142,2248,1456,1953,1234,958,792
2·28민주운동기념회관,326,830,1033,1139,689,494,583,565,671,715,556,503,326,388
자연염색박물관,13,19,57,47,57,74,78,93,129,200,135,142,57,59
