관광지,10대 이하(남) 관광객 수,10대 이하(여) 관광객 수,20대 (남) 관광객 수,20대 (여) 관광객 수,30대 (남) 관광객 수,30대 (여) 관광객 수,40대 (남) 관광객 수,40대 (여) 관광객 수,50대 (남) 관광객 수,50대 (여) 관광객 수,60대 (남) 관광객 수,60대 (여) 관광객 수,70대 이상 (남) 관광객 수,70대 이상 (여) 관광객 수
오동도,47517,39597,109554,117473,120113,109554,116153,108234,128033,139912,112194,95035,40917,34318
아쿠아플라넷여수,31091,30313,71509,79282,76950,71509,70732,59850,67623,71509,53632,51300,21763,20986
죽녹원,29033,26855,69680,75486,51534,58066,54437,58792,70405,87100,53711,54437,18145,17420
함평엑스포공원,14465,18986,23958,18534,31191,26219,45657,33452,61027,46561,47917,37520,22150,23958
금오도,9261,17750,9646,8489,23538,21994,38587,32027,62897,33571,57495,33957,24696,12348
국립나주박물관,7234,6655,9838,13310,19387,17362,26332,20545,29515,36749,35303,33566,19098,14468
진도타워,5555,3291,10698,9875,18928,14608,26335,9875,29833,16665,31890,13990,8847,5143
대한다원,7345,8013,14468,16694,15803,14468,17806,18919,27600,32275,19365,18919,6009,4896
가우도,11376,8609,15374,12606,16296,12606,22446,20908,36283,39050,45507,35668,20293,11069
함평자연생태공원,4487,4729,10672,4365,10793,9944,13461,7034,12976,9216,12491,6791,7276,7155
땅끝관광지,5695,4381,19057,6571,14238,9200,22562,12924,31325,26724,28258,23219,8762,6133
율포해수녹차센터,4362,5206,6614,6473,8443,8021,12665,9428,18012,16464,17309,13931,7317,6332
완도타워,4392,3727,9451,6788,11447,7188,14243,9584,15441,13444,12379,11048,6921,6921
거문도,6004,3002,31024,7339,38364,5671,42700,10341,66052,21350,55377,18681,17013,10341
청춘창고,1722,1640,7299,8201,6971,5166,6642,4674,9841,8119,7955,6724,3772,3362
도갑사,3276,2706,4415,5128,5697,4985,13959,11253,22506,21936,19942,15954,5270,5128
임자도,4741,4482,4655,3017,3792,4310,11034,6206,13534,8275,8706,6379,4051,2844
광양와인동굴,3869,3638,3985,2830,4216,3811,6642,5602,6873,5833,4851,3234,1097,1270
국립진도자연휴양림,2591,2147,2221,2147,2369,3406,6590,5924,8664,8812,10590,7257,4295,6961
비금도,11811,13033,3258,2036,7059,2986,11811,10725,21587,9232,10997,9232,11404,10725
유치자연휴양림,2625,2390,1254,1136,2939,2900,5290,4115,4428,3801,2625,3331,1489,862
운주사,1363,2009,2583,1793,4448,2870,4520,4663,9112,11838,10188,8107,3659,4592
구봉산전망대,705,705,3257,2008,3365,2660,4723,3691,8034,6840,7546,5374,3203,2117
무위사,763,508,1119,1780,1882,1780,3561,2696,6920,7734,6615,8752,3969,2798
장산도,1714,966,1839,935,2431,1714,3086,2120,4489,1683,3834,2525,2088,1777
봉래산,828,677,1957,1204,3802,1618,6362,1882,5308,2748,4366,3011,2258,1543
고산윤선도유적지,1057,838,1859,1093,2077,1603,4009,2405,6524,4410,4884,2588,1640,1421
