관광지,10대 이하(남) 관광객 수,10대 이하(여) 관광객 수,20대 (남) 관광객 수,20대 (여) 관광객 수,30대 (남) 관광객 수,30대 (여) 관광객 수,40대 (남) 관광객 수,40대 (여) 관광객 수,50대 (남) 관광객 수,50대 (여) 관광객 수,60대 (남) 관광객 수,60대 (여) 관광객 수,70대 이상 (남) 관광객 수,70대 이상 (여) 관광객 수
비자림,20149,21901,47306,80596,78844,124399,67455,84100,63951,109506,69207,74464,18397,15768
정방폭포,21825,19779,59337,85937,60701,60019,58655,58655,61383,77752,48425,43650,12958,12276
천제연폭포,8953,9806,36241,44769,45195,41784,40931,39226,42210,42637,28993,26861,10232,8527
카멜리아힐,6756,10360,19820,38739,35586,48650,29730,44145,41893,78380,35586,45046,7207,9009
국립제주박물관,7556,9901,15372,11725,17457,14851,25795,21626,41688,28140,33611,15893,12246,4950
제주돌문화공원,8196,8782,6050,8196,12880,14246,14637,15417,22638,27713,20687,23809,5854,6050
서귀포자연휴양림,5693,5368,4880,5856,9109,11061,15290,16917,19682,25538,16754,16592,5368,4554
이중섭미술관,5929,4826,12411,12824,12135,10342,14066,11170,14479,13376,9791,8687,3585,4274
제주현대미술관,2496,5255,6569,9459,8802,14715,14715,16949,8934,14584,9459,14452,2496,2364
제주항일기념관,2592,2276,4615,4489,5248,5374,5943,5627,6955,6639,4742,4679,1896,2149
제주별빛누리공원,153,153,767,1265,1073,2224,3374,5292,6596,10047,3374,3106,613,306
일출랜드,5214,4422,2178,2112,2310,3036,2904,3366,6402,9108,8514,9966,2970,3630
제주국제평화센터,725,783,1234,1802,1508,2214,2037,1822,2645,1763,1234,1038,431,352
서복전시관,991,889,1829,2821,2134,1982,2770,2160,2566,2465,1804,1524,660,813
