관광지,10대 이하(남) 관광객 수,10대 이하(여) 관광객 수,20대 (남) 관광객 수,20대 (여) 관광객 수,30대 (남) 관광객 수,30대 (여) 관광객 수,40대 (남) 관광객 수,40대 (여) 관광객 수,50대 (남) 관광객 수,50대 (여) 관광객 수,60대 (남) 관광객 수,60대 (여) 관광객 수,70대 이상 (남) 관광객 수,70대 이상 (여) 관광객 수
현충사,24897,16598,37723,31687,58848,49795,87518,56585,100344,81483,92045,67148,26406,23388
국립공주박물관,15557,16595,26967,28004,37857,34745,56527,43562,57045,53934,52896,46673,28522,19706
국립부여박물관,39204,37193,26136,23623,29654,29654,44230,44733,56293,53780,43225,38701,20104,16586
아산스파비스,9569,9569,16620,10072,27952,22412,39787,22663,36262,16368,21404,12842,4029,2518
수덕사,7254,10602,16183,17299,23437,25669,39620,39620,75893,92076,74219,74777,33482,27343
영인산자연휴양림,7815,7815,10131,8973,21998,21420,33287,29524,32998,40813,32998,25761,8973,6947
황금산,724,543,21929,2174,33346,2718,32078,3080,47482,7792,21929,4349,1993,1268
천안상록리조트,4976,3317,21801,10664,26541,9716,30570,13033,40997,23934,26304,17536,4265,3317
백제문화단지,12327,13149,22190,27943,23012,26025,28217,25203,25477,22738,21094,15615,5479,4931
개화예술공원,10115,10115,12245,13309,14374,17302,24224,18367,33274,35404,30879,23957,11180,11712
광덕산,4286,3750,8572,4464,8572,3750,19466,5000,21431,18930,32146,15180,17323,15716
선샤인랜드,7743,6479,16909,16909,14855,15329,17699,11694,11536,12326,9165,10904,3792,2844
안면도쥬라기박물관,3567,3429,6036,5213,11387,11387,14954,12896,13582,17012,15366,12210,6311,3978
천안홍대용과학관,2460,1914,7838,2916,12760,4648,13854,5286,13307,7200,7747,5468,2734,3007
아미미술관,1446,1446,8120,5561,8565,5227,12346,7452,15795,14015,11790,9677,5227,4671
세계꽃식물원,1752,1862,7449,4710,9639,5477,11392,6572,15774,10625,13583,9092,6463,5039
서산버드랜드,2057,2829,3686,3000,6429,6344,10716,7287,9687,7372,9344,7115,6001,3857
각원사,1735,1601,5873,7474,9743,8943,9743,9343,18153,19487,13881,15883,6006,5739
태학산자연휴양림,724,207,7922,3210,10770,2019,8439,2330,6990,2847,4349,1242,517,258
합덕수리민속박물관,5349,4526,3806,3086,5349,4321,8127,5658,13786,10596,13168,9568,8539,7098
봉수산자연휴양림,4279,4000,4837,2697,6233,3628,7628,6233,12652,9117,12373,9210,5395,4930
천안박물관,4287,5081,7463,6589,7701,6510,7463,5557,8653,7701,5319,3731,1826,1667
서산용현리마애여래삼존상,2560,2482,4810,3258,6206,6051,7059,5973,8921,9465,8068,6827,3025,2792
모덕사,1596,532,3831,1649,5747,2767,5960,2554,9365,6119,6492,3246,2341,957
신성리갈대밭,1082,649,2056,1407,3463,3139,5466,3842,10715,5574,7631,4329,3139,1569
칠갑산자연휴양림,1259,1085,1650,1780,3040,2953,4777,3691,5559,6254,5037,3691,1867,781
예산황새공원,1092,2246,2185,1760,2549,2731,4431,3217,7284,5220,9409,6738,7284,4552
연미산자연미술공원,1761,880,2002,1841,3483,2682,3964,2722,5085,4004,5205,3243,1921,1201
수리치골성지,760,855,1045,855,2661,2614,3707,2756,5893,6273,6986,7129,1996,3992
고운식물원,637,869,666,1623,1275,1333,3044,1942,3392,3768,3421,3624,1565,1826
웅도,596,634,2387,1753,3357,2349,2872,2349,3953,3916,6415,3021,1678,2051
온양민속박물관,1085,3536,2295,2078,1985,1644,2295,2295,3257,3381,2357,2419,1209,1147
고남패총박물관,499,795,1408,1113,1749,1476,2044,1385,2748,2385,2203,2453,1408,1044
양촌자연휴양림,765,846,765,362,1350,1269,1713,1713,2398,1350,2096,3063,1330,1128
서동요테마파크,943,878,829,536,1090,683,1545,894,2049,1464,2131,1529,1382,309
만수산자연휴양림,539,409,595,576,595,576,1543,1097,2473,1934,3161,2938,1506,650
그림같은수목원,302,219,824,357,1085,480,1291,700,1799,1566,1964,1552,741,838
임립미술관,118,164,558,521,631,485,869,457,1711,960,1015,860,512,274
칠갑산휴양랜드,243,250,553,501,449,295,789,575,1172,833,929,449,206,140
속동전망대,115,218,236,230,370,279,618,436,819,691,843,637,376,188
안견기념관,115,132,383,105,695,128,580,210,356,274,186,105,71,47
백마강레저파크,125,107,305,299,425,455,526,389,730,634,802,610,365,197
조류생태전시관,101,105,149,129,227,186,353,244,465,342,444,312,196,135
